<ely, 1>
<means, 5>
<much, 13>
<pleaded, 1>
<Mr, 10>
<Bhaer, 12>
<romantic, 1>
<student, 1>
<grave, 1>
<professor, 1>
<Well, 3>
<then, 11>
<all, 50>
<this, 47>
<sooner, 1>
<bashfully, 1>
<Now, 6>
<haf, 7>
<show, 3>
<thee, 2>
<my, 36>
<gladly, 3>
<will, 24>
<because, 3>
<must, 15>
<take, 10>
<care, 10>
<hereafter, 1>
<See, 3>
<ah, 1>
<dear, 9>
<funny, 2>
<wish, 4>
<something, 4>
<day, 11>
<said, 20>
<goodbye, 1>
<New, 1>
<York, 1>
<handsome, 2>
<friend, 1>
<betrothed, 1>
<spoke, 3>
<Wouldst, 1>
<spoken, 1>
<don, 9>
<know, 8>
<m, 10>
<afraid, 2>
<just, 12>
<Prut, 1>
<That, 4>
<do, 25>
<asleep, 1>
<till, 2>
<fairy, 3>
<prince, 1>
<came, 8>
<through, 6>
<wood, 1>
<waked, 1>
<up, 28>
<well, 11>
<Die, 1>
<erste, 1>
<Liebe, 1>
<ist, 1>
<die, 2>
<beste, 1>
<should, 5>
<expect, 3>
<love, 16>
<best, 9>
<be, 50>
<contented, 1>
<never, 21>
<another, 4>
<Teddy, 8>
<only, 8>
<boy, 5>
<soon, 4>
<got, 7>
<over, 9>
<his, 28>
<fancy, 1>
<anxious, 1>
<correct, 1>
<mistake, 1>
<Good, 1>
<Then, 6>
<rest, 2>
<sure, 4>
<givest, 1>
<waited, 2>
<long, 16>
<am, 6>
<grown, 1>
<selfish, 2>
<wilt, 1>
<find, 6>
<Professorin, 2>
<delighted, 2>
<new, 7>
<brought, 3>
<at, 33>
<last, 4>
<when, 20>
<wanted, 2>
<This, 5>
<took, 6>
<worn, 4>
<paper, 4>
<out, 15>
<waistcoat, 1>
<pocket, 2>
<unfolded, 1>
<abashed, 1>
<own, 11>
<contributions, 3>
<paid, 7>
<poetry, 2>
<accounted, 2>
<sending, 2>
<an, 14>
<occasional, 1>
<attempt, 1>
<How, 4>
<bring, 2>
<meant, 1>
<found, 9>
<by, 46>
<chance, 2>
<knew, 6>
<names, 2>
<initials, 1>
<verse, 1>
<seemed, 3>
<Read, 1>
<see, 11>
<go, 8>
<wet, 2>
<IN, 2>
<THE, 6>
<GARRET, 1>
<Four, 6>
<chests, 2>
<row, 2>
<Dim, 2>
<dust, 3>
<time, 7>
<All, 1>
<fashioned, 1>
<filled, 1>
<ago, 3>
<By, 4>
<children, 9>
<now, 12>
<their, 27>
<prime, 3>
<keys, 1>
<hung, 2>
<side, 3>
<With, 2>
<faded, 1>
<ribbons, 1>
<brave, 2>
<gay, 1>
<When, 3>
<fastened, 1>
<childish, 1>
<pride, 2>
<Long, 2>
<rainy, 1>
<each, 3>
<lid, 5>
<Carved, 1>
<boyish, 3>
<hand, 6>
<And, 9>
<underneath, 1>
<lieth, 1>
<hid, 1>
<Histories, 1>
<band, 1>
<Once, 1>
<playing, 2>
<here, 5>
<oft, 1>
<To, 7>
<hear, 3>
<refrain, 4>
<went, 5>
<roof, 1>
<aloft, 1>
<In, 11>
<falling, 5>
<summer, 5>
<rain, 7>
<Meg, 8>
<smooth, 1>
<fair, 4>
<look, 3>
<loving, 4>
<eyes, 8>
<For, 5>
<folded, 1>
<known, 2>
<A, 9>
<goodly, 1>
<gathering, 1>
<lies, 1>
<record, 2>
<peaceful, 1>
<Gifts, 1>
<gentle, 2>
<child, 5>
<girl, 2>
<bridal, 2>
<gown, 2>
<lines, 1>
<wife, 1>
<tiny, 1>
<shoe, 1>
<baby, 4>
<curl, 1>
<No, 2>
<toys, 1>
<chest, 1>
<remain, 2>
<are, 31>
<carried, 1>
<away, 8>
<age, 2>
<join, 1>
<again, 3>
<small, 6>
<play, 1>
<mother, 5>
<You, 16>
<Lullabies, 1>
<soft, 1>
<low, 1>
<next, 1>
<scratched, 1>
<within, 5>
<motley, 1>
<store, 1>
<headless, 1>
<dolls, 1>
<schoolbooks, 1>
<torn, 1>
<Birds, 2>
<beasts, 1>
<Spoils, 1>
<home, 7>
<from, 35>
<ground, 2>
<Only, 1>
<trod, 1>
<youthful, 1>
<feet, 2>
<Dreams, 1>
<future, 5>
<Memories, 1>
<past, 2>
<still, 2>
<Half, 1>
<writ, 1>
<poems, 1>
<stories, 2>
<wild, 1>
<April, 1>
<letters, 3>
<warm, 2>
<Diaries, 1>
<wilful, 1>
<Hints, 1>
<woman, 6>
<early, 1>
<lonely, 4>
<Hearing, 2>
<sad, 2>
<Be, 1>
<worthy, 2>
<come, 4>
<My, 3>
<Beth, 4>
<swept, 1>
<From, 1>
<bears, 3>
<As, 5>
<wept, 1>
<careful, 1>
<hands, 5>
<often, 3>
<Death, 1>
<canonized, 1>
<us, 3>
<saint, 1>
<Ever, 1>
<less, 1>
<divine, 1>
<lay, 4>
<tender, 5>
<plaint, 1>
<Relics, 1>
<household, 2>
<shrine, 1>
<silver, 2>
<bell, 1>
<rung, 1>
<cap, 1>
<wore, 2>
<dead, 1>
<Catherine, 1>
<angels, 2>
<borne, 2>
<above, 2>
<door, 3>
<songs, 1>
<sang, 3>
<without, 9>
<lament, 1>
<prison, 1>
<house, 6>
<pain, 2>
<Forever, 1>
<sweetly, 1>
<blent, 1>
<Upon, 1>
<polished, 1>
<field, 3>
<Legend, 1>
<both, 9>
<true, 2>
<gallant, 1>
<knight, 3>
<shield, 1>
<Amy, 11>
<gold, 1>
<blue, 1>
<Within, 1>
<lie, 1>
<snoods, 1>
<bound, 4>
<hair, 2>
<Slippers, 1>
<danced, 1>
<Faded, 1>
<flowers, 1>
<laid, 3>
<Fans, 1>
<whose, 2>
<airy, 1>
<toils, 1>
<Gay, 1>
<valentines, 1>
<ardent, 1>
<flames, 1>
<Trifles, 1>
<part, 6>
<girlish, 1>
<hopes, 5>
<fears, 1>
<shames, 1>
<maiden, 1>
<learning, 3>
<fairer, 2>
<truer, 1>
<spells, 1>
<blithe, 1>
<sound, 1>
<bells, 1>
<women, 1>
<taught, 2>
<weal, 1>
<woe, 1>
<labor, 1>
<sisters, 1>
<parted, 1>
<None, 1>
<lost, 1>
<gone, 2>
<before, 6>
<Made, 1>
<immortal, 1>
<power, 2>
<Nearest, 1>
<evermore, 1>
<these, 10>
<hidden, 1>
<stores, 1>
<ours, 1>
<Lie, 1>
<open, 3>
<Father, 3>
<sight, 2>
<May, 1>
<rich, 8>
<golden, 3>
<hours, 1>
<Deeds, 1>
<light, 3>
<Lives, 1>
<music, 3>
<ring, 1>
<spirit, 2>
<stirring, 1>
<strain, 1>
<Souls, 1>
<soar, 1>
<sing, 2>
<sunshine, 3>
<after, 7>
<very, 10>
<bad, 1>
<felt, 2>
<wrote, 2>
<good, 13>
<cry, 1>
<rag, 1>
<bag, 1>
<would, 15>
<where, 8>
<tales, 1>
<tearing, 1>
<verses, 1>
<treasured, 1>
<Let, 1>
<has, 6>
<done, 5>
<its, 13>
<duty, 2>
<fresh, 1>
<read, 4>
<brown, 1>
<book, 3>
<keeps, 1>
<secrets, 1>
<smile, 1>
<watched, 3>
<fragments, 1>
<fly, 1>
<wind, 1>
<added, 6>
<earnestly, 2>
<think, 7>
<She, 6>
<sorrow, 5>
<comfort, 3>
<full, 21>
<Shall, 1>
<If, 18>
<too, 6>
<thing, 3>
<gif, 4>
<hope, 9>
<receive, 4>
<precious, 2>
<needed, 3>
<whispered, 1>
<courage, 2>
<heavenly, 1>
<kind, 1>
<welcome, 3>
<But, 8>
<began, 5>
<defiant, 1>
<nod, 1>
<walls, 2>
<mist, 1>
<closing, 1>
<round, 2>
<them, 26>
<barriers, 1>
<surmount, 1>
<valiantly, 1>
<knock, 1>
<down, 6>
<splendid, 4>
<resolved, 1>
<though, 9>
<did, 6>
<prancing, 1>
<charger, 1>
<gorgeous, 1>
<array, 2>
<What, 1>
<made, 8>
<stay, 3>
<presently, 1>
<finding, 2>
<pleasant, 2>
<ask, 2>
<confidential, 1>
<questions, 1>
<get, 4>
<delightful, 3>
<answers, 1>
<silent, 1>
<easy, 3>
<until, 1>
<prospect, 1>
<perhaps, 2>
<hard, 4>
<work, 51>
<fellow, 1>
<who, 25>
<fortune, 4>
<glad, 3>
<couldn, 5>
<bear, 2>
<husband, 3>
<decidedly, 2>
<adding, 1>
<softer, 1>
<tone, 1>
<Don, 2>
<fear, 1>
<poverty, 1>
<ve, 13>
<enough, 6>
<lose, 2>
<dread, 2>
<working, 1>
<those, 1>
<yourself, 2>
<forty, 2>
<help, 13>
<seventy, 2>
<touching, 3>
<handkerchief, 1>
<wiped, 2>
<laughing, 1>
<bundle, 1>
<two, 6>
<may, 23>
<strong, 3>
<minded, 1>
<sphere, 2>
<special, 3>
<mission, 4>
<supposed, 1>
<drying, 1>
<tears, 2>
<bearing, 1>
<burdens, 1>
<carry, 2>
<share, 2>
<earn, 1>
<Make, 1>
<mind, 3>
<ll, 6>
<resolutely, 1>
<tried, 4>
<reclaim, 1>
<load, 1>
<We, 3>
<Haf, 1>
<patience, 3>
<wait, 3>
<alone, 3>
<boys, 29>
<even, 5>
<break, 1>
<word, 2>
<Can, 1>
<forgif, 1>
<while, 8>
<makes, 2>
<enjoy, 5>
<neglected, 1>
<need, 6>
<hurry, 1>
<impatience, 1>
<West, 2>
<hoping, 1>
<leaving, 2>
<God, 4>
<wills, 1>
<Thou, 1>
<gifest, 1>
<such, 17>
<back, 3>
<empty, 4>
<quite, 3>
<overcome, 1>
<learn, 2>
<proper, 3>
<stood, 2>
<upon, 4>
<steps, 1>
<put, 2>
<into, 6>
<whispering, 1>
<tenderly, 2>
<Not, 2>
<stooping, 1>
<kissed, 1>
<under, 9>
<umbrella, 1>
<dreadful, 1>
<flock, 3>
<draggle, 1>
<tailed, 1>
<sparrows, 1>
<hedge, 1>
<beings, 1>
<far, 3>
<indeed, 1>
<regardless, 1>
<everything, 1>
<happiness, 5>
<Though, 1>
<simple, 2>
<guise, 1>
<crowning, 2>
<lives, 1>
<turning, 1>
<night, 3>
<storm, 1>
<loneliness, 1>
<warmth, 1>
<peace, 1>
<waiting, 1>
<Welcome, 1>
<led, 1>
<lover, 1>
<shut, 2>
<CHAPTER, 1>
<FORTY, 1>
<SEVEN, 1>
<HARVEST, 1>
<TIME, 1>
<year, 5>
<worked, 1>
<hoped, 1>
<loved, 5>
<met, 2>
<occasionally, 1>
<voluminous, 1>
<rise, 2>
<price, 1>
<Laurie, 13>
<second, 3>
<rather, 3>
<soberly, 1>
<prospects, 1>
<brighten, 1>
<Aunt, 3>
<March, 14>
<suddenly, 2>
<lady, 2>
<spite, 5>
<sharp, 1>
<tongue, 1>
<cause, 3>
<rejoicing, 1>
<left, 2>
<Plumfield, 7>
<sorts, 1>
<joyful, 1>
<things, 8>
<possible, 1>
<fine, 3>
<sum, 1>
<intend, 2>
<sell, 1>
<talking, 1>
<matter, 1>
<some, 10>
<weeks, 1>
<later, 1>
<decided, 1>
<answer, 1>
<petted, 1>
<fat, 1>
<poodle, 1>
<whom, 2>
<adopted, 1>
<respect, 1>
<former, 1>
<mistress, 1>
<live, 4>
<immense, 2>
<money, 5>
<order, 1>
<garden, 3>
<orchard, 3>
<three, 7>
<men, 2>
<farming, 1>
<isn, 3>
<line, 1>
<He, 2>
<try, 3>
<propose, 1>
<produce, 2>
<sounds, 1>
<paradisiacal, 1>
<desperate, 1>
<crop, 3>
<going, 2>
<raise, 1>
<profitable, 2>
<laughed, 3>
<consist, 1>
<ma, 1>
<Boys, 1>
<want, 2>
<school, 6>
<lads, 8>
<homelike, 2>
<Fritz, 7>
<teach, 2>
<truly, 1>
<Joian, 1>
<plan, 3>
<appealing, 1>
<family, 5>
<surprised, 1>
<Mrs, 12>
<So, 3>
<welcomed, 1>
<trying, 1>
<Socratic, 1>
<method, 2>
<education, 1>
<modern, 1>
<stroking, 1>
<head, 5>
<absorbing, 1>
<son, 1>
<idea, 3>
<Tell, 1>
<about, 13>
<Laurence, 5>
<longing, 1>
<lend, 1>
<lovers, 1>
<refuse, 1>
<d, 4>
<stand, 2>
<sir, 2>
<does, 4>
<prudently, 1>
<waits, 1>
<turn, 5>
<people, 6>
<continued, 1>
<understand, 2>
<cherished, 1>
<Before, 1>
<used, 5>
<hire, 1>
<big, 5>
<pick, 1>
<forlorn, 1>
<hadn, 1>
<mothers, 2>
<make, 4>
<jolly, 3>
<late, 1>
<many, 3>
<ruin, 2>
<right, 3>
<minute, 1>
<anything, 4>
<seem, 1>
<feel, 3>
<wants, 1>
<sympathize, 1>
<troubles, 1>
<oh, 1>
<held, 1>
<smiling, 2>
<enthusiastic, 2>
<seen, 2>
<told, 2>
<agreed, 2>
<Bless, 1>
<doing, 4>
<helping, 2>
<getting, 2>
<Money, 1>
<doesn, 1>
<thanks, 1>
<aunt, 1>
<better, 5>
<deserved, 1>
<least, 2>
<perfectly, 1>
<flourishing, 1>
<furniture, 1>
<There, 8>
<plenty, 1>
<room, 4>
<dozens, 1>
<inside, 1>
<grounds, 1>
<outside, 3>
<They, 3>
<Such, 1>
<healthy, 1>
<train, 1>
<feed, 1>
<nurse, 1>
<pet, 2>
<scold, 1>
<Mother, 4>
<longed, 1>
<lots, 1>
<fill, 1>
<revel, 1>
<dears, 1>
<content, 2>
<Think, 1>
<luxury, 1>
<wilderness, 2>
<waved, 1>
<gave, 4>
<sigh, 1>
<rapture, 1>
<off, 3>
<gale, 1>
<merriment, 1>
<apoplectic, 1>
<fit, 1>
<gravely, 1>
<heard, 1>
<Nothing, 1>
<natural, 1>
<prefer, 1>
<reside, 1>
<estate, 1>
<putting, 1>
<airs, 1>
<already, 3>
<regarded, 1>
<capital, 1>
<joke, 1>
<inquire, 1>
<support, 6>
<establishment, 1>
<pupils, 2>
<ragamuffins, 1>
<worldly, 1>
<sense, 1>
<blanket, 1>
<begin, 1>
<altogether, 3>
<start, 2>
<ragamuffin, 3>
<relish, 1>
<Rich, 1>
<unfortunate, 1>
<creatures, 1>
<servants, 1>
<backward, 1>
<ones, 3>
<pushed, 1>
<forward, 1>
<real, 1>
<cruelty, 1>
<Some, 3>
<naughty, 1>
<mismanagment, 1>
<neglect, 1>
<Besides, 1>
<hobbledehoy, 1>
<most, 11>
<kindness, 2>
<People, 1>
<laugh, 1>
<hustle, 1>
<pretty, 1>
<complain, 2>
<plucky, 1>
<souls, 1>
<interest, 1>
<honest, 1>
<meaning, 1>
<clumsy, 1>
<arms, 3>
<legs, 2>
<topsy, 1>
<turvy, 1>
<heads, 2>
<experience, 1>
<haven, 2>
<honor, 1>
<testify, 1>
<succeeded, 1>
<beyond, 1>
<steady, 1>
<sensible, 1>
<businessman, 2>
<heaps, 1>
<laying, 1>
<blessings, 1>
<instead, 1>
<dollars, 1>
<merely, 1>
<let, 2>
<others, 4>
<halves, 1>
<times, 6>
<proud, 2>
<every, 5>
<everyone, 3>
<feels, 1>
<point, 1>
<model, 2>
<Poor, 1>
<man, 2>
<bashfulness, 1>
<burst, 2>
<praise, 2>
<faces, 2>
<approvingly, 1>
<thank, 5>
<except, 3>
<disappoint, 1>
<cast, 1>
<lately, 1>
<nevertheless, 1>
<gently, 1>
<grandfather, 1>
<apart, 1>
<families, 1>
<unusually, 2>
<lifted, 1>
<frame, 1>
<John, 3>
<earth, 1>
<quietly, 2>
<blissful, 1>
<evening, 1>
<counsels, 1>
<plans, 2>
<calm, 1>
<kneeling, 1>
<bed, 2>
<near, 1>
<thoughts, 1>
<astonishing, 1>
<happen, 1>
<rapid, 1>
<manner, 1>
<Almost, 1>
<herself, 2>
<married, 1>
<settled, 1>
<six, 1>
<seven, 2>
<sprung, 1>
<mushrooms, 1>
<flourished, 2>
<surprisingly, 1>
<continually, 1>
<case, 1>
<destitution, 1>
<begging, 1>
<Bhaers, 2>
<pity, 1>
<pay, 2>
<trifle, 1>
<sly, 1>
<gentleman, 1>
<furnished, 1>
<style, 2>
<uphill, 1>
<queer, 1>
<mistakes, 1>
<wise, 1>
<steered, 1>
<safely, 1>
<calmer, 1>
<waters, 1>
<rampant, 1>
<end, 1>
<lamented, 1>
<sacred, 1>
<precincts, 1>
<prim, 1>
<ordered, 1>
<overrun, 1>
<Toms, 1>
<Dicks, 1>
<Harrys, 1>
<sort, 2>
<poetic, 1>
<justice, 1>
<terror, 1>
<miles, 1>
<around, 1>
<exiles, 1>
<feasted, 1>
<freely, 6>
<forbidden, 1>
<plums, 1>
<kicked, 1>
<gravel, 1>
<profane, 1>
<boots, 1>
<unreproved, 1>
<played, 1>
<cricket, 3>
<irritable, 1>
<cow, 1>
<crumpled, 1>
<horn, 1>
<invite, 1>
<rash, 1>
<youths, 1>
<tossed, 1>
<became, 1>
<paradise, 1>
<suggested, 1>
<called, 1>
<garten, 2>
<compliment, 1>
<master, 2>
<appropriate, 1>
<inhabitants, 1>
<fashionable, 1>
<intended, 1>
<teaching, 1>
<Every, 3>
<plot, 1>
<owner, 4>
<regular, 2>
<menagerie, 1>
<appeared, 2>
<barn, 1>
<shed, 1>
<animals, 1>
<allowed, 2>
<smiled, 1>
<table, 2>
<lined, 1>
<either, 2>
<rows, 1>
<turned, 2>
<affectionate, 1>
<confiding, 1>
<words, 3>
<tire, 1>
<caused, 1>
<trouble, 1>
<anxiety, 4>
<faith, 1>
<spot, 1>
<exists, 2>
<naughtiest, 1>
<sauciest, 1>
<tantalizing, 1>
<skill, 2>
<success, 2>
<mortal, 1>
<hold, 2>
<shining, 1>
<benevolently, 1>
<sun, 1>
<forgiving, 1>
<Very, 1>
<friendship, 1>
<penitent, 1>
<sniffs, 1>
<whispers, 1>
<wrongdoing, 1>
<droll, 1>
<confidences, 1>
<enthusiasms, 1>
<misfortunes, 1>
<endeared, 1>
<slow, 1>
<bashful, 1>
<feeble, 1>
<riotous, 1>
<lisped, 1>
<stuttered, 1>
<lame, 1>
<merry, 1>
<quadroon, 2>
<taken, 1>
<elsewhere, 1>
<predicted, 1>
<admission, 1>
<perpetual, 1>
<racket, 1>
<enjoyed, 2>
<heartily, 2>
<applause, 1>
<satisfying, 1>
<believers, 1>
<admirers, 1>
<years, 3>
<increase, 1>
<Rob, 3>
<named, 1>
<Grandpa, 1>
<lucky, 1>
<inherited, 1>
<papa, 2>
<sunshiny, 1>
<temper, 1>
<lively, 3>
<grew, 1>
<alive, 1>
<whirlpool, 1>
<mystery, 1>
<grandma, 1>
<aunts, 1>
<dandelions, 1>
<spring, 1>
<rough, 1>
<nurses, 1>
<served, 1>
<great, 2>
<holidays, 1>
<yearly, 1>
<apple, 5>
<picking, 1>
<Marches, 1>
<Laurences, 1>
<Brookes, 1>
<force, 1>
<Five, 1>
<wedding, 1>
<fruitful, 1>
<festivals, 1>
<occurred, 1>
<mellow, 1>
<October, 1>
<air, 2>
<exhilarating, 1>
<freshness, 1>
<spirits, 1>
<blood, 1>
<dance, 1>
<healthily, 1>
<veins, 1>
<holiday, 1>
<attire, 1>
<Goldenrod, 1>
<asters, 1>
<fringed, 1>
<mossy, 1>
<Grasshoppers, 1>
<skipped, 1>
<briskly, 1>
<sere, 1>
<grass, 3>
<crickets, 1>
<chirped, 1>
<pipers, 1>
<feast, 1>
<Squirrels, 1>
<busy, 1>
<harvesting, 1>
<twittered, 1>
<adieux, 1>
<alders, 1>
<lane, 1>
<tree, 5>
<ready, 2>
<send, 1>
<shower, 1>
<red, 1>
<yellow, 1>
<apples, 1>
<shake, 1>
<Everybody, 4>
<climbed, 1>
<tumbled, 1>
<declared, 2>
<perfect, 1>
<set, 12>
<themselves, 3>
<pleasures, 1>
<placidly, 1>
<quoting, 1>
<Tusser, 1>
<Cowley, 1>
<Columella, 1>
<winey, 1>
<juice, 1>
<charged, 1>
<green, 2>
<aisles, 1>
<stout, 2>
<Teutonic, 1>
<pole, 1>
<lance, 1>
<leading, 1>
<hook, 1>
<ladder, 1>
<company, 1>
<performed, 2>
<wonders, 1>
<lofty, 1>
<tumbling, 2>
<devoted, 2>
<himself, 2>
<rode, 1>
<daughter, 2>
<bushel, 1>
<basket, 1>
<Daisy, 3>
<among, 5>
<bird, 2>
<nests, 1>
<kept, 2>
<adventurous, 1>
<breaking, 1>
<neck, 1>
<sat, 2>
<piles, 1>
<pair, 1>
<Pomonas, 1>
<sorting, 1>
<pouring, 1>
<motherly, 2>
<expression, 1>
<face, 4>
<sketched, 1>
<various, 2>
<groups, 1>
<pale, 2>
<lad, 2>
<adoring, 1>
<crutch, 1>
<element, 1>
<rushed, 1>
<pinned, 1>
<hat, 1>
<anywhere, 2>
<tucked, 1>
<arm, 2>
<adventure, 1>
<might, 1>
<bore, 1>
<charmed, 1>
<happened, 1>
<whisked, 1>
<galloped, 1>
<supplied, 1>
<sour, 1>
<russets, 1>
<indulgent, 1>
<labored, 1>
<Germanic, 1>
<delusion, 1>
<babies, 2>
<digest, 1>
<pickled, 1>
<cabbage, 1>
<buttons, 1>
<nails, 1>
<shoes, 1>
<Ted, 2>
<safe, 1>
<rosy, 2>
<dirty, 1>
<serene, 1>
<received, 6>
<hearty, 1>
<At, 1>
<four, 1>
<o, 1>
<clock, 1>
<lull, 1>
<baskets, 1>
<remained, 1>
<pickers, 1>
<rested, 1>
<compared, 1>
<rents, 1>
<bruises, 1>
<detachment, 1>
<bigger, 1>
<forth, 9>
<supper, 1>
<tea, 2>
<joy, 1>
<land, 1>
<literally, 1>
<flowed, 1>
<milk, 3>
<honey, 1>
<occasions, 1>
<required, 2>
<sit, 1>
<partake, 1>
<refreshment, 1>
<liked, 1>
<freedom, 1>
<being, 1>
<sauce, 1>
<beloved, 2>
<soul, 1>
<availed, 1>
<rare, 1>
<privilege, 1>
<fullest, 1>
<extent, 2>
<pleasing, 1>
<experiment, 1>
<drinking, 1>
<standing, 1>
<lent, 1>
<charm, 1>
<leapfrog, 1>
<eating, 1>
<pie, 1>
<pauses, 1>
<game, 1>
<cookies, 1>
<sown, 1>
<broadcast, 1>
<turnovers, 1>
<roosted, 1>
<trees, 1>
<girls, 2>
<private, 1>
<party, 2>
<roved, 1>
<edibles, 1>
<eat, 1>
<proposed, 2>
<toast, 2>
<drunk, 2>
<bless, 1>
<given, 4>
<owed, 2>
<memory, 1>
<Grandma, 3>
<sixtieth, 1>
<birthday, 1>
<cheering, 1>
<begun, 2>
<stop, 1>
<health, 1>
<considered, 1>
<patron, 1>
<astonished, 1>
<guinea, 1>
<pig, 1>
<strayed, 1>
<search, 2>
<Demi, 2>
<oldest, 1>
<grandchild, 1>
<presented, 1>
<queen, 1>
<gifts, 2>
<numerous, 1>
<transported, 1>
<festive, 1>
<scene, 1>
<wheelbarrow, 1>
<Funny, 1>
<presents, 1>
<defects, 1>
<ornaments, 1>
<stitch, 1>
<patient, 3>
<fingers, 1>
<handkerchiefs, 1>
<hemmed, 1>
<embroidery, 1>
<miracle, 1>
<mechanical, 1>
<cover, 1>
<wouldn, 1>
<footstool, 1>
<wiggle, 1>
<uneven, 1>
<soothing, 1>
<page, 3>
<costly, 1>
<tipsy, 1>
<capitals, 1>
<During, 1>
<ceremony, 1>
<mysteriously, 1>
<disappeared, 1>
<broken, 1>
<pinafore, 1>
<voice, 5>
<echoed, 1>
<unseen, 1>
<choir, 1>
<song, 1>
<written, 4>
<trained, 1>
<give, 3>
<effect, 1>
<proved, 1>
<grand, 1>
<surprise, 1>
<insisted, 1>
<shaking, 1>
<featherless, 1>
<birds, 1>
<tall, 2>
<Franz, 1>
<Emil, 1>
<sweetest, 1>
<After, 1>
<dispersed, 1>
<final, 1>
<lark, 1>
<daughters, 2>
<festival, 1>
<ought, 2>
<unlucky, 1>
<greatest, 1>
<beautifully, 1>
<gratified, 1>
<taking, 1>
<fist, 1>
<pitcher, 1>
<rapturously, 1>
<churning, 1>
<yet, 2>
<different, 3>
<pictured, 1>
<Do, 4>
<remember, 2>
<our, 5>
<castles, 1>
<Dear, 1>
<fellows, 1>
<forget, 1>
<business, 2>
<frolic, 1>
<answered, 1>
<maternal, 1>
<mankind, 1>
<seems, 1>
<write, 1>
<experiences, 1>
<illustrations, 1>
<pointed, 1>
<distance, 1>
<father, 2>
<leaning, 1>
<walked, 1>
<fro, 1>
<deep, 1>
<conversations, 1>
<sitting, 1>
<enthroned, 1>
<lap, 1>
<grow, 1>
<castle, 2>
<nearly, 2>
<realized, 1>
<satisfied, 1>
<happiest, 1>
<devout, 1>
<planned, 1>
<alter, 1>
<relinquish, 1>
<artistic, 1>
<confine, 1>
<fulfill, 1>
<dreams, 1>
<figure, 1>
<says, 1>
<marble, 1>
<whatever, 1>
<happens, 1>
<image, 1>
<angel, 1>
<tear, 1>
<dropped, 1>
<sleeping, 1>
<frail, 1>
<creature, 1>
<losing, 1>
<shadow, 2>
<cross, 2>
<closely, 1>
<together, 1>
<nature, 1>
<growing, 4>
<sweeter, 1>
<deeper, 1>
<serious, 1>
<firm, 1>
<itself, 1>
<cannot, 5>
<loss, 1>
<blessed, 1>
<Into, 1>
<fall, 1>
<days, 5>
<dark, 1>
<dreary, 1>
<despond, 1>
<tenderhearted, 1>
<stooped, 1>
<knee, 1>
