<The, 22>
<FOREIGN, 1>
<CORRESPONDENT, 1>
<TENDER, 1>
<TROUBLES, 1>
<JOURNAL, 1>
<FRIEND, 1>
<HEARTACHE, 1>
<SECRET, 1>
<NEW, 1>
<IMPRESSIONS, 1>
<ON, 1>
<SHELF, 1>
<LAZY, 1>
<FORTY, 8>
<SHADOW, 1>
<LEARNING, 1>
<FORGET, 1>
<ALL, 1>
<ALONE, 1>
<SURPRISES, 1>
<MY, 1>
<LORD, 1>
<LADY, 1>
<DAISY, 1>
<DEMI, 1>
<UNDER, 1>
<UMBRELLA, 1>
<HARVEST, 1>
<TIME, 1>
<Christmas, 17>
<won, 9>
<t, 87>
<be, 45>
<without, 8>
<any, 17>
<presents, 6>
<grumbled, 2>
<Jo, 76>
<lying, 1>
<on, 48>
<rug, 2>
<It, 28>
<s, 60>
<so, 51>
<dreadful, 2>
<poor, 9>
<sighed, 3>
<Meg, 56>
<looking, 11>
<down, 18>
<her, 146>
<old, 24>
<dress, 6>
<I, 169>
<don, 25>
<think, 13>
<fair, 2>
<some, 10>
<girls, 26>
<plenty, 3>
<pretty, 9>
<things, 21>
<nothing, 4>
<all, 44>
<added, 5>
<little, 49>
<Amy, 37>
<an, 22>
<injured, 1>
<sniff, 1>
<We, 14>
<ve, 9>
<got, 14>
<Father, 9>
<Mother, 20>
<each, 7>
<said, 48>
<Beth, 39>
<contentedly, 1>
<from, 20>
<corner, 3>
<four, 10>
<young, 7>
<faces, 2>
<which, 27>
<firelight, 1>
<shone, 1>
<brightened, 2>
<cheerful, 2>
<words, 7>
<but, 44>
<darkened, 1>
<again, 5>
<as, 74>
<sadly, 1>
<haven, 2>
<shall, 17>
<him, 25>
<a, 247>
<long, 16>
<time, 17>
<She, 14>
<didn, 10>
<say, 7>
<perhaps, 2>
<never, 12>
<silently, 1>
<thinking, 2>
<far, 3>
<fighting, 3>
<was, 97>
<Nobody, 1>
<spoke, 3>
<minute, 7>
<then, 10>
<altered, 1>
<tone, 2>
<know, 17>
<reason, 1>
<proposed, 1>
<having, 7>
<because, 9>
<going, 4>
<hard, 9>
<winter, 3>
<everyone, 4>
<she, 48>
<thinks, 2>
<we, 49>
<ought, 5>
<spend, 3>
<money, 6>
<pleasure, 1>
<when, 34>
<our, 14>
<men, 1>
<suffering, 2>
<army, 5>
<can, 32>
<do, 39>
<much, 21>
<make, 11>
<sacrifices, 1>
<gladly, 1>
<But, 7>
<am, 3>
<afraid, 4>
<shook, 3>
<head, 7>
<thought, 9>
<regretfully, 1>
<wanted, 5>
<should, 7>
<would, 10>
<good, 18>
<dollar, 2>
<wouldn, 1>
<helped, 2>
<giving, 2>
<that, 47>
<agree, 3>
<expect, 1>
<anything, 6>
<want, 5>
<buy, 3>
<Undine, 1>
<Sintran, 1>
<myself, 4>
<who, 26>
<bookworm, 1>
<planned, 1>
<mine, 5>
<new, 11>
<music, 3>
<sigh, 2>
<one, 41>
<heard, 1>
<hearth, 2>
<brush, 1>
<kettle, 2>
<holder, 1>
<get, 21>
<nice, 13>
<box, 1>
<Faber, 1>
<drawing, 1>
<pencils, 2>
<really, 2>
<need, 4>
<them, 34>
<decidedly, 4>
<about, 27>
<wish, 5>
<us, 13>
<up, 40>
<everything, 6>
<Let, 3>
<what, 16>
<fun, 7>
<m, 19>
<sure, 4>
<work, 14>
<enough, 7>
<earn, 1>
<cried, 18>
<examining, 1>
<heels, 1>
<shoes, 3>
<gentlemanly, 1>
<manner, 2>
<teaching, 1>
<those, 3>
<tiresome, 1>
<children, 10>
<nearly, 2>
<day, 10>
<longing, 3>
<enjoy, 3>
<home, 13>
<began, 11>
<complaining, 1>
<half, 4>
<such, 13>
<How, 9>
<like, 29>
<shut, 3>
<hours, 2>
<nervous, 1>
<fussy, 1>
<lady, 7>
<keeps, 2>
<trotting, 1>
<satisfied, 2>
<worries, 2>
<till, 6>
<ready, 8>
<fly, 3>
<out, 27>
<window, 6>
<cry, 1>
<naughty, 1>
<fret, 1>
<washing, 2>
<dishes, 3>
<keeping, 2>
<tidy, 1>
<worst, 1>
<makes, 4>
<me, 28>
<cross, 1>
<my, 31>
<hands, 14>
<stiff, 2>
<practice, 1>
<well, 5>
<And, 10>
<looked, 6>
<rough, 3>
<could, 11>
<hear, 4>
<believe, 1>
<suffer, 1>
<go, 18>
<school, 1>
<impertinent, 1>
<plague, 1>
<if, 28>
<your, 28>
<lessons, 1>
<laugh, 6>
<dresses, 1>
<label, 1>
<father, 3>
<he, 43>
<isn, 5>
<rich, 3>
<insult, 1>
<nose, 4>
<mean, 7>
<libel, 1>
<d, 8>
<talk, 2>
<labels, 1>
<Papa, 4>
<pickle, 2>
<bottle, 7>
<advised, 1>
<laughing, 5>
<needn, 1>
<statirical, 1>
<proper, 3>
<improve, 1>
<vocabilary, 1>
<returned, 2>
<dignity, 2>
<Don, 18>
<peck, 1>
<another, 6>
<had, 35>
<lost, 1>
<were, 34>
<Dear, 1>
<happy, 7>
<remember, 7>
<better, 6>
<times, 4>
<deal, 7>
<happier, 1>
<than, 14>
<King, 1>
<they, 33>
<fretting, 1>
<spite, 3>
<their, 21>
<So, 3>
<did, 12>
<Well, 2>
<For, 1>
<though, 9>
<ourselves, 4>
<jolly, 2>
<set, 6>
<does, 3>
<slang, 2>
<observed, 3>
<reproving, 1>
<look, 10>
<figure, 2>
<stretched, 1>
<immediately, 1>
<sat, 7>
<put, 13>
<pockets, 1>
<whistle, 1>
<boyish, 3>
<That, 6>
<why, 1>
<detest, 1>
<rude, 1>
<unladylike, 1>
<hate, 3>
<affected, 2>
<niminy, 1>
<piminy, 1>
<chits, 1>
<Birds, 1>
<nests, 1>
<sang, 5>
<peacemaker, 1>
<funny, 6>
<face, 7>
<both, 5>
<sharp, 2>
<voices, 1>
<softened, 1>
<pecking, 1>
<ended, 2>
<Really, 2>
<blamed, 1>
<beginning, 1>
<lecture, 2>
<elder, 2>
<sisterly, 1>
<fashion, 2>
<leave, 2>
<off, 14>
<tricks, 1>
<behave, 2>
<Josephine, 2>
<matter, 1>
<girl, 5>
<now, 10>
<tall, 4>
<turn, 2>
<hair, 13>
<turning, 2>
<ll, 20>
<wear, 6>
<two, 12>
<tails, 1>
<twenty, 1>
<pulling, 1>
<net, 2>
<shaking, 1>
<chestnut, 2>
<mane, 1>
<grow, 2>
<Miss, 4>
<March, 16>
<gowns, 1>
<prim, 4>
<China, 1>
<Aster, 1>
<bad, 5>
<anyway, 1>
<boy, 5>
<games, 1>
<manners, 4>
<over, 14>
<disappointment, 1>
<being, 7>
<worse, 1>
<ever, 6>
<dying, 1>
<fight, 2>
<only, 9>
<stay, 3>
<knit, 2>
<poky, 1>
<woman, 7>
<blue, 9>
<sock, 3>
<needles, 2>
<rattled, 1>
<castanets, 1>
<ball, 1>
<bounded, 1>
<across, 2>
<room, 6>
<Poor, 1>
<too, 11>
<must, 7>
<try, 5>
<contented, 2>
<making, 3>
<name, 4>
<playing, 2>
<brother, 1>
<stroking, 1>
<hand, 5>
<dish, 1>
<dusting, 1>
<ungentle, 1>
<its, 4>
<touch, 2>
<As, 5>
<continued, 1>
<altogether, 1>
<particular, 1>
<Your, 2>
<airs, 2>
<goose, 2>
<take, 9>
<care, 5>
<refined, 1>
<ways, 1>
<speaking, 1>
<elegant, 2>
<absurd, 1>
<tomboy, 1>
<please, 3>
<asked, 14>
<share, 1>
<dear, 6>
<else, 4>
<answered, 4>
<warmly, 2>
<contradicted, 1>
<Mouse, 1>
<pet, 2>
<family, 3>
<readers, 1>
<how, 9>
<people, 6>
<moment, 5>
<sketch, 1>
<sisters, 6>
<knitting, 1>
<twilight, 1>
<while, 17>
<December, 1>
<snow, 2>
<fell, 6>
<quietly, 1>
<fire, 6>
<crackled, 1>
<cheerfully, 1>
<within, 1>
<comfortable, 3>
<carpet, 2>
<faded, 1>
<furniture, 1>
<very, 24>
<plain, 1>
<picture, 3>
<hung, 2>
<walls, 2>
<books, 5>
<filled, 1>
<recesses, 1>
<chrysanthemums, 2>
<roses, 5>
<bloomed, 1>
<windows, 2>
<pleasant, 3>
<atmosphere, 1>
<peace, 2>
<pervaded, 2>
<Margaret, 2>
<eldest, 1>
<sixteen, 1>
<plump, 1>
<large, 1>
<eyes, 7>
<soft, 2>
<brown, 2>
<sweet, 5>
<mouth, 3>
<white, 7>
<rather, 6>
<vain, 1>
<Fifteen, 1>
<year, 3>
<thin, 1>
<reminded, 1>
<colt, 1>
<seemed, 2>
<limbs, 1>
<way, 8>
<decided, 2>
<comical, 1>
<gray, 5>
<appeared, 12>
<see, 17>
<turns, 1>
<fierce, 1>
<thoughtful, 1>
<Her, 2>
<thick, 1>
<beauty, 1>
<usually, 1>
<bundled, 1>
<into, 14>
<Round, 1>
<shoulders, 2>
<big, 7>
<feet, 3>
<flyaway, 1>
<clothes, 4>
<uncomfortable, 1>
<appearance, 1>
<rapidly, 1>
<shooting, 1>
<Elizabeth, 1>
<called, 5>
<rosy, 2>
<smooth, 1>
<haired, 1>
<bright, 3>
<eyed, 1>
<thirteen, 1>
<shy, 1>
<timid, 3>
<voice, 8>
<peaceful, 1>
<expression, 2>
<seldom, 2>
<disturbed, 1>
<Tranquility, 1>
<suited, 1>
<excellently, 1>
<live, 2>
<own, 9>
<venturing, 1>
<meet, 1>
<few, 10>
<whom, 1>
<trusted, 1>
<loved, 3>
<youngest, 1>
<important, 3>
<person, 1>
<opinion, 1>
<least, 1>
<regular, 3>
<maiden, 1>
<yellow, 3>
<curling, 1>
<pale, 2>
<slender, 1>
<always, 6>
<carrying, 1>
<herself, 4>
<mindful, 1>
<What, 9>
<characters, 1>
<found, 2>
<clock, 1>
<struck, 3>
<six, 1>
<swept, 1>
<pair, 6>
<slippers, 7>
<warm, 3>
<Somehow, 1>
<sight, 4>
<effect, 5>
<upon, 5>
<coming, 7>
<welcome, 2>
<stopped, 3>
<lecturing, 1>
<lighted, 1>
<lamp, 3>
<easy, 2>
<chair, 6>
<forgot, 3>
<tired, 2>
<hold, 2>
<nearer, 1>
<blaze, 2>
<They, 9>
<quite, 6>
<worn, 1>
<Marmee, 9>
<No, 6>
<oldest, 2>
<cut, 3>
<man, 1>
<provide, 1>
<told, 6>
<special, 1>
<gone, 2>
<tell, 5>
<let, 6>
<something, 2>
<exclaimed, 5>
<Everyone, 1>
<soberly, 1>
<announced, 1>
<idea, 2>
<suggested, 1>
<gloves, 5>
<Army, 1>
<best, 7>
<Some, 2>
<handkerchiefs, 2>
<hemmed, 1>
<cologne, 3>
<likes, 1>
<left, 2>
<Put, 1>
<table, 11>
<bring, 2>
<open, 2>
<bundles, 6>
<used, 5>
<birthdays, 1>
<frightened, 2>
<sit, 5>
<crown, 1>
<come, 16>
<marching, 2>
<round, 9>
<kiss, 3>
<liked, 4>
<kisses, 1>
<opened, 4>
<toasting, 2>
<bread, 8>
<tea, 4>
<same, 4>
<getting, 6>
<surprise, 2>
<shopping, 1>
<tomorrow, 3>
<afternoon, 2>
<There, 9>
<play, 8>
<night, 7>
<behind, 6>
<back, 11>
<air, 5>
<act, 3>
<more, 10>
<after, 7>
<child, 2>
<dressing, 2>
<frolics, 1>
<stop, 2>
<trail, 1>
<gown, 1>
<gold, 1>
<paper, 4>
<jewelry, 1>
<actress, 1>
<there, 7>
<end, 4>
<quit, 1>
<boards, 1>
<rehearse, 1>
<tonight, 3>
<Come, 4>
<here, 8>
<fainting, 1>
<scene, 4>
<poker, 1>
<help, 12>
<saw, 5>
<faint, 2>
<choose, 1>
<black, 6>
<tumbling, 2>
<flat, 2>
<easily, 1>
<drop, 1>
<fall, 2>
<graceful, 1>
<Hugo, 10>
<pistol, 1>
<gifted, 2>
<dramatic, 2>
<power, 3>
<chosen, 1>
<small, 4>
<borne, 1>
<shrieking, 1>
<villain, 4>
<piece, 2>
<Do, 3>
<Clasp, 1>
<stagger, 1>
<crying, 4>
<frantically, 1>
<Roderigo, 13>
<Save, 2>
<went, 18>
<melodramatic, 1>
<scream, 1>
<truly, 6>
<thrilling, 2>
<followed, 3>
<poked, 1>
<stiffly, 1>
<jerked, 1>
<along, 1>
<machinery, 1>
<Ow, 1>
<suggestive, 1>
<pins, 1>
<run, 1>
<fear, 1>
<anguish, 1>
<gave, 6>
<despairing, 2>
<groan, 2>
<laughed, 3>
<outright, 1>
<burn, 3>
<watched, 1>
<interest, 2>
<comes, 3>
<audience, 6>
<laughs, 1>
<blame, 1>
<Then, 7>
<smoothly, 1>
<Pedro, 7>
<defied, 3>
<speech, 2>
<pages, 2>
<single, 1>
<break, 1>
<Hagar, 11>
<witch, 4>
<chanted, 1>
<awful, 2>
<incantation, 1>
<kettleful, 1>
<simmering, 1>
<toads, 1>
<weird, 1>
<rent, 1>
<his, 28>
<chains, 3>
<asunder, 1>
<manfully, 1>
<died, 1>
<agonies, 1>
<remorse, 1>
<arsenic, 1>
<wild, 3>
<Ha, 2>
<yet, 1>
<dead, 2>
<rubbed, 1>
<elbows, 1>
<write, 1>
<splendid, 5>
<Shakespeare, 1>
<firmly, 1>
<believed, 1>
<wonderful, 3>
<genius, 1>
<Not, 4>
<replied, 7>
<modestly, 1>
<Witches, 1>
<Curse, 1>
<Operatic, 1>
<Tragedy, 1>
<thing, 2>
<Macbeth, 1>
<trapdoor, 1>
<Banquo, 1>
<killing, 1>
<part, 2>
<Is, 2>
<dagger, 2>
<muttered, 1>
<rolling, 1>
<clutching, 2>
<seen, 2>
<famous, 1>
<tragedian, 1>
<fork, 1>
<shoe, 1>
<instead, 3>
<stage, 5>
<rehearsal, 1>
<general, 1>
<burst, 2>
<laughter, 2>
<Glad, 1>
<find, 6>
<merry, 2>
<cheery, 3>
<door, 7>
<actors, 3>
<turned, 2>
<motherly, 1>
<delightful, 1>
<elegantly, 1>
<dressed, 2>
<noble, 1>
<cloak, 6>
<unfashionable, 1>
<bonnet, 1>
<covered, 5>
<mother, 13>
<dearies, 1>
<today, 1>
<boxes, 1>
<dinner, 1>
<Has, 1>
<cold, 3>
<death, 2>
<baby, 4>
<While, 1>
<these, 5>
<maternal, 1>
<inquiries, 1>
<Mrs, 13>
<wet, 1>
<sitting, 1>
<drew, 3>
<lap, 1>
<preparing, 1>
<happiest, 1>
<hour, 3>
<busy, 2>
<flew, 4>
<trying, 5>
<arranged, 1>
<brought, 4>
<wood, 3>
<chairs, 1>
<dropping, 3>
<clattering, 1>
<touched, 2>
<trotted, 1>
<fro, 2>
<between, 2>
<parlor, 2>
<kitchen, 1>
<quiet, 4>
<directions, 2>
<folded, 1>
<gathered, 1>
<particularly, 1>
<treat, 3>
<supper, 3>
<quick, 2>
<smile, 2>
<streak, 1>
<sunshine, 2>
<clapped, 1>
<regardless, 1>
<biscuit, 1>
<held, 1>
<tossed, 2>
<napkin, 1>
<letter, 7>
<Three, 2>
<cheers, 2>
<Yes, 2>
<He, 14>
<through, 8>
<season, 1>
<feared, 1>
<sends, 1>
<sorts, 2>
<loving, 4>
<wishes, 2>
<especial, 1>
<message, 1>
<patting, 1>
<pocket, 2>
<treasure, 1>
<Hurry, 1>
<done, 5>
<quirk, 1>
<finger, 1>
<simper, 1>
<plate, 2>
<choking, 1>
<butter, 2>
<side, 2>
<haste, 1>
<ate, 3>
<crept, 3>
<shadowy, 1>
<brood, 1>
<delight, 2>
<others, 3>
<chaplain, 1>
<drafted, 1>
<strong, 3>
<soldier, 1>
<drummer, 1>
<vivan, 1>
<Or, 2>
<nurse, 1>
<near, 2>
<disagreeable, 1>
<sleep, 1>
<tent, 1>
<eat, 2>
<tasting, 1>
<drink, 2>
<tin, 3>
<mug, 1>
<When, 1>
<quiver, 1>
<many, 7>
<months, 1>
<unless, 1>
<sick, 2>
<faithfully, 2>
<ask, 2>
<sooner, 1>
<spared, 1>
<Now, 3>
<perched, 1>
<either, 1>
<arm, 2>
<leaning, 2>
<sign, 1>
<emotion, 1>
<happen, 1>
<touching, 4>
<Very, 2>
<letters, 2>
<written, 2>
<especially, 6>
<fathers, 1>
<sent, 5>
<In, 3>
<hardships, 1>
<endured, 1>
<dangers, 1>
<faced, 1>
<homesickness, 1>
<conquered, 1>
<hopeful, 1>
<full, 5>
<lively, 1>
<descriptions, 1>
<camp, 1>
<life, 2>
<marches, 1>
<military, 1>
<news, 2>
<writer, 1>
<heart, 3>
<flow, 1>
<fatherly, 1>
<love, 7>
<Give, 1>
<Tell, 1>
<pray, 1>
<comfort, 2>
<affection, 1>
<seems, 1>
<wait, 3>
<remind, 1>
<days, 2>
<wasted, 1>
<duty, 4>
<bosom, 2>
<enemies, 1>
<bravely, 1>
<conquer, 1>
<themselves, 2>
<beautifully, 1>
<fonder, 1>
<prouder, 1>
<women, 1>
<Everybody, 1>
<sniffed, 1>
<came, 13>
<wasn, 2>
<ashamed, 2>
<great, 8>
<tear, 2>
<dropped, 1>
<minded, 1>
<rumpling, 1>
<curls, 3>
<hid, 1>
<shoulder, 2>
<sobbed, 1>
<selfish, 2>
<mayn, 1>
<disappointed, 2>
<looks, 3>
<loves, 1>
<call, 2>
<wanting, 1>
<somewhere, 1>
<temper, 1>
<harder, 1>
<task, 2>
<facing, 1>
<rebel, 1>
<South, 1>
<wiped, 1>
<tears, 4>
<might, 2>
<losing, 1>
<doing, 2>
<lay, 1>
<nearest, 1>
<resolved, 1>
<soul, 1>
<hoped, 2>
<broke, 1>
<silence, 1>
<saying, 2>
<Pilgrims, 1>
<Progress, 1>
<Nothing, 1>
<delighted, 2>
<tie, 2>
<bags, 1>
<backs, 1>
<burdens, 2>
<hats, 2>
<sticks, 1>
<rolls, 1>
<travel, 1>
<house, 5>
<cellar, 2>
<City, 3>
<Destruction, 1>
<housetop, 1>
<lovely, 6>
<collect, 1>
<Celestial, 2>
<lions, 1>
<Apollyon, 1>
<passing, 1>
<valley, 1>
<hob, 1>
<goblins, 1>
<place, 2>
<tumbled, 2>
<downstairs, 1>
<except, 2>
<dark, 3>
<entry, 1>
<cake, 2>
<milk, 4>
<top, 1>
<renouncing, 1>
<childish, 1>
<mature, 1>
<age, 1>
<twelve, 1>
<Our, 2>
<road, 1>
<goodness, 1>
<happiness, 1>
<guide, 1>
<leads, 1>
<troubles, 1>
<mistakes, 1>
<true, 3>
<pilgrims, 1>
<suppose, 1>
<begin, 2>
<earnest, 2>
<Where, 4>
<literal, 1>
<Each, 1>
<burden, 1>
<just, 1>
<hasn, 1>
<Mine, 2>
<dusters, 1>
<envying, 1>
<pianos, 1>
<bundle, 1>
<everybody, 1>
<nobody, 1>
<hurt, 1>
<feelings, 2>
<thoughtfully, 1>
<story, 4>
<forget, 2>
<Slough, 1>
<Despond, 1>
<pulled, 1>
<Help, 1>
<book, 7>
<roll, 1>
<Christian, 1>
<fancy, 1>
<lent, 1>
<romance, 1>
<dull, 1>
<Look, 1>
<pillows, 1>
<morning, 7>
<guidebook, 2>
<talked, 3>
<plan, 2>
<Hannah, 6>
<cleared, 1>
<baskets, 1>
<made, 9>
<sheets, 2>
<Aunt, 2>
<uninteresting, 1>
<sewing, 1>
<adopted, 1>
<dividing, 1>
<seams, 1>
<calling, 1>
<quarters, 1>
<Europe, 1>
<Asia, 1>
<Africa, 1>
<America, 1>
<capitally, 2>
<different, 2>
<countries, 1>
<stitched, 1>
<At, 1>
<nine, 1>
<usual, 1>
<bed, 5>
<piano, 1>
<softly, 3>
<keys, 1>
<accompaniment, 1>
<simple, 2>
<songs, 1>
<flute, 1>
<led, 2>
<choir, 1>
<chirped, 1>
<cricket, 2>
<wandered, 1>
<wrong, 2>
<croak, 1>
<quaver, 1>
<spoiled, 5>
<pensive, 1>
<tune, 1>
<lisp, 1>
<Crinkle, 1>
<crinkle, 1>
<ittle, 1>
<tar, 1>
<become, 1>
<household, 1>
<custom, 1>
<born, 3>
<singer, 1>
<first, 5>
<sound, 3>
<singing, 3>
<lark, 1>
<last, 2>
<grew, 2>
<familiar, 1>
<lullaby, 1>
<wake, 2>
<dawn, 1>
<stockings, 1>
<fireplace, 1>
<felt, 3>
<ago, 3>
<crammed, 1>
<goodies, 1>
<remembered, 1>
<promise, 1>
<slipping, 1>
<pillow, 2>
<crimson, 1>
<knew, 4>
<beautiful, 1>
<lived, 3>
<pilgrim, 1>
<journey, 1>
<woke, 2>
<Merry, 3>
<bade, 1>
<green, 2>
<inside, 1>
<present, 3>
<precious, 2>
<Presently, 2>
<rummage, 1>
<also, 3>
<dove, 1>
<colored, 1>
<talking, 4>
<east, 1>
<vanities, 1>
<pious, 1>
<nature, 1>
<unconsciously, 1>
<influenced, 1>
<tenderly, 2>
<obeyed, 1>
<advice, 1>
<gently, 1>
<given, 2>
<Girls, 1>
<seriously, 1>
<beside, 1>
<capped, 1>
<ones, 3>
<beyond, 1>
<wants, 1>
<read, 7>
<mind, 3>
<once, 5>
<faithful, 1>
<since, 4>
<war, 1>
<trouble, 1>
<unsettled, 1>
<neglected, 1>
<keep, 5>
<every, 2>
<soon, 4>
<cheek, 2>
<restless, 1>
<explain, 1>
<understand, 2>
<whispered, 2>
<impressed, 1>
<example, 2>
<glad, 4>
<rooms, 1>
<still, 4>
<heads, 1>
<serious, 1>
<greeting, 1>
<ran, 4>
<thank, 1>
<gifts, 1>
<later, 1>
<Goodness, 1>
<knows, 2>
<creeter, 1>
<beggin, 1>
<ma, 1>
<straight, 1>
<needed, 2>
<givin, 1>
<vittles, 1>
<firin, 1>
<considered, 3>
<friend, 2>
<servant, 4>
<fry, 1>
<cakes, 1>
<collected, 1>
<basket, 3>
<kept, 1>
<sofa, 3>
<produced, 3>
<Why, 1>
<flask, 2>
<appear, 1>
<took, 5>
<ribbon, 3>
<notion, 1>
<dancing, 2>
<stiffness, 1>
<washed, 1>
<ironed, 1>
<marked, 1>
<proudly, 1>
<somewhat, 1>
<uneven, 2>
<labor, 1>
<Bless, 1>
<M, 3>
<taking, 2>
<Isn, 1>
<right, 4>
<initials, 1>
<troubled, 2>
<sensible, 1>
<mistake, 1>
<frown, 1>
<Hide, 1>
<slammed, 1>
<steps, 2>
<sounded, 3>
<hall, 2>
<hastily, 1>
<abashed, 1>
<waiting, 2>
<been, 10>
<hiding, 1>
<surprised, 2>
<hood, 1>
<lazy, 1>
<early, 2>
<meant, 2>
<change, 1>
<showed, 1>
<handsome, 1>
<replaced, 1>
<cheap, 1>
<humble, 1>
<effort, 1>
<hugged, 1>
<spot, 1>
<pronounced, 2>
<trump, 1>
<picked, 1>
<finest, 1>
<rose, 4>
<ornament, 1>
<stately, 1>
<reading, 1>
<changed, 1>
<handsomest, 1>
<Another, 2>
<bang, 2>
<street, 1>
<eager, 1>
<breakfast, 6>
<Many, 1>
<Thank, 1>
<chorus, 2>
<daughters, 1>
<hope, 1>
<word, 1>
<lies, 1>
<newborn, 1>
<Six, 1>
<huddled, 1>
<freezing, 1>
<hunger, 1>
<My, 3>
<unusually, 1>
<hungry, 4>
<waited, 2>
<impetuously, 1>
<carry, 2>
<eagerly, 1>
<cream, 2>
<muffings, 1>
<heroically, 1>
<article, 1>
<already, 1>
<covering, 1>
<buckwheats, 1>
<piling, 1>
<smiling, 1>
<dinnertime, 1>
<procession, 1>
<Fortunately, 1>
<streets, 1>
<queer, 2>
<party, 5>
<bare, 1>
<miserable, 1>
<broken, 3>
<ragged, 1>
<bedclothes, 1>
<wailing, 1>
<group, 1>
<cuddled, 1>
<quilt, 1>
<stared, 2>
<lips, 1>
<smiled, 3>
<Ach, 1>
<mein, 1>
<Gott, 1>
<angels, 2>
<joy, 1>
<Funny, 1>
<hoods, 1>
<mittens, 1>
<minutes, 1>
<seem, 1>
<kind, 1>
<spirits, 1>
<carried, 1>
<panes, 1>
<gruel, 1>
<comforted, 1>
<promises, 1>
<meantime, 1>
<spread, 1>
<fed, 2>
<birds, 1>
<Das, 1>
<ist, 1>
<gut, 1>
<Die, 1>
<Engel, 1>
<kinder, 1>
<warmed, 1>
<purple, 1>
<angel, 1>
<agreeable, 1>
<Sancho, 1>
<leaving, 1>
<city, 1>
<merrier, 1>
<breakfasts, 1>
<neighbor, 1>
<upstairs, 2>
<collecting, 1>
<Hummels, 1>
<show, 1>
<vase, 1>
<red, 4>
<trailing, 1>
<vines, 1>
<stood, 1>
<middle, 2>
<Strike, 1>
<Open, 1>
<prancing, 1>
<conduct, 1>
<seat, 1>
<honor, 2>
<played, 3>
<gayest, 1>
<march, 1>
<threw, 2>
<enacted, 1>
<escort, 1>
<examined, 2>
<notes, 1>
<accompanied, 1>
<handkerchief, 1>
<slipped, 1>
<scented, 1>
<fastened, 1>
<perfect, 1>
<fit, 2>
<kissing, 1>
<explaining, 1>
<festivals, 1>
<afterward, 1>
