<al, 1>
<delicious, 1>
<bit, 1>
<composed, 1>
<of, 1>
<a, 1>
<stone, 1>
<a, 1>
<stump, 1>
<one, 1>
<mushroom, 1>
<and, 1>
<a, 1>
<broken, 1>
<mullein, 1>
<stalk, 1>
<or, 1>
<a, 1>
<heavenly, 1>
<mass, 1>
<of, 1>
<clouds, 1>
<that, 1>
<looked, 1>
<like, 1>
<a, 1>
<choice, 1>
<display, 1>
<of, 1>
<featherbeds, 1>
<when, 1>
<done, 1>
<She, 1>
<sacrificed, 1>
<her, 1>
<complexion, 1>
<floating, 1>
<on, 1>
<the, 1>
<river, 1>
<in, 1>
<the, 1>
<midsummer, 1>
<sun, 1>
<to, 1>
<study, 1>
<light, 1>
<and, 1>
<shade, 1>
<and, 1>
<got, 1>
<a, 1>
<wrinkle, 1>
<over, 1>
<her, 1>
<nose, 1>
<trying, 1>
<after, 1>
<points, 1>
<of, 1>
<sight, 1>
<or, 1>
<whatever, 1>
<the, 1>
<squint, 1>
<and, 1>
<string, 1>
<performance, 1>
<is, 1>
<called, 1>
<If, 1>
<genius, 1>
<is, 1>
<eternal, 1>
<patience, 1>
<as, 1>
<Michelangelo, 1>
<affirms, 1>
<Amy, 1>
<had, 1>
<some, 1>
<claim, 1>
<to, 1>
<the, 1>
<divine, 1>
<attribute, 1>
<for, 1>
<she, 1>
<persevered, 1>
<in, 1>
<spite, 1>
<of, 1>
<all, 1>
<obstacles, 1>
<failures, 1>
<and, 1>
<discouragements, 1>
<firmly, 1>
<believing, 1>
<that, 1>
<in, 1>
<time, 1>
<she, 1>
<should, 1>
<do, 1>
<something, 1>
<worthy, 1>
<to, 1>
<be, 1>
<called, 1>
<high, 1>
<art, 1>
<She, 1>
<was, 1>
<learning, 1>
<doing, 1>
<and, 1>
<enjoying, 1>
<other, 1>
<things, 1>
<meanwhile, 1>
<for, 1>
<she, 1>
<had, 1>
<resolved, 1>
<to, 1>
<be, 1>
<an, 1>
<attractive, 1>
<and, 1>
<accomplished, 1>
<woman, 1>
<even, 1>
<if, 1>
<she, 1>
<never, 1>
<became, 1>
<a, 1>
<great, 1>
<artist, 1>
<Here, 1>
<she, 1>
<succeeded, 1>
<better, 1>
<for, 1>
<she, 1>
<was, 1>
<one, 1>
<of, 1>
<those, 1>
<happily, 1>
<created, 1>
<beings, 1>
<who, 1>
<please, 1>
<without, 1>
<effort, 1>
<make, 1>
<friends, 1>
<everywhere, 1>
<and, 1>
<take, 1>
<life, 1>
<so, 1>
<gracefully, 1>
<and, 1>
<easily, 1>
<that, 1>
<less, 1>
<fortunate, 1>
<souls, 1>
<are, 1>
<tempted, 1>
<to, 1>
<believe, 1>
<that, 1>
<such, 1>
<are, 1>
<born, 1>
<under, 1>
<a, 1>
<lucky, 1>
<star, 1>
<Everybody, 1>
<liked, 1>
<her, 1>
<for, 1>
<among, 1>
<her, 1>
<good, 1>
<gifts, 1>
<was, 1>
<tact, 1>
<She, 1>
<had, 1>
<an, 1>
<instinctive, 1>
<sense, 1>
<of, 1>
<what, 1>
<was, 1>
<pleasing, 1>
<and, 1>
<proper, 1>
<always, 1>
<said, 1>
<the, 1>
<right, 1>
<thing, 1>
<to, 1>
<the, 1>
<right, 1>
<person, 1>
<did, 1>
<just, 1>
<what, 1>
<suited, 1>
<the, 1>
<time, 1>
<and, 1>
<place, 1>
<and, 1>
<was, 1>
<so, 1>
<self, 1>
<possessed, 1>
<that, 1>
<her, 1>
<sisters, 1>
<used, 1>
<to, 1>
<say, 1>
<If, 1>
<Amy, 1>
<went, 1>
<to, 1>
<court, 1>
<without, 1>
<any, 1>
<rehearsal, 1>
<beforehand, 1>
<she, 1>
<d, 1>
<know, 1>
<exactly, 1>
<what, 1>
<to, 1>
<do, 1>
<One, 1>
<of, 1>
<her, 1>
<weaknesses, 1>
<was, 1>
<a, 1>
<desire, 1>
<to, 1>
<move, 1>
<in, 1>
<our, 1>
<best, 1>
<society, 1>
<without, 1>
<being, 1>
<quite, 1>
<sure, 1>
<what, 1>
<the, 1>
<best, 1>
<really, 1>
<was, 1>
<Money, 1>
<position, 1>
<fashionable, 1>
<accomplishments, 1>
<and, 1>
<elegant, 1>
<manners, 1>
<were, 1>
<most, 1>
<desirable, 1>
<things, 1>
<in, 1>
<her, 1>
<eyes, 1>
<and, 1>
<she, 1>
<liked, 1>
<to, 1>
<associate, 1>
<with, 1>
<those, 1>
<who, 1>
<possessed, 1>
<them, 1>
<often, 1>
<mistaking, 1>
<the, 1>
<false, 1>
<for, 1>
<the, 1>
<true, 1>
<and, 1>
<admiring, 1>
<what, 1>
<was, 1>
<not, 1>
<admirable, 1>
<Never, 1>
<forgetting, 1>
<that, 1>
<by, 1>
<birth, 1>
<she, 1>
<was, 1>
<a, 1>
<gentlewoman, 1>
<she, 1>
<cultivated, 1>
<her, 1>
<aristocratic, 1>
<tastes, 1>
<and, 1>
<feelings, 1>
<so, 1>
<that, 1>
<when, 1>
<the, 1>
<opportunity, 1>
<came, 1>
<she, 1>
<might, 1>
<be, 1>
<ready, 1>
<to, 1>
<take, 1>
<the, 1>
<place, 1>
<from, 1>
<which, 1>
<poverty, 1>
<now, 1>
<excluded, 1>
<her, 1>
<My, 1>
<lady, 1>
<as, 1>
<her, 1>
<friends, 1>
<called, 1>
<her, 1>
<sincerely, 1>
<desired, 1>
<to, 1>
<be, 1>
<a, 1>
<genuine, 1>
<lady, 1>
<and, 1>
<was, 1>
<so, 1>
<at, 1>
<heart, 1>
<but, 1>
<had, 1>
<yet, 1>
<to, 1>
<learn, 1>
<that, 1>
<money, 1>
<cannot, 1>
<buy, 1>
<refinement, 1>
<of, 1>
<nature, 1>
<that, 1>
<rank, 1>
<does, 1>
<not, 1>
<always, 1>
<confer, 1>
<nobility, 1>
<and, 1>
<that, 1>
<true, 1>
<breeding, 1>
<makes, 1>
<itself, 1>
<felt, 1>
<in, 1>
<spite, 1>
<of, 1>
<external, 1>
<drawbacks, 1>
<I, 1>
<want, 1>
<to, 1>
<ask, 1>
<a, 1>
<favor, 1>
<of, 1>
<you, 1>
<Mamma, 1>
<Amy, 1>
<said, 1>
<coming, 1>
<in, 1>
<with, 1>
<an, 1>
<important, 1>
<air, 1>
<one, 1>
<day, 1>
<Well, 1>
<little, 1>
<girl, 1>
<what, 1>
<is, 1>
<it, 1>
<replied, 1>
<her, 1>
<mother, 1>
<in, 1>
<whose, 1>
<eyes, 1>
<the, 1>
<stately, 1>
<young, 1>
<lady, 1>
<still, 1>
<remained, 1>
<the, 1>
<baby, 1>
<Our, 1>
<drawing, 1>
<class, 1>
<breaks, 1>
<up, 1>
<next, 1>
<week, 1>
<and, 1>
<before, 1>
<the, 1>
<girls, 1>
<separate, 1>
<for, 1>
<the, 1>
<summer, 1>
<I, 1>
<want, 1>
<to, 1>
<ask, 1>
<them, 1>
<out, 1>
<here, 1>
<for, 1>
<a, 1>
<day, 1>
<They, 1>
<are, 1>
<wild, 1>
<to, 1>
<see, 1>
<the, 1>
<river, 1>
<sketch, 1>
<the, 1>
<broken, 1>
<bridge, 1>
<and, 1>
<copy, 1>
<some, 1>
<of, 1>
<the, 1>
<things, 1>
<they, 1>
<admire, 1>
<in, 1>
<my, 1>
<book, 1>
<They, 1>
<have, 1>
<been, 1>
<very, 1>
<kind, 1>
<to, 1>
<me, 1>
<in, 1>
<many, 1>
<ways, 1>
<and, 1>
<I, 1>
<am, 1>
<grateful, 1>
<for, 1>
<they, 1>
<are, 1>
<all, 1>
<rich, 1>
<and, 1>
<I, 1>
<know, 1>
<I, 1>
<am, 1>
<poor, 1>
<yet, 1>
<they, 1>
<never, 1>
<made, 1>
<any, 1>
<difference, 1>
<Why, 1>
<should, 1>
<they, 1>
<and, 1>
<Mrs, 1>
<March, 1>
<put, 1>
<the, 1>
<question, 1>
<with, 1>
<what, 1>
<the, 1>
<girls, 1>
<called, 1>
<her, 1>
<Maria, 1>
<Theresa, 1>
<air, 1>
<You, 1>
<know, 1>
<as, 1>
<well, 1>
<as, 1>
<I, 1>
<that, 1>
<it, 1>
<does, 1>
<make, 1>
<a, 1>
<difference, 1>
<with, 1>
<nearly, 1>
<everyone, 1>
<so, 1>
<don, 1>
<t, 1>
<ruffle, 1>
<up, 1>
<like, 1>
<a, 1>
<dear, 1>
<motherly, 1>
<hen, 1>
<when, 1>
<your, 1>
<chickens, 1>
<get, 1>
<pecked, 1>
<by, 1>
<smarter, 1>
<birds, 1>
<The, 1>
<ugly, 1>
<duckling, 1>
<turned, 1>
<out, 1>
<a, 1>
<swan, 1>
<you, 1>
<know, 1>
<and, 1>
<Amy, 1>
<smiled, 1>
<without, 1>
<bitterness, 1>
<for, 1>
<she, 1>
<possessed, 1>
<a, 1>
<happy, 1>
<temper, 1>
<and, 1>
<hopeful, 1>
<spirit, 1>
<Mrs, 1>
<March, 1>
<laughed, 1>
<and, 1>
<smoothed, 1>
<down, 1>
<her, 1>
<maternal, 1>
<pride, 1>
<as, 1>
<she, 1>
<asked, 1>
<Well, 1>
<my, 1>
<swan, 1>
<what, 1>
<is, 1>
<your, 1>
<plan, 1>
<I, 1>
<should, 1>
<like, 1>
<to, 1>
<ask, 1>
<the, 1>
<girls, 1>
<out, 1>
<to, 1>
<lunch, 1>
<next, 1>
<week, 1>
<to, 1>
<take, 1>
<them, 1>
<for, 1>
<a, 1>
<drive, 1>
<to, 1>
<the, 1>
<places, 1>
<they, 1>
<want, 1>
<to, 1>
<see, 1>
<a, 1>
<row, 1>
<on, 1>
<the, 1>
<river, 1>
<perhaps, 1>
<and, 1>
<make, 1>
<a, 1>
<little, 1>
<artistic, 1>
<fete, 1>
<for, 1>
<them, 1>
<That, 1>
<looks, 1>
<feasible, 1>
<What, 1>
<do, 1>
<you, 1>
<want, 1>
<for, 1>
<lunch, 1>
<Cake, 1>
<sandwiches, 1>
<fruit, 1>
<and, 1>
<coffee, 1>
<will, 1>
<be, 1>
<all, 1>
<that, 1>
<is, 1>
<necessary, 1>
<I, 1>
<suppose, 1>
<Oh, 1>
<dear, 1>
<no, 1>
<We, 1>
<must, 1>
<have, 1>
<cold, 1>
<tongue, 1>
<and, 1>
<chicken, 1>
<French, 1>
<chocolate, 1>
<and, 1>
<ice, 1>
<cream, 1>
<besides, 1>
<The, 1>
<girls, 1>
<are, 1>
<used, 1>
<to, 1>
<such, 1>
<things, 1>
<and, 1>
<I, 1>
<want, 1>
<my, 1>
<lunch, 1>
<to, 1>
<be, 1>
<proper, 1>
<and, 1>
<elegant, 1>
<though, 1>
<I, 1>
<do, 1>
<work, 1>
<for, 1>
<my, 1>
<living, 1>
<How, 1>
<many, 1>
<young, 1>
<ladies, 1>
<are, 1>
<there, 1>
<asked, 1>
<her, 1>
<mother, 1>
<beginning, 1>
<to, 1>
<look, 1>
<sober, 1>
<Twelve, 1>
<or, 1>
<fourteen, 1>
<in, 1>
<the, 1>
<class, 1>
<but, 1>
<I, 1>
<dare, 1>
<say, 1>
<they, 1>
<won, 1>
<t, 1>
<all, 1>
<come, 1>
<Bless, 1>
<me, 1>
<child, 1>
<you, 1>
<will, 1>
<have, 1>
<to, 1>
<charter, 1>
<an, 1>
<omnibus, 1>
<to, 1>
<carry, 1>
<them, 1>
<about, 1>
<Why, 1>
<Mother, 1>
<how, 1>
<can, 1>
<you, 1>
<think, 1>
<of, 1>
<such, 1>
<a, 1>
<thing, 1>
<Not, 1>
<more, 1>
<than, 1>
<six, 1>
<or, 1>
<eight, 1>
<will, 1>
<probably, 1>
<come, 1>
<so, 1>
<I, 1>
<shall, 1>
<hire, 1>
<a, 1>
<beach, 1>
<wagon, 1>
<and, 1>
<borrow, 1>
<Mr, 1>
<Laurence, 1>
<s, 1>
<cherry, 1>
<bounce, 1>
<Hannah, 1>
<s, 1>
<pronunciation, 1>
<of, 1>
<char, 1>
<a, 1>
<banc, 1>
<All, 1>
<of, 1>
<this, 1>
<will, 1>
<be, 1>
<expensive, 1>
<Amy, 1>
<Not, 1>
<very, 1>
<I, 1>
<ve, 1>
<calculated, 1>
<the, 1>
<cost, 1>
<and, 1>
<I, 1>
<ll, 1>
<pay, 1>
<for, 1>
<it, 1>
<myself, 1>
<Don, 1>
<t, 1>
<you, 1>
<think, 1>
<dear, 1>
<that, 1>
<as, 1>
<these, 1>
<girls, 1>
<are, 1>
<used, 1>
<to, 1>
<such, 1>
<things, 1>
<and, 1>
<the, 1>
<best, 1>
<we, 1>
<can, 1>
<do, 1>
<will, 1>
<be, 1>
<nothing, 1>
<new, 1>
<that, 1>
<some, 1>
<simpler, 1>
<plan, 1>
<would, 1>
<be, 1>
<pleasanter, 1>
<to, 1>
<them, 1>
<as, 1>
<a, 1>
<change, 1>
<if, 1>
<nothing, 1>
<more, 1>
<and, 1>
<much, 1>
<better, 1>
<for, 1>
<us, 1>
<than, 1>
<buying, 1>
<or, 1>
<borrowing, 1>
<what, 1>
<we, 1>
<don, 1>
<t, 1>
<need, 1>
<and, 1>
<attempting, 1>
<a, 1>
<style, 1>
<not, 1>
<in, 1>
<keeping, 1>
<with, 1>
<our, 1>
<circumstances, 1>
<If, 1>
<I, 1>
<can, 1>
<t, 1>
<have, 1>
<it, 1>
<as, 1>
<I, 1>
<like, 1>
<I, 1>
<don, 1>
<t, 1>
<care, 1>
<to, 1>
<have, 1>
<it, 1>
<at, 1>
<all, 1>
<I, 1>
<know, 1>
<that, 1>
<I, 1>
<can, 1>
<carry, 1>
<it, 1>
<out, 1>
<perfectly, 1>
<well, 1>
<if, 1>
<you, 1>
<and, 1>
<the, 1>
<girls, 1>
<will, 1>
<help, 1>
<a, 1>
<little, 1>
<and, 1>
<I, 1>
<don, 1>
<t, 1>
<see, 1>
<why, 1>
<I, 1>
<can, 1>
<t, 1>
<if, 1>
<I, 1>
<m, 1>
<willing, 1>
<to, 1>
<pay, 1>
<for, 1>
<it, 1>
<said, 1>
<Amy, 1>
<with, 1>
<the, 1>
<decision, 1>
<which, 1>
<opposition, 1>
<was, 1>
<apt, 1>
<to, 1>
<change, 1>
<into, 1>
<obstinacy, 1>
<Mrs, 1>
<March, 1>
<knew, 1>
<that, 1>
<experience, 1>
<was, 1>
<an, 1>
<excellent, 1>
<teacher, 1>
<and, 1>
<when, 1>
<it, 1>
<was, 1>
<possible, 1>
<she, 1>
<left, 1>
<her, 1>
<children, 1>
<to, 1>
<learn, 1>
<alone, 1>
<the, 1>
<lessons, 1>
<which, 1>
<she, 1>
<would, 1>
<gladly, 1>
<have, 1>
<made, 1>
<easier, 1>
<if, 1>
<they, 1>
<had, 1>
<not, 1>
<objected, 1>
<to, 1>
<taking, 1>
<advice, 1>
<as, 1>
<much, 1>
<as, 1>
<they, 1>
<did, 1>
<salts, 1>
<and, 1>
<senna, 1>
<Very, 1>
<well, 1>
<Amy, 1>
<if, 1>
<your, 1>
<heart, 1>
<is, 1>
<set, 1>
<upon, 1>
<it, 1>
<and, 1>
<you, 1>
<see, 1>
<your, 1>
<way, 1>
<through, 1>
<without, 1>
<too, 1>
<great, 1>
<an, 1>
<outlay, 1>
<of, 1>
<money, 1>
<time, 1>
<and, 1>
<temper, 1>
<I, 1>
<ll, 1>
<say, 1>
<no, 1>
<more, 1>
<Talk, 1>
<it, 1>
<over, 1>
<with, 1>
<the, 1>
<girls, 1>
<and, 1>
<whichever, 1>
<way, 1>
<you, 1>
<decide, 1>
<I, 1>
<ll, 1>
<do, 1>
<my, 1>
<best, 1>
<to, 1>
<help, 1>
<you, 1>
<Thanks, 1>
<Mother, 1>
<you, 1>
<are, 1>
<always, 1>
<so, 1>
<kind, 1>
<and, 1>
<away, 1>
<went, 1>
<Amy, 1>
<to, 1>
<lay, 1>
<her, 1>
<plan, 1>
<before, 1>
<her, 1>
<sisters, 1>
<Meg, 1>
<agreed, 1>
<at, 1>
<once, 1>
<and, 1>
<promised, 1>
<her, 1>
<aid, 1>
<gladly, 1>
<offering, 1>
<anything, 1>
<she, 1>
<possessed, 1>
<from, 1>
<her, 1>
<little, 1>
<house, 1>
<itself, 1>
<to, 1>
<her, 1>
<very, 1>
<best, 1>
<saltspoons, 1>
<But, 1>
<Jo, 1>
<frowned, 1>
<upon, 1>
<the, 1>
<whole, 1>
<project, 1>
<and, 1>
<would, 1>
<have, 1>
<nothing, 1>
<to, 1>
<do, 1>
<with, 1>
<it, 1>
<at, 1>
<first, 1>
<Why, 1>
