<bashful, 1>
<Laurie, 1>
<loved, 1>
<them, 1>
<as, 1>
<well, 1>
<as, 1>
<she, 1>
<did, 1>
<and, 1>
<had, 1>
<read, 1>
<even, 1>
<more, 1>
<than, 1>
<herself, 1>
<If, 1>
<you, 1>
<like, 1>
<them, 1>
<so, 1>
<much, 1>
<come, 1>
<down, 1>
<and, 1>
<see, 1>
<ours, 1>
<Grandfather, 1>
<is, 1>
<out, 1>
<so, 1>
<you, 1>
<needn, 1>
<t, 1>
<be, 1>
<afraid, 1>
<said, 1>
<Laurie, 1>
<getting, 1>
<up, 1>
<I, 1>
<m, 1>
<not, 1>
<afraid, 1>
<of, 1>
<anything, 1>
<returned, 1>
<Jo, 1>
<with, 1>
<a, 1>
<toss, 1>
<of, 1>
<the, 1>
<head, 1>
<I, 1>
<don, 1>
<t, 1>
<believe, 1>
<you, 1>
<are, 1>
<exclaimed, 1>
<the, 1>
<boy, 1>
<looking, 1>
<at, 1>
<her, 1>
<with, 1>
<much, 1>
<admiration, 1>
<though, 1>
<he, 1>
<privately, 1>
<thought, 1>
<she, 1>
<would, 1>
<have, 1>
<good, 1>
<reason, 1>
<to, 1>
<be, 1>
<a, 1>
<trifle, 1>
<afraid, 1>
<of, 1>
<the, 1>
<old, 1>
<gentleman, 1>
<if, 1>
<she, 1>
<met, 1>
<him, 1>
<in, 1>
<some, 1>
<of, 1>
<his, 1>
<moods, 1>
<The, 1>
<atmosphere, 1>
<of, 1>
<the, 1>
<whole, 1>
<house, 1>
<being, 1>
<summerlike, 1>
<Laurie, 1>
<led, 1>
<the, 1>
<way, 1>
<from, 1>
<room, 1>
<to, 1>
<room, 1>
<letting, 1>
<Jo, 1>
<stop, 1>
<to, 1>
<examine, 1>
<whatever, 1>
<struck, 1>
<her, 1>
<fancy, 1>
<And, 1>
<so, 1>
<at, 1>
<last, 1>
<they, 1>
<came, 1>
<to, 1>
<the, 1>
<library, 1>
<where, 1>
<she, 1>
<clapped, 1>
<her, 1>
<hands, 1>
<and, 1>
<pranced, 1>
<as, 1>
<she, 1>
<always, 1>
<did, 1>
<when, 1>
<especially, 1>
<delighted, 1>
<It, 1>
<was, 1>
<lined, 1>
<with, 1>
<books, 1>
<and, 1>
<there, 1>
<were, 1>
<pictures, 1>
<and, 1>
<statues, 1>
<and, 1>
<distracting, 1>
<little, 1>
<cabinets, 1>
<full, 1>
<of, 1>
<coins, 1>
<and, 1>
<curiosities, 1>
<and, 1>
<Sleepy, 1>
<Hollow, 1>
<chairs, 1>
<and, 1>
<queer, 1>
<tables, 1>
<and, 1>
<bronzes, 1>
<and, 1>
<best, 1>
<of, 1>
<all, 1>
<a, 1>
<great, 1>
<open, 1>
<fireplace, 1>
<with, 1>
<quaint, 1>
<tiles, 1>
<all, 1>
<round, 1>
<it, 1>
<What, 1>
<richness, 1>
<sighed, 1>
<Jo, 1>
<sinking, 1>
<into, 1>
<the, 1>
<depth, 1>
<of, 1>
<a, 1>
<velour, 1>
<chair, 1>
<and, 1>
<gazing, 1>
<about, 1>
<her, 1>
<with, 1>
<an, 1>
<air, 1>
<of, 1>
<intense, 1>
<satisfaction, 1>
<Theodore, 1>
<Laurence, 1>
<you, 1>
<ought, 1>
<to, 1>
<be, 1>
<the, 1>
<happiest, 1>
<boy, 1>
<in, 1>
<the, 1>
<world, 1>
<she, 1>
<added, 1>
<impressively, 1>
<A, 1>
<fellow, 1>
<can, 1>
<t, 1>
<live, 1>
<on, 1>
<books, 1>
<said, 1>
<Laurie, 1>
<shaking, 1>
<his, 1>
<head, 1>
<as, 1>
<he, 1>
<perched, 1>
<on, 1>
<a, 1>
<table, 1>
<opposite, 1>
<Before, 1>
<he, 1>
<could, 1>
<say, 1>
<more, 1>
<a, 1>
<bell, 1>
<rang, 1>
<and, 1>
<Jo, 1>
<flew, 1>
<up, 1>
<exclaiming, 1>
<with, 1>
<alarm, 1>
<Mercy, 1>
<me, 1>
<It, 1>
<s, 1>
<your, 1>
<grandpa, 1>
<Well, 1>
<what, 1>
<if, 1>
<it, 1>
<is, 1>
<You, 1>
<are, 1>
<not, 1>
<afraid, 1>
<of, 1>
<anything, 1>
<you, 1>
<know, 1>
<returned, 1>
<the, 1>
<boy, 1>
<looking, 1>
<wicked, 1>
<I, 1>
<think, 1>
<I, 1>
<am, 1>
<a, 1>
<little, 1>
<bit, 1>
<afraid, 1>
<of, 1>
<him, 1>
<but, 1>
<I, 1>
<don, 1>
<t, 1>
<know, 1>
<why, 1>
<I, 1>
<should, 1>
<be, 1>
<Marmee, 1>
<said, 1>
<I, 1>
<might, 1>
<come, 1>
<and, 1>
<I, 1>
<don, 1>
<t, 1>
<think, 1>
<you, 1>
<re, 1>
<any, 1>
<the, 1>
<worse, 1>
<for, 1>
<it, 1>
<said, 1>
<Jo, 1>
<composing, 1>
<herself, 1>
<though, 1>
<she, 1>
<kept, 1>
<her, 1>
<eyes, 1>
<on, 1>
<the, 1>
<door, 1>
<I, 1>
<m, 1>
<a, 1>
<great, 1>
<deal, 1>
<better, 1>
<for, 1>
<it, 1>
<and, 1>
<ever, 1>
<so, 1>
<much, 1>
<obliged, 1>
<I, 1>
<m, 1>
<only, 1>
<afraid, 1>
<you, 1>
<are, 1>
<very, 1>
<tired, 1>
<of, 1>
<talking, 1>
<to, 1>
<me, 1>
<It, 1>
<was, 1>
<so, 1>
<pleasant, 1>
<I, 1>
<couldn, 1>
<t, 1>
<bear, 1>
<to, 1>
<stop, 1>
<said, 1>
<Laurie, 1>
<gratefully, 1>
<The, 1>
<doctor, 1>
<to, 1>
<see, 1>
<you, 1>
<sir, 1>
<and, 1>
<the, 1>
<maid, 1>
<beckoned, 1>
<as, 1>
<she, 1>
<spoke, 1>
<Would, 1>
<you, 1>
<mind, 1>
<if, 1>
<I, 1>
<left, 1>
<you, 1>
<for, 1>
<a, 1>
<minute, 1>
<I, 1>
<suppose, 1>
<I, 1>
<must, 1>
<see, 1>
<him, 1>
<said, 1>
<Laurie, 1>
<Don, 1>
<t, 1>
<mind, 1>
<me, 1>
<I, 1>
<m, 1>
<happy, 1>
<as, 1>
<a, 1>
<cricket, 1>
<here, 1>
<answered, 1>
<Jo, 1>
<Laurie, 1>
<went, 1>
<away, 1>
<and, 1>
<his, 1>
<guest, 1>
<amused, 1>
<herself, 1>
<in, 1>
<her, 1>
<own, 1>
<way, 1>
<She, 1>
<was, 1>
<standing, 1>
<before, 1>
<a, 1>
<fine, 1>
<portrait, 1>
<of, 1>
<the, 1>
<old, 1>
<gentleman, 1>
<when, 1>
<the, 1>
<door, 1>
<opened, 1>
<again, 1>
<and, 1>
<without, 1>
<turning, 1>
<she, 1>
<said, 1>
<decidedly, 1>
<I, 1>
<m, 1>
<sure, 1>
<now, 1>
<that, 1>
<I, 1>
<shouldn, 1>
<t, 1>
<be, 1>
<afraid, 1>
<of, 1>
<him, 1>
<for, 1>
<he, 1>
<s, 1>
<got, 1>
<kind, 1>
<eyes, 1>
<though, 1>
<his, 1>
<mouth, 1>
<is, 1>
<grim, 1>
<and, 1>
<he, 1>
<looks, 1>
<as, 1>
<if, 1>
<he, 1>
<had, 1>
<a, 1>
<tremendous, 1>
<will, 1>
<of, 1>
<his, 1>
<own, 1>
<He, 1>
<isn, 1>
<t, 1>
<as, 1>
<handsome, 1>
<as, 1>
<my, 1>
<grandfather, 1>
<but, 1>
<I, 1>
<like, 1>
<him, 1>
<Thank, 1>
<you, 1>
<ma, 1>
<am, 1>
<said, 1>
<a, 1>
<gruff, 1>
<voice, 1>
<behind, 1>
<her, 1>
<and, 1>
<there, 1>
<to, 1>
<her, 1>
<great, 1>
<dismay, 1>
<stood, 1>
<old, 1>
<Mr, 1>
<Laurence, 1>
<Poor, 1>
<Jo, 1>
<blushed, 1>
<till, 1>
<she, 1>
<couldn, 1>
<t, 1>
<blush, 1>
<any, 1>
<redder, 1>
<and, 1>
<her, 1>
<heart, 1>
<began, 1>
<to, 1>
<beat, 1>
<uncomfortably, 1>
<fast, 1>
<as, 1>
<she, 1>
<thought, 1>
<what, 1>
<she, 1>
<had, 1>
<said, 1>
<For, 1>
<a, 1>
<minute, 1>
<a, 1>
<wild, 1>
<desire, 1>
<to, 1>
<run, 1>
<away, 1>
<possessed, 1>
<her, 1>
<but, 1>
<that, 1>
<was, 1>
<cowardly, 1>
<and, 1>
<the, 1>
<girls, 1>
<would, 1>
<laugh, 1>
<at, 1>
<her, 1>
<so, 1>
<she, 1>
<resolved, 1>
<to, 1>
<stay, 1>
<and, 1>
<get, 1>
<out, 1>
<of, 1>
<the, 1>
<scrape, 1>
<as, 1>
<she, 1>
<could, 1>
<A, 1>
<second, 1>
<look, 1>
<showed, 1>
<her, 1>
<that, 1>
<the, 1>
<living, 1>
<eyes, 1>
<under, 1>
<the, 1>
<bushy, 1>
<eyebrows, 1>
<were, 1>
<kinder, 1>
<even, 1>
<than, 1>
<the, 1>
<painted, 1>
<ones, 1>
<and, 1>
<there, 1>
<was, 1>
<a, 1>
<sly, 1>
<twinkle, 1>
<in, 1>
<them, 1>
<which, 1>
<lessened, 1>
<her, 1>
<fear, 1>
<a, 1>
<good, 1>
<deal, 1>
<The, 1>
<gruff, 1>
<voice, 1>
<was, 1>
<gruffer, 1>
<than, 1>
<ever, 1>
<as, 1>
<the, 1>
<old, 1>
<gentleman, 1>
<said, 1>
<abruptly, 1>
<after, 1>
<the, 1>
<dreadful, 1>
<pause, 1>
<So, 1>
<you, 1>
<re, 1>
<not, 1>
<afraid, 1>
<of, 1>
<me, 1>
<hey, 1>
<Not, 1>
<much, 1>
<sir, 1>
<And, 1>
<you, 1>
<don, 1>
<t, 1>
<think, 1>
<me, 1>
<as, 1>
<handsome, 1>
<as, 1>
<your, 1>
<grandfather, 1>
<Not, 1>
<quite, 1>
<sir, 1>
<And, 1>
<I, 1>
<ve, 1>
<got, 1>
<a, 1>
<tremendous, 1>
<will, 1>
<have, 1>
<I, 1>
<I, 1>
<only, 1>
<said, 1>
<I, 1>
<thought, 1>
<so, 1>
<But, 1>
<you, 1>
<like, 1>
<me, 1>
<in, 1>
<spite, 1>
<of, 1>
<it, 1>
<Yes, 1>
<I, 1>
<do, 1>
<sir, 1>
<That, 1>
<answer, 1>
<pleased, 1>
<the, 1>
<old, 1>
<gentleman, 1>
<He, 1>
<gave, 1>
<a, 1>
<short, 1>
<laugh, 1>
<shook, 1>
<hands, 1>
<with, 1>
<her, 1>
<and, 1>
<putting, 1>
<his, 1>
<finger, 1>
<under, 1>
<her, 1>
<chin, 1>
<turned, 1>
<up, 1>
<her, 1>
<face, 1>
<examined, 1>
<it, 1>
<gravely, 1>
<and, 1>
<let, 1>
<it, 1>
<go, 1>
<saying, 1>
<with, 1>
<a, 1>
<nod, 1>
<You, 1>
<ve, 1>
<got, 1>
<your, 1>
<grandfather, 1>
<s, 1>
<spirit, 1>
<if, 1>
<you, 1>
<haven, 1>
<t, 1>
<his, 1>
<face, 1>
<He, 1>
<was, 1>
<a, 1>
<fine, 1>
<man, 1>
<my, 1>
<dear, 1>
<but, 1>
<what, 1>
<is, 1>
<better, 1>
<he, 1>
<was, 1>
<a, 1>
<brave, 1>
<and, 1>
<an, 1>
<honest, 1>
<one, 1>
<and, 1>
<I, 1>
<was, 1>
<proud, 1>
<to, 1>
<be, 1>
<his, 1>
<friend, 1>
<Thank, 1>
<you, 1>
<sir, 1>
<And, 1>
<Jo, 1>
<was, 1>
<quite, 1>
<comfortable, 1>
<after, 1>
<that, 1>
<for, 1>
<it, 1>
<suited, 1>
<her, 1>
<exactly, 1>
<What, 1>
<have, 1>
<you, 1>
<been, 1>
<doing, 1>
<to, 1>
<this, 1>
<boy, 1>
<of, 1>
<mine, 1>
<hey, 1>
<was, 1>
<the, 1>
<next, 1>
<question, 1>
<sharply, 1>
<put, 1>
<Only, 1>
<trying, 1>
<to, 1>
<be, 1>
<neighborly, 1>
<sir, 1>
<And, 1>
<Jo, 1>
<told, 1>
<how, 1>
<her, 1>
<visit, 1>
<came, 1>
<about, 1>
<You, 1>
<think, 1>
<he, 1>
<needs, 1>
<cheering, 1>
<up, 1>
<a, 1>
<bit, 1>
<do, 1>
<you, 1>
<Yes, 1>
<sir, 1>
<he, 1>
<seems, 1>
<a, 1>
<little, 1>
<lonely, 1>
<and, 1>
<young, 1>
<folks, 1>
<would, 1>
<do, 1>
<him, 1>
<good, 1>
<perhaps, 1>
<We, 1>
<are, 1>
<only, 1>
<girls, 1>
<but, 1>
<we, 1>
<should, 1>
<be, 1>
<glad, 1>
<to, 1>
<help, 1>
<if, 1>
<we, 1>
<could, 1>
<for, 1>
<we, 1>
<don, 1>
<t, 1>
<forget, 1>
<the, 1>
<splendid, 1>
<Christmas, 1>
<present, 1>
<you, 1>
<sent, 1>
<us, 1>
<said, 1>
<Jo, 1>
<eagerly, 1>
<Tut, 1>
<tut, 1>
<tut, 1>
<That, 1>
<was, 1>
<the, 1>
<boy, 1>
<s, 1>
<affair, 1>
<How, 1>
<is, 1>
<the, 1>
<poor, 1>
<woman, 1>
<Doing, 1>
<nicely, 1>
<sir, 1>
<And, 1>
<off, 1>
<went, 1>
<Jo, 1>
<talking, 1>
<very, 1>
<fast, 1>
<as, 1>
<she, 1>
<told, 1>
<all, 1>
<about, 1>
<the, 1>
<Hummels, 1>
<in, 1>
<whom, 1>
<her, 1>
<mother, 1>
<had, 1>
<interested, 1>
<richer, 1>
<friends, 1>
<than, 1>
<they, 1>
<were, 1>
<Just, 1>
<her, 1>
<father, 1>
<s, 1>
<way, 1>
<of, 1>
<doing, 1>
<good, 1>
<I, 1>
<shall, 1>
<come, 1>
<and, 1>
<see, 1>
<your, 1>
<mother, 1>
<some, 1>
<fine, 1>
<day, 1>
<Tell, 1>
<her, 1>
<so, 1>
<There, 1>
<s, 1>
<the, 1>
<tea, 1>
<bell, 1>
<we, 1>
<have, 1>
<it, 1>
<early, 1>
<on, 1>
<the, 1>
<boy, 1>
<s, 1>
<account, 1>
<Come, 1>
<down, 1>
<and, 1>
<go, 1>
<on, 1>
<being, 1>
<neighborly, 1>
<If, 1>
<you, 1>
<d, 1>
<like, 1>
<to, 1>
<have, 1>
<me, 1>
<sir, 1>
<Shouldn, 1>
<t, 1>
<ask, 1>
<you, 1>
<if, 1>
<I, 1>
<didn, 1>
<t, 1>
<And, 1>
<Mr, 1>
<Laurence, 1>
<offered, 1>
<her, 1>
<his, 1>
<arm, 1>
<with, 1>
<old, 1>
<fashioned, 1>
<courtesy, 1>
<What, 1>
<would, 1>
<Meg, 1>
<say, 1>
<to, 1>
<this, 1>
<thought, 1>
<Jo, 1>
<as, 1>
<she, 1>
<was, 1>
<marched, 1>
<away, 1>
<while, 1>
<her, 1>
<eyes, 1>
<danced, 1>
<with, 1>
<fun, 1>
<as, 1>
<she, 1>
<imagined, 1>
<herself, 1>
<telling, 1>
<the, 1>
<story, 1>
<at, 1>
<home, 1>
<Hey, 1>
<Why, 1>
<what, 1>
<the, 1>
<dickens, 1>
<has, 1>
<come, 1>
<to, 1>
<the, 1>
<fellow, 1>
<said, 1>
<the, 1>
<old, 1>
<gentleman, 1>
<as, 1>
<Laurie, 1>
<came, 1>
<running, 1>
<downstairs, 1>
<and, 1>
<brought, 1>
<up, 1>
<with, 1>
<a, 1>
<start, 1>
<of, 1>
<surprise, 1>
<at, 1>
<the, 1>
<astounding, 1>
<sight, 1>
<of, 1>
<Jo, 1>
<arm, 1>
<in, 1>
<arm, 1>
<with, 1>
<his, 1>
<redoubtable, 1>
<grandfather, 1>
<I, 1>
<didn, 1>
<t, 1>
<know, 1>
<you, 1>
<d, 1>
<come, 1>
<sir, 1>
<he, 1>
<began, 1>
<as, 1>
<Jo, 1>
<gave, 1>
<him, 1>
<a, 1>
<triumphant, 1>
<little, 1>
<glance, 1>
<That, 1>
<s, 1>
<evident, 1>
<by, 1>
<the, 1>
<way, 1>
<you, 1>
<racket, 1>
<downstairs, 1>
<Come, 1>
<to, 1>
<your, 1>
<tea, 1>
<sir, 1>
<and, 1>
<behave, 1>
<like, 1>
<a, 1>
<gentleman, 1>
<And, 1>
<having, 1>
<pulled, 1>
<the, 1>
<boy, 1>
<s, 1>
<hair, 1>
<by, 1>
<way, 1>
<of, 1>
<a, 1>
<caress, 1>
<Mr, 1>
<Laurence, 1>
<walked, 1>
<on, 1>
<while, 1>
<Laurie, 1>
<went, 1>
<through, 1>
<a, 1>
<series, 1>
<of, 1>
<comic, 1>
<evolutions, 1>
<behind, 1>
<their, 1>
<backs, 1>
<which, 1>
<nearly, 1>
<produced, 1>
<an, 1>
<explosion, 1>
<of, 1>
<laughter, 1>
<from, 1>
<Jo, 1>
<The, 1>
<old, 1>
<gentleman, 1>
<did, 1>
<not, 1>
<say, 1>
<much, 1>
<as, 1>
<he, 1>
<drank, 1>
<his, 1>
<four, 1>
<cups, 1>
<of, 1>
<tea, 1>
<but, 1>
<he, 1>
<watched, 1>
<the, 1>
<young, 1>
<people, 1>
<who, 1>
<soon, 1>
<chatted, 1>
<away, 1>
<like, 1>
<old, 1>
<friends, 1>
<and, 1>
<the, 1>
<change, 1>
<in, 1>
<his, 1>
<grandson, 1>
<did, 1>
<not, 1>
<escape, 1>
<him, 1>
<There, 1>
<was, 1>
<color, 1>
<light, 1>
<and, 1>
<life, 1>
<in, 1>
<the, 1>
<boy, 1>
<s, 1>
<face, 1>
<now, 1>
<vivacity, 1>
<in, 1>
<his, 1>
<manner, 1>
<and, 1>
<genuine, 1>
<merriment, 1>
<in, 1>
<his, 1>
<laugh, 1>
<She, 1>
<s, 1>
<right, 1>
<the, 1>
<lad, 1>
<is, 1>
<lonely, 1>
<I, 1>
<ll, 1>
<see, 1>
<what, 1>
<these, 1>
<little, 1>
<girls, 1>
<can, 1>
<do, 1>
<for, 1>
<him, 1>
<thought, 1>
<Mr, 1>
<Laurence, 1>
<as, 1>
<he, 1>
<looked, 1>
<and, 1>
<listened, 1>
<He, 1>
<liked, 1>
<Jo, 1>
<for, 1>
<her, 1>
<odd, 1>
<blunt, 1>
<ways, 1>
<suited, 1>
<him, 1>
<and, 1>
<she, 1>
<seemed, 1>
<to, 1>
<understand, 1>
<the, 1>
<boy, 1>
<almost, 1>
<as, 1>
<well, 1>
<as, 1>
<if, 1>
<she, 1>
<had, 1>
<been, 1>
<one, 1>
<herself, 1>
<If, 1>
<the, 1>
<Laurences, 1>
<had, 1>
<been, 1>
<what, 1>
<Jo, 1>
<called, 1>
<prim, 1>
<and, 1>
<poky, 1>
<she, 1>
<would, 1>
<not, 1>
<have, 1>
<got, 1>
<on, 1>
<at, 1>
<all, 1>
<for, 1>
<such, 1>
<people, 1>
<always, 1>
<made, 1>
<her, 1>
<shy, 1>
<and, 1>
<awkward, 1>
<But, 1>
<finding, 1>
<them, 1>
<free, 1>
<and, 1>
<easy, 1>
<she, 1>
<was, 1>
<so, 1>
<herself, 1>
<and, 1>
<made, 1>
<a, 1>
<good, 1>
<impression, 1>
<When, 1>
<they, 1>
<rose, 1>
<she, 1>
<proposed, 1>
<to, 1>
<go, 1>
<but, 1>
<Laurie, 1>
<said, 1>
<he, 1>
<had, 1>
<something, 1>
<more, 1>
<to, 1>
<show, 1>
<her, 1>
<and, 1>
<took, 1>
<her, 1>
<away, 1>
<to, 1>
<the, 1>
<conservatory, 1>
<which, 1>
<had, 1>
<been, 1>
<lighted, 1>
<for, 1>
<her, 1>
<benefit, 1>
<It, 1>
<seemed, 1>
<quite, 1>
<fairylike, 1>
<to, 1>
<Jo, 1>
<as, 1>
<she, 1>
<went, 1>
<up, 1>
<and, 1>
<down, 1>
<the, 1>
<walks, 1>
<enjoying, 1>
<the, 1>
<blooming, 1>
<walls, 1>
<on, 1>
<either, 1>
<side, 1>
<the, 1>
<soft, 1>
<light, 1>
<the, 1>
<damp, 1>
<sweet, 1>
<air, 1>
<and, 1>
<the, 1>
<wonderful, 1>
<vines, 1>
<and, 1>
<trees, 1>
<that, 1>
<hung, 1>
<about, 1>
<her, 1>
<while, 1>
<her, 1>
<new, 1>
<friend, 1>
<cut, 1>
<the, 1>
<finest, 1>
<flowers, 1>
<till, 1>
<his, 1>
<hands, 1>
<were, 1>
<full, 1>
<Then, 1>
<he, 1>
<tied, 1>
<them, 1>
<up, 1>
<saying, 1>
<with, 1>
<the, 1>
<happy, 1>
<look, 1>
<Jo, 1>
<liked, 1>
<to, 1>
<see, 1>
<Please, 1>
<give, 1>
<these, 1>
<to, 1>
<your, 1>
<mother, 1>
<and, 1>
<tell, 1>
<her, 1>
<I, 1>
<like, 1>
<the, 1>
<medicine, 1>
<she, 1>
<sent, 1>
<me, 1>
<very, 1>
<much, 1>
<They, 1>
<found, 1>
<Mr, 1>
<Laurence, 1>
<standing, 1>
<before, 1>
<the, 1>
<fire, 1>
<in, 1>
<the, 1>
<great, 1>
<drawing, 1>
<room, 1>
<but, 1>
<Jo, 1>
<s, 1>
<attention, 1>
<was, 1>
<entirely, 1>
<absorbed, 1>
<by, 1>
<a, 1>
<grand, 1>
<piano, 1>
<which, 1>
<stood, 1>
<open, 1>
<Do, 1>
<you, 1>
<play, 1>
<she, 1>
<asked, 1>
<turning, 1>
<to, 1>
<Laurie, 1>
<with, 1>
<a, 1>
<respectful, 1>
<expression, 1>
<Sometimes, 1>
<he, 1>
<answered, 1>
<modestly, 1>
<Please, 1>
<do, 1>
<now, 1>
<I, 1>
<want, 1>
<to, 1>
<hear, 1>
<it, 1>
<so, 1>
<I, 1>
<can, 1>
<tell, 1>
<Beth, 1>
<Won, 1>
<t, 1>
<you, 1>
<first, 1>
<Don, 1>
<t, 1>
<know, 1>
<how, 1>
<Too, 1>
<stupid, 1>
<to, 1>
<learn, 1>
<but, 1>
<I, 1>
<love, 1>
<music, 1>
<dearly, 1>
<So, 1>
<Laurie, 1>
<played, 1>
<and, 1>
<Jo, 1>
<listened, 1>
<with, 1>
<her, 1>
<nose, 1>
<luxuriously, 1>
<buried, 1>
<in, 1>
<heliotrope, 1>
<and, 1>
<tea, 1>
<roses, 1>
<Her, 1>
<respect, 1>
<and, 1>
<regard, 1>
<for, 1>
<the, 1>
<Laurence, 1>
<boy, 1>
<increased, 1>
<very, 1>
<much, 1>
<for, 1>
<he, 1>
<played, 1>
<remarkably, 1>
<well, 1>
<and, 1>
<didn, 1>
<t, 1>
<put, 1>
<on, 1>
<any, 1>
<airs, 1>
<She, 1>
<wished, 1>
<Beth, 1>
<could, 1>
<hear, 1>
<him, 1>
<but, 1>
<she, 1>
<did, 1>
<not, 1>
<say, 1>
<so, 1>
<only, 1>
<praised, 1>
<him, 1>
<till, 1>
<he, 1>
<was, 1>
<quite, 1>
<abashed, 1>
<and, 1>
<his, 1>
<grandfather, 1>
<came, 1>
<to, 1>
<his, 1>
<rescue, 1>
<That, 1>
<will, 1>
<do, 1>
<that, 1>
<will, 1>
<do, 1>
<young, 1>
<lady, 1>
<Too, 1>
<many, 1>
<sugarplums, 1>
