<e, 1>
<That, 1>
<was, 1>
<all, 1>
<but, 1>
<he, 1>
<understood, 1>
<it, 1>
<and, 1>
<looked, 1>
<relieved, 1>
<as, 1>
<he, 1>
<said, 1>
<to, 1>
<himself, 1>
<with, 1>
<a, 1>
<venerable, 1>
<air, 1>
<I, 1>
<was, 1>
<sure, 1>
<she, 1>
<would, 1>
<think, 1>
<better, 1>
<of, 1>
<it, 1>
<Poor, 1>
<old, 1>
<fellow, 1>
<I, 1>
<ve, 1>
<been, 1>
<through, 1>
<it, 1>
<all, 1>
<and, 1>
<I, 1>
<can, 1>
<sympathize, 1>
<With, 1>
<that, 1>
<he, 1>
<heaved, 1>
<a, 1>
<great, 1>
<sigh, 1>
<and, 1>
<then, 1>
<as, 1>
<if, 1>
<he, 1>
<had, 1>
<discharged, 1>
<his, 1>
<duty, 1>
<to, 1>
<the, 1>
<past, 1>
<put, 1>
<his, 1>
<feet, 1>
<up, 1>
<on, 1>
<the, 1>
<sofa, 1>
<and, 1>
<enjoyed, 1>
<Amy, 1>
<s, 1>
<letter, 1>
<luxuriously, 1>
<While, 1>
<these, 1>
<changes, 1>
<were, 1>
<going, 1>
<on, 1>
<abroad, 1>
<trouble, 1>
<had, 1>
<come, 1>
<at, 1>
<home, 1>
<But, 1>
<the, 1>
<letter, 1>
<telling, 1>
<that, 1>
<Beth, 1>
<was, 1>
<failing, 1>
<never, 1>
<reached, 1>
<Amy, 1>
<and, 1>
<when, 1>
<the, 1>
<next, 1>
<found, 1>
<her, 1>
<the, 1>
<grass, 1>
<was, 1>
<green, 1>
<above, 1>
<her, 1>
<sister, 1>
<The, 1>
<sad, 1>
<news, 1>
<met, 1>
<her, 1>
<at, 1>
<Vevay, 1>
<for, 1>
<the, 1>
<heat, 1>
<had, 1>
<driven, 1>
<them, 1>
<from, 1>
<Nice, 1>
<in, 1>
<May, 1>
<and, 1>
<they, 1>
<had, 1>
<travelled, 1>
<slowly, 1>
<to, 1>
<Switzerland, 1>
<by, 1>
<way, 1>
<of, 1>
<Genoa, 1>
<and, 1>
<the, 1>
<Italian, 1>
<lakes, 1>
<She, 1>
<bore, 1>
<it, 1>
<very, 1>
<well, 1>
<and, 1>
<quietly, 1>
<submitted, 1>
<to, 1>
<the, 1>
<family, 1>
<decree, 1>
<that, 1>
<she, 1>
<should, 1>
<not, 1>
<shorten, 1>
<her, 1>
<visit, 1>
<for, 1>
<since, 1>
<it, 1>
<was, 1>
<too, 1>
<late, 1>
<to, 1>
<say, 1>
<goodbye, 1>
<to, 1>
<Beth, 1>
<she, 1>
<had, 1>
<better, 1>
<stay, 1>
<and, 1>
<let, 1>
<absence, 1>
<soften, 1>
<her, 1>
<sorrow, 1>
<But, 1>
<her, 1>
<heart, 1>
<was, 1>
<very, 1>
<heavy, 1>
<she, 1>
<longed, 1>
<to, 1>
<be, 1>
<at, 1>
<home, 1>
<and, 1>
<every, 1>
<day, 1>
<looked, 1>
<wistfully, 1>
<across, 1>
<the, 1>
<lake, 1>
<waiting, 1>
<for, 1>
<Laurie, 1>
<to, 1>
<come, 1>
<and, 1>
<comfort, 1>
<her, 1>
<He, 1>
<did, 1>
<come, 1>
<very, 1>
<soon, 1>
<for, 1>
<the, 1>
<same, 1>
<mail, 1>
<brought, 1>
<letters, 1>
<to, 1>
<them, 1>
<both, 1>
<but, 1>
<he, 1>
<was, 1>
<in, 1>
<Germany, 1>
<and, 1>
<it, 1>
<took, 1>
<some, 1>
<days, 1>
<to, 1>
<reach, 1>
<him, 1>
<The, 1>
<moment, 1>
<he, 1>
<read, 1>
<it, 1>
<he, 1>
<packed, 1>
<his, 1>
<knapsack, 1>
<bade, 1>
<adieu, 1>
<to, 1>
<his, 1>
<fellow, 1>
<pedestrians, 1>
<and, 1>
<was, 1>
<off, 1>
<to, 1>
<keep, 1>
<his, 1>
<promise, 1>
<with, 1>
<a, 1>
<heart, 1>
<full, 1>
<of, 1>
<joy, 1>
<and, 1>
<sorrow, 1>
<hope, 1>
<and, 1>
<suspense, 1>
<He, 1>
<knew, 1>
<Vevay, 1>
<well, 1>
<and, 1>
<as, 1>
<soon, 1>
<as, 1>
<the, 1>
<boat, 1>
<touched, 1>
<the, 1>
<little, 1>
<quay, 1>
<he, 1>
<hurried, 1>
<along, 1>
<the, 1>
<shore, 1>
<to, 1>
<La, 1>
<Tour, 1>
<where, 1>
<the, 1>
<Carrols, 1>
<were, 1>
<living, 1>
<en, 1>
<pension, 1>
<The, 1>
<garcon, 1>
<was, 1>
<in, 1>
<despair, 1>
<that, 1>
<the, 1>
<whole, 1>
<family, 1>
<had, 1>
<gone, 1>
<to, 1>
<take, 1>
<a, 1>
<promenade, 1>
<on, 1>
<the, 1>
<lake, 1>
<but, 1>
<no, 1>
<the, 1>
<blonde, 1>
<mademoiselle, 1>
<might, 1>
<be, 1>
<in, 1>
<the, 1>
<chateau, 1>
<garden, 1>
<If, 1>
<monsieur, 1>
<would, 1>
<give, 1>
<himself, 1>
<the, 1>
<pain, 1>
<of, 1>
<sitting, 1>
<down, 1>
<a, 1>
<flash, 1>
<of, 1>
<time, 1>
<should, 1>
<present, 1>
<her, 1>
<But, 1>
<monsieur, 1>
<could, 1>
<not, 1>
<wait, 1>
<even, 1>
<a, 1>
<flash, 1>
<of, 1>
<time, 1>
<and, 1>
<in, 1>
<the, 1>
<middle, 1>
<of, 1>
<the, 1>
<speech, 1>
<departed, 1>
<to, 1>
<find, 1>
<mademoiselle, 1>
<himself, 1>
<A, 1>
<pleasant, 1>
<old, 1>
<garden, 1>
<on, 1>
<the, 1>
<borders, 1>
<of, 1>
<the, 1>
<lovely, 1>
<lake, 1>
<with, 1>
<chestnuts, 1>
<rustling, 1>
<overhead, 1>
<ivy, 1>
<climbing, 1>
<everywhere, 1>
<and, 1>
<the, 1>
<black, 1>
<shadow, 1>
<of, 1>
<the, 1>
<tower, 1>
<falling, 1>
<far, 1>
<across, 1>
<the, 1>
<sunny, 1>
<water, 1>
<At, 1>
<one, 1>
<corner, 1>
<of, 1>
<the, 1>
<wide, 1>
<low, 1>
<wall, 1>
<was, 1>
<a, 1>
<seat, 1>
<and, 1>
<here, 1>
<Amy, 1>
<often, 1>
<came, 1>
<to, 1>
<read, 1>
<or, 1>
<work, 1>
<or, 1>
<console, 1>
<herself, 1>
<with, 1>
<the, 1>
<beauty, 1>
<all, 1>
<about, 1>
<her, 1>
<She, 1>
<was, 1>
<sitting, 1>
<here, 1>
<that, 1>
<day, 1>
<leaning, 1>
<her, 1>
<head, 1>
<on, 1>
<her, 1>
<hand, 1>
<with, 1>
<a, 1>
<homesick, 1>
<heart, 1>
<and, 1>
<heavy, 1>
<eyes, 1>
<thinking, 1>
<of, 1>
<Beth, 1>
<and, 1>
<wondering, 1>
<why, 1>
<Laurie, 1>
<did, 1>
<not, 1>
<come, 1>
<She, 1>
<did, 1>
<not, 1>
<hear, 1>
<him, 1>
<cross, 1>
<the, 1>
<courtyard, 1>
<beyond, 1>
<nor, 1>
<see, 1>
<him, 1>
<pause, 1>
<in, 1>
<the, 1>
<archway, 1>
<that, 1>
<led, 1>
<from, 1>
<the, 1>
<subterranean, 1>
<path, 1>
<into, 1>
<the, 1>
<garden, 1>
<He, 1>
<stood, 1>
<a, 1>
<minute, 1>
<looking, 1>
<at, 1>
<her, 1>
<with, 1>
<new, 1>
<eyes, 1>
<seeing, 1>
<what, 1>
<no, 1>
<one, 1>
<had, 1>
<ever, 1>
<seen, 1>
<before, 1>
<the, 1>
<tender, 1>
<side, 1>
<of, 1>
<Amy, 1>
<s, 1>
<character, 1>
<Everything, 1>
<about, 1>
<her, 1>
<mutely, 1>
<suggested, 1>
<love, 1>
<and, 1>
<sorrow, 1>
<the, 1>
<blotted, 1>
<letters, 1>
<in, 1>
<her, 1>
<lap, 1>
<the, 1>
<black, 1>
<ribbon, 1>
<that, 1>
<tied, 1>
<up, 1>
<her, 1>
<hair, 1>
<the, 1>
<womanly, 1>
<pain, 1>
<and, 1>
<patience, 1>
<in, 1>
<her, 1>
<face, 1>
<even, 1>
<the, 1>
<little, 1>
<ebony, 1>
<cross, 1>
<at, 1>
<her, 1>
<throat, 1>
<seemed, 1>
<pathetic, 1>
<to, 1>
<Laurie, 1>
<for, 1>
<he, 1>
<had, 1>
<given, 1>
<it, 1>
<to, 1>
<her, 1>
<and, 1>
<she, 1>
<wore, 1>
<it, 1>
<as, 1>
<her, 1>
<only, 1>
<ornament, 1>
<If, 1>
<he, 1>
<had, 1>
<any, 1>
<doubts, 1>
<about, 1>
<the, 1>
<reception, 1>
<she, 1>
<would, 1>
<give, 1>
<him, 1>
<they, 1>
<were, 1>
<set, 1>
<at, 1>
<rest, 1>
<the, 1>
<minute, 1>
<she, 1>
<looked, 1>
<up, 1>
<and, 1>
<saw, 1>
<him, 1>
<for, 1>
<dropping, 1>
<everything, 1>
<she, 1>
<ran, 1>
<to, 1>
<him, 1>
<exclaiming, 1>
<in, 1>
<a, 1>
<tone, 1>
<of, 1>
<unmistakable, 1>
<love, 1>
<and, 1>
<longing, 1>
<Oh, 1>
<Laurie, 1>
<Laurie, 1>
<I, 1>
<knew, 1>
<you, 1>
<d, 1>
<come, 1>
<to, 1>
<me, 1>
<I, 1>
<think, 1>
<everything, 1>
<was, 1>
<said, 1>
<and, 1>
<settled, 1>
<then, 1>
<for, 1>
<as, 1>
<they, 1>
<stood, 1>
<together, 1>
<quite, 1>
<silent, 1>
<for, 1>
<a, 1>
<moment, 1>
<with, 1>
<the, 1>
<dark, 1>
<head, 1>
<bent, 1>
<down, 1>
<protectingly, 1>
<over, 1>
<the, 1>
<light, 1>
<one, 1>
<Amy, 1>
<felt, 1>
<that, 1>
<no, 1>
<one, 1>
<could, 1>
<comfort, 1>
<and, 1>
<sustain, 1>
<her, 1>
<so, 1>
<well, 1>
<as, 1>
<Laurie, 1>
<and, 1>
<Laurie, 1>
<decided, 1>
<that, 1>
<Amy, 1>
<was, 1>
<the, 1>
<only, 1>
<woman, 1>
<in, 1>
<the, 1>
<world, 1>
<who, 1>
<could, 1>
<fill, 1>
<Jo, 1>
<s, 1>
<place, 1>
<and, 1>
<make, 1>
<him, 1>
<happy, 1>
<He, 1>
<did, 1>
<not, 1>
<tell, 1>
<her, 1>
<so, 1>
<but, 1>
<she, 1>
<was, 1>
<not, 1>
<disappointed, 1>
<for, 1>
<both, 1>
<felt, 1>
<the, 1>
<truth, 1>
<were, 1>
<satisfied, 1>
<and, 1>
<gladly, 1>
<left, 1>
<the, 1>
<rest, 1>
<to, 1>
<silence, 1>
<In, 1>
<a, 1>
<minute, 1>
<Amy, 1>
<went, 1>
<back, 1>
<to, 1>
<her, 1>
<place, 1>
<and, 1>
<while, 1>
<she, 1>
<dried, 1>
<her, 1>
<tears, 1>
<Laurie, 1>
<gathered, 1>
<up, 1>
<the, 1>
<scattered, 1>
<papers, 1>
<finding, 1>
<in, 1>
<the, 1>
<sight, 1>
<of, 1>
<sundry, 1>
<well, 1>
<worn, 1>
<letters, 1>
<and, 1>
<suggestive, 1>
<sketches, 1>
<good, 1>
<omens, 1>
<for, 1>
<the, 1>
<future, 1>
<As, 1>
<he, 1>
<sat, 1>
<down, 1>
<beside, 1>
<her, 1>
<Amy, 1>
<felt, 1>
<shy, 1>
<again, 1>
<and, 1>
<turned, 1>
<rosy, 1>
<red, 1>
<at, 1>
<the, 1>
<recollection, 1>
<of, 1>
<her, 1>
<impulsive, 1>
<greeting, 1>
<I, 1>
<couldn, 1>
<t, 1>
<help, 1>
<it, 1>
<I, 1>
<felt, 1>
<so, 1>
<lonely, 1>
<and, 1>
<sad, 1>
<and, 1>
<was, 1>
<so, 1>
<very, 1>
<glad, 1>
<to, 1>
<see, 1>
<you, 1>
<It, 1>
<was, 1>
<such, 1>
<a, 1>
<surprise, 1>
<to, 1>
<look, 1>
<up, 1>
<and, 1>
<find, 1>
<you, 1>
<just, 1>
<as, 1>
<I, 1>
<was, 1>
<beginning, 1>
<to, 1>
<fear, 1>
<you, 1>
<wouldn, 1>
<t, 1>
<come, 1>
<she, 1>
<said, 1>
<trying, 1>
<in, 1>
<vain, 1>
<to, 1>
<speak, 1>
<quite, 1>
<naturally, 1>
<I, 1>
<came, 1>
<the, 1>
<minute, 1>
<I, 1>
<heard, 1>
<I, 1>
<wish, 1>
<I, 1>
<could, 1>
<say, 1>
<something, 1>
<to, 1>
<comfort, 1>
<you, 1>
<for, 1>
<the, 1>
<loss, 1>
<of, 1>
<dear, 1>
<little, 1>
<Beth, 1>
<but, 1>
<I, 1>
<can, 1>
<only, 1>
<feel, 1>
<and, 1>
<He, 1>
<could, 1>
<not, 1>
<get, 1>
<any, 1>
<further, 1>
<for, 1>
<he, 1>
<too, 1>
<turned, 1>
<bashful, 1>
<all, 1>
<of, 1>
<a, 1>
<sudden, 1>
<and, 1>
<did, 1>
<not, 1>
<quite, 1>
<know, 1>
<what, 1>
<to, 1>
<say, 1>
<He, 1>
<longed, 1>
<to, 1>
<lay, 1>
<Amy, 1>
<s, 1>
<head, 1>
<down, 1>
<on, 1>
<his, 1>
<shoulder, 1>
<and, 1>
<tell, 1>
<her, 1>
<to, 1>
<have, 1>
<a, 1>
<good, 1>
<cry, 1>
<but, 1>
<he, 1>
<did, 1>
<not, 1>
<dare, 1>
<so, 1>
<took, 1>
<her, 1>
<hand, 1>
<instead, 1>
<and, 1>
<gave, 1>
<it, 1>
<a, 1>
<sympathetic, 1>
<squeeze, 1>
<that, 1>
<was, 1>
<better, 1>
<than, 1>
<words, 1>
<You, 1>
<needn, 1>
<t, 1>
<say, 1>
<anything, 1>
<this, 1>
<comforts, 1>
<me, 1>
<she, 1>
<said, 1>
<softly, 1>
<Beth, 1>
<is, 1>
<well, 1>
<and, 1>
<happy, 1>
<and, 1>
<I, 1>
<mustn, 1>
<t, 1>
<wish, 1>
<her, 1>
<back, 1>
<but, 1>
<I, 1>
<dread, 1>
<the, 1>
<going, 1>
<home, 1>
<much, 1>
<as, 1>
<I, 1>
<long, 1>
<to, 1>
<see, 1>
<them, 1>
<all, 1>
<We, 1>
<won, 1>
<t, 1>
<talk, 1>
<about, 1>
<it, 1>
<now, 1>
<for, 1>
<it, 1>
<makes, 1>
<me, 1>
<cry, 1>
<and, 1>
<I, 1>
<want, 1>
<to, 1>
<enjoy, 1>
<you, 1>
<while, 1>
<you, 1>
<stay, 1>
<You, 1>
<needn, 1>
<t, 1>
<go, 1>
<right, 1>
<back, 1>
<need, 1>
<you, 1>
<Not, 1>
<if, 1>
<you, 1>
<want, 1>
<me, 1>
<dear, 1>
<I, 1>
<do, 1>
<so, 1>
<much, 1>
<Aunt, 1>
<and, 1>
<Flo, 1>
<are, 1>
<very, 1>
<kind, 1>
<but, 1>
<you, 1>
<seem, 1>
<like, 1>
<one, 1>
<of, 1>
<the, 1>
<family, 1>
<and, 1>
<it, 1>
<would, 1>
<be, 1>
<so, 1>
<comfortable, 1>
<to, 1>
<have, 1>
<you, 1>
<for, 1>
<a, 1>
<little, 1>
<while, 1>
<Amy, 1>
<spoke, 1>
<and, 1>
<looked, 1>
<so, 1>
<like, 1>
<a, 1>
<homesick, 1>
<child, 1>
<whose, 1>
<heart, 1>
<was, 1>
<full, 1>
<that, 1>
<Laurie, 1>
<forgot, 1>
<his, 1>
<bashfulness, 1>
<all, 1>
<at, 1>
<once, 1>
<and, 1>
<gave, 1>
<her, 1>
<just, 1>
<what, 1>
<she, 1>
<wanted, 1>
<the, 1>
<petting, 1>
<she, 1>
<was, 1>
<used, 1>
<to, 1>
<and, 1>
<the, 1>
<cheerful, 1>
<conversation, 1>
<she, 1>
<needed, 1>
<Poor, 1>
<little, 1>
<soul, 1>
<you, 1>
<look, 1>
<as, 1>
<if, 1>
<you, 1>
<d, 1>
<grieved, 1>
<yourself, 1>
<half, 1>
<sick, 1>
<I, 1>
<m, 1>
<going, 1>
<to, 1>
<take, 1>
<care, 1>
<of, 1>
<you, 1>
<so, 1>
<don, 1>
<t, 1>
<cry, 1>
<any, 1>
<more, 1>
<but, 1>
<come, 1>
<and, 1>
<walk, 1>
<about, 1>
<with, 1>
<me, 1>
<the, 1>
<wind, 1>
<is, 1>
<too, 1>
<chilly, 1>
<for, 1>
<you, 1>
<to, 1>
<sit, 1>
<still, 1>
<he, 1>
<said, 1>
<in, 1>
<the, 1>
<half, 1>
<caressing, 1>
<half, 1>
<commanding, 1>
<way, 1>
<that, 1>
<Amy, 1>
<liked, 1>
<as, 1>
<he, 1>
<tied, 1>
<on, 1>
<her, 1>
<hat, 1>
<drew, 1>
<her, 1>
<arm, 1>
<through, 1>
<his, 1>
<and, 1>
<began, 1>
<to, 1>
<pace, 1>
<up, 1>
<and, 1>
<down, 1>
<the, 1>
<sunny, 1>
<walk, 1>
<under, 1>
<the, 1>
<new, 1>
<leaved, 1>
<chestnuts, 1>
<He, 1>
<felt, 1>
<more, 1>
<at, 1>
<ease, 1>
<upon, 1>
<his, 1>
<legs, 1>
<and, 1>
<Amy, 1>
<found, 1>
<it, 1>
<pleasant, 1>
<to, 1>
<have, 1>
<a, 1>
<strong, 1>
<arm, 1>
<to, 1>
<lean, 1>
<upon, 1>
<a, 1>
<familiar, 1>
<face, 1>
<to, 1>
<smile, 1>
<at, 1>
<her, 1>
<and, 1>
<a, 1>
<kind, 1>
<voice, 1>
<to, 1>
<talk, 1>
<delightfully, 1>
<for, 1>
<her, 1>
<alone, 1>
<The, 1>
<quaint, 1>
<old, 1>
<garden, 1>
<had, 1>
<sheltered, 1>
<many, 1>
<pairs, 1>
<of, 1>
<lovers, 1>
<and, 1>
<seemed, 1>
<expressly, 1>
<made, 1>
<for, 1>
<them, 1>
<so, 1>
<sunny, 1>
<and, 1>
<secluded, 1>
<was, 1>
<it, 1>
<with, 1>
<nothing, 1>
<but, 1>
<the, 1>
<tower, 1>
<to, 1>
<overlook, 1>
<them, 1>
<and, 1>
<the, 1>
<wide, 1>
<lake, 1>
<to, 1>
<carry, 1>
<away, 1>
<the, 1>
<echo, 1>
<of, 1>
<their, 1>
<words, 1>
<as, 1>
<it, 1>
<rippled, 1>
<by, 1>
<below, 1>
<For, 1>
<an, 1>
<hour, 1>
<this, 1>
<new, 1>
<pair, 1>
<walked, 1>
<and, 1>
<talked, 1>
<or, 1>
<rested, 1>
<on, 1>
<the, 1>
<wall, 1>
<enjoying, 1>
<the, 1>
<sweet, 1>
<influences, 1>
<which, 1>
<gave, 1>
<such, 1>
<a, 1>
<charm, 1>
<to, 1>
<time, 1>
<and, 1>
<place, 1>
<and, 1>
<when, 1>
<an, 1>
<unromantic, 1>
<dinner, 1>
<bell, 1>
<warned, 1>
<them, 1>
<away, 1>
<Amy, 1>
<felt, 1>
<as, 1>
<if, 1>
<she, 1>
<left, 1>
<her, 1>
<burden, 1>
<of, 1>
<loneliness, 1>
<and, 1>
<sorrow, 1>
<behind, 1>
<her, 1>
<in, 1>
<the, 1>
<chateau, 1>
<garden, 1>
<The, 1>
<moment, 1>
<Mrs, 1>
<Carrol, 1>
<saw, 1>
<the, 1>
<girl, 1>
<s, 1>
<altered, 1>
<face, 1>
<she, 1>
<was, 1>
<illuminated, 1>
<with, 1>
<a, 1>
<new, 1>
<idea, 1>
<and, 1>
<exclaimed, 1>
<to, 1>
<herself, 1>
<Now, 1>
<I, 1>
<understand, 1>
<it, 1>
<all, 1>
<the, 1>
<child, 1>
<has, 1>
<been, 1>
<pining, 1>
<for, 1>
<young, 1>
<Laurence, 1>
<Bless, 1>
<my, 1>
<heart, 1>
<I, 1>
<never, 1>
<thought, 1>
<of, 1>
<such, 1>
<a, 1>
<thing, 1>
<With, 1>
<praiseworthy, 1>
<discretion, 1>
<the, 1>
<good, 1>
<lady, 1>
<said, 1>
<nothing, 1>
<and, 1>
<betrayed, 1>
<no, 1>
<sign, 1>
<of, 1>
<enlightenment, 1>
<but, 1>
<cordially, 1>
<urged, 1>
<Laurie, 1>
<to, 1>
<stay, 1>
<and, 1>
<begged, 1>
<Amy, 1>
<to, 1>
<enjoy, 1>
<his, 1>
<society, 1>
<for, 1>
<it, 1>
<would, 1>
<do, 1>
<her, 1>
<more, 1>
<good, 1>
<than, 1>
<so, 1>
<much, 1>
<solitude, 1>
<Amy, 1>
<was, 1>
<a, 1>
<model, 1>
<of, 1>
<docility, 1>
<and, 1>
<as, 1>
<her, 1>
<aunt, 1>
<was, 1>
<a, 1>
<good, 1>
<deal, 1>
<occupied, 1>
<with, 1>
<Flo, 1>
<she, 1>
<was, 1>
<left, 1>
<to, 1>
<entertain, 1>
<her, 1>
<friend, 1>
<and, 1>
<did, 1>
<it, 1>
<with, 1>
<more, 1>
<than, 1>
<her, 1>
<usual, 1>
<success, 1>
<At, 1>
<Nice, 1>
<Laurie, 1>
<had, 1>
<lounged, 1>
<and, 1>
<Amy, 1>
<had, 1>
<scolded, 1>
<At, 1>
<Vevay, 1>
<Laurie, 1>
<was, 1>
<never, 1>
<idle, 1>
<but, 1>
<always, 1>
<walking, 1>
<riding, 1>
<boating, 1>
<or, 1>
<studying, 1>
<in, 1>
<the, 1>
<most, 1>
<energetic, 1>
<manner, 1>
<while, 1>
<Amy, 1>
<admired, 1>
<everything, 1>
<he, 1>
<did, 1>
<and, 1>
<followed, 1>
<his, 1>
<example, 1>
<as, 1>
<far, 1>
<and, 1>
<as, 1>
<fast, 1>
<as, 1>
<she, 1>
<could, 1>
<He, 1>
<said, 1>
<the, 1>
<change, 1>
<was, 1>
<owing, 1>
<to, 1>
<the, 1>
<climate, 1>
<and, 1>
<she, 1>
<did, 1>
<not, 1>
<contradict, 1>
<him, 1>
<being, 1>
<glad, 1>
<of, 1>
<a, 1>
<like, 1>
<excuse, 1>
<for, 1>
<her, 1>
<own, 1>
<recovered, 1>
<health, 1>
<and, 1>
<spirits, 1>
<The, 1>
<invigorating, 1>
<air, 1>
<did, 1>
<them, 1>
<both, 1>
<good, 1>
<and, 1>
<much, 1>
<exercise, 1>
<worked, 1>
<wholesome, 1>
<changes, 1>
<in, 1>
<minds, 1>
<as, 1>
<well, 1>
<as, 1>
<bodies, 1>
<They, 1>
<seemed, 1>
<to, 1>
<get, 1>
<clearer, 1>
<views, 1>
<of, 1>
<life, 1>
<and, 1>
<duty, 1>
<up, 1>
<there, 1>
<among, 1>
<the, 1>
<everlasting, 1>
<hills, 1>
<The, 1>
<fresh, 1>
<winds, 1>
<blew, 1>
<away, 1>
<desponding, 1>
<doubts, 1>
<delusive, 1>
<fancies, 1>
<and, 1>
<moody, 1>
<mists, 1>
<The, 1>
<warm, 1>
<spring, 1>
<sunshine, 1>
<brought, 1>
<out, 1>
<all, 1>
<sorts, 1>
<of, 1>
<aspiring, 1>
<ideas, 1>
<tender, 1>
<hopes, 1>
<and, 1>
<happy, 1>
<thoughts, 1>
<The, 1>
<lake, 1>
<seemed, 1>
<to, 1>
<wash, 1>
<away, 1>
<the, 1>
<troubles, 1>
<of, 1>
<the, 1>
<past, 1>
<and, 1>
<the, 1>
<grand, 1>
<old, 1>
<mountains, 1>
<to, 1>
<look, 1>
<benignly, 1>
<down, 1>
<upon, 1>
<them, 1>
<saying, 1>
<Little, 1>
<children, 1>
<love, 1>
<one, 1>
<another, 1>
<In, 1>
<spite, 1>
<of, 1>
<the, 1>
<new, 1>
<sorrow, 1>
<it, 1>
<was, 1>
<a, 1>
<very, 1>
<happy, 1>
<time, 1>
<so, 1>
<happy, 1>
<that, 1>
<Laurie, 1>
<could, 1>
<not, 1>
<bear, 1>
<to, 1>
<disturb, 1>
<it, 1>
<by, 1>
<a, 1>
<word, 1>
<It, 1>
<took, 1>
<him, 1>
<a, 1>
<little, 1>
<while, 1>
<to, 1>
<recover, 1>
<from, 1>
<his, 1>
<surprise, 1>
<at, 1>
<the, 1>
<cure, 1>
<of, 1>
<his, 1>
<first, 1>
<and, 1>
<as, 1>
<he, 1>
<had, 1>
<firmly, 1>
<believed, 1>
<his, 1>
<last, 1>
<and, 1>
<only, 1>
<love, 1>
<He, 1>
<consoled, 1>
<himself, 1>
<for, 1>
<the, 1>
<seeming, 1>
<disloyalty, 1>
<by, 1>
<the, 1>
<thought, 1>
<that, 1>
<Jo, 1>
<s, 1>
<sister, 1>
<was, 1>
<almost, 1>
<the, 1>
<same, 1>
<as, 1>
<Jo, 1>
<s, 1>
<self, 1>
<and, 1>
<the, 1>
<conviction, 1>
<that, 1>
<it, 1>
<would, 1>
<have, 1>
<been, 1>
<impossible, 1>
<to, 1>
<love, 1>
<any, 1>
<other, 1>
<woman, 1>
<but, 1>
<Amy, 1>
<so, 1>
<soon, 1>
<and, 1>
<so, 1>
<well, 1>
<His, 1>
<first, 1>
<wooing, 1>
<had, 1>
<been, 1>
<of, 1>
<the, 1>
<tempestuous, 1>
<order, 1>
<and, 1>
<he, 1>
<looked, 1>
<back, 1>
<upon, 1>
<it, 1>
<as, 1>
<if, 1>
<through, 1>
<a, 1>
<long, 1>
<vista, 1>
<of, 1>
<years, 1>
<with, 1>
<a, 1>
<feeling, 1>
<of, 1>
<compassion, 1>
<blended, 1>
<with, 1>
<regret, 1>
<He, 1>
<was, 1>
<not, 1>
<ashamed, 1>
<of, 1>
<it, 1>
<but, 1>
<put, 1>
<it, 1>
<away, 1>
<as, 1>
<one, 1>
<of, 1>
<the, 1>
<bitter, 1>
<sweet, 1>
