<ay, 1>
<that, 1>
<her, 1>
<late, 1>
<lessons, 1>
<in, 1>
<cookery, 1>
<were, 1>
<to, 1>
<do, 1>
<her, 1>
<honor, 1>
<went, 1>
<to, 1>
<preside, 1>
<over, 1>
<the, 1>
<coffeepot, 1>
<while, 1>
<the, 1>
<children, 1>
<collected, 1>
<dry, 1>
<sticks, 1>
<and, 1>
<the, 1>
<boys, 1>
<made, 1>
<a, 1>
<fire, 1>
<and, 1>
<got, 1>
<water, 1>
<from, 1>
<a, 1>
<spring, 1>
<near, 1>
<by, 1>
<Miss, 1>
<Kate, 1>
<sketched, 1>
<and, 1>
<Frank, 1>
<talked, 1>
<to, 1>
<Beth, 1>
<who, 1>
<was, 1>
<making, 1>
<little, 1>
<mats, 1>
<of, 1>
<braided, 1>
<rushes, 1>
<to, 1>
<serve, 1>
<as, 1>
<plates, 1>
<The, 1>
<commander, 1>
<in, 1>
<chief, 1>
<and, 1>
<his, 1>
<aides, 1>
<soon, 1>
<spread, 1>
<the, 1>
<tablecloth, 1>
<with, 1>
<an, 1>
<inviting, 1>
<array, 1>
<of, 1>
<eatables, 1>
<and, 1>
<drinkables, 1>
<prettily, 1>
<decorated, 1>
<with, 1>
<green, 1>
<leaves, 1>
<Jo, 1>
<announced, 1>
<that, 1>
<the, 1>
<coffee, 1>
<was, 1>
<ready, 1>
<and, 1>
<everyone, 1>
<settled, 1>
<themselves, 1>
<to, 1>
<a, 1>
<hearty, 1>
<meal, 1>
<for, 1>
<youth, 1>
<is, 1>
<seldom, 1>
<dyspeptic, 1>
<and, 1>
<exercise, 1>
<develops, 1>
<wholesome, 1>
<appetites, 1>
<A, 1>
<very, 1>
<merry, 1>
<lunch, 1>
<it, 1>
<was, 1>
<for, 1>
<everything, 1>
<seemed, 1>
<fresh, 1>
<and, 1>
<funny, 1>
<and, 1>
<frequent, 1>
<peals, 1>
<of, 1>
<laughter, 1>
<startled, 1>
<a, 1>
<venerable, 1>
<horse, 1>
<who, 1>
<fed, 1>
<near, 1>
<by, 1>
<There, 1>
<was, 1>
<a, 1>
<pleasing, 1>
<inequality, 1>
<in, 1>
<the, 1>
<table, 1>
<which, 1>
<produced, 1>
<many, 1>
<mishaps, 1>
<to, 1>
<cups, 1>
<and, 1>
<plates, 1>
<acorns, 1>
<dropped, 1>
<in, 1>
<the, 1>
<milk, 1>
<little, 1>
<black, 1>
<ants, 1>
<partook, 1>
<of, 1>
<the, 1>
<refreshments, 1>
<without, 1>
<being, 1>
<invited, 1>
<and, 1>
<fuzzy, 1>
<caterpillars, 1>
<swung, 1>
<down, 1>
<from, 1>
<the, 1>
<tree, 1>
<to, 1>
<see, 1>
<what, 1>
<was, 1>
<going, 1>
<on, 1>
<Three, 1>
<white, 1>
<headed, 1>
<children, 1>
<peeped, 1>
<over, 1>
<the, 1>
<fence, 1>
<and, 1>
<an, 1>
<objectionable, 1>
<dog, 1>
<barked, 1>
<at, 1>
<them, 1>
<from, 1>
<the, 1>
<other, 1>
<side, 1>
<of, 1>
<the, 1>
<river, 1>
<with, 1>
<all, 1>
<his, 1>
<might, 1>
<and, 1>
<main, 1>
<There, 1>
<s, 1>
<salt, 1>
<here, 1>
<said, 1>
<Laurie, 1>
<as, 1>
<he, 1>
<handed, 1>
<Jo, 1>
<a, 1>
<saucer, 1>
<of, 1>
<berries, 1>
<Thank, 1>
<you, 1>
<I, 1>
<prefer, 1>
<spiders, 1>
<she, 1>
<replied, 1>
<fishing, 1>
<up, 1>
<two, 1>
<unwary, 1>
<little, 1>
<ones, 1>
<who, 1>
<had, 1>
<gone, 1>
<to, 1>
<a, 1>
<creamy, 1>
<death, 1>
<How, 1>
<dare, 1>
<you, 1>
<remind, 1>
<me, 1>
<of, 1>
<that, 1>
<horrid, 1>
<dinner, 1>
<party, 1>
<when, 1>
<yours, 1>
<is, 1>
<so, 1>
<nice, 1>
<in, 1>
<every, 1>
<way, 1>
<added, 1>
<Jo, 1>
<as, 1>
<they, 1>
<both, 1>
<laughed, 1>
<and, 1>
<ate, 1>
<out, 1>
<of, 1>
<one, 1>
<plate, 1>
<the, 1>
<china, 1>
<having, 1>
<run, 1>
<short, 1>
<I, 1>
<had, 1>
<an, 1>
<uncommonly, 1>
<good, 1>
<time, 1>
<that, 1>
<day, 1>
<and, 1>
<haven, 1>
<t, 1>
<got, 1>
<over, 1>
<it, 1>
<yet, 1>
<This, 1>
<is, 1>
<no, 1>
<credit, 1>
<to, 1>
<me, 1>
<you, 1>
<know, 1>
<I, 1>
<don, 1>
<t, 1>
<do, 1>
<anything, 1>
<It, 1>
<s, 1>
<you, 1>
<and, 1>
<Meg, 1>
<and, 1>
<Brooke, 1>
<who, 1>
<make, 1>
<it, 1>
<all, 1>
<go, 1>
<and, 1>
<I, 1>
<m, 1>
<no, 1>
<end, 1>
<obliged, 1>
<to, 1>
<you, 1>
<What, 1>
<shall, 1>
<we, 1>
<do, 1>
<when, 1>
<we, 1>
<can, 1>
<t, 1>
<eat, 1>
<anymore, 1>
<asked, 1>
<Laurie, 1>
<feeling, 1>
<that, 1>
<his, 1>
<trump, 1>
<card, 1>
<had, 1>
<been, 1>
<played, 1>
<when, 1>
<lunch, 1>
<was, 1>
<over, 1>
<Have, 1>
<games, 1>
<till, 1>
<it, 1>
<s, 1>
<cooler, 1>
<I, 1>
<brought, 1>
<Authors, 1>
<and, 1>
<I, 1>
<dare, 1>
<say, 1>
<Miss, 1>
<Kate, 1>
<knows, 1>
<something, 1>
<new, 1>
<and, 1>
<nice, 1>
<Go, 1>
<and, 1>
<ask, 1>
<her, 1>
<She, 1>
<s, 1>
<company, 1>
<and, 1>
<you, 1>
<ought, 1>
<to, 1>
<stay, 1>
<with, 1>
<her, 1>
<more, 1>
<Aren, 1>
<t, 1>
<you, 1>
<company, 1>
<too, 1>
<I, 1>
<thought, 1>
<she, 1>
<d, 1>
<suit, 1>
<Brooke, 1>
<but, 1>
<he, 1>
<keeps, 1>
<talking, 1>
<to, 1>
<Meg, 1>
<and, 1>
<Kate, 1>
<just, 1>
<stares, 1>
<at, 1>
<them, 1>
<through, 1>
<that, 1>
<ridiculous, 1>
<glass, 1>
<of, 1>
<hers, 1>
<I, 1>
<m, 1>
<going, 1>
<so, 1>
<you, 1>
<needn, 1>
<t, 1>
<try, 1>
<to, 1>
<preach, 1>
<propriety, 1>
<for, 1>
<you, 1>
<can, 1>
<t, 1>
<do, 1>
<it, 1>
<Jo, 1>
<Miss, 1>
<Kate, 1>
<did, 1>
<know, 1>
<several, 1>
<new, 1>
<games, 1>
<and, 1>
<as, 1>
<the, 1>
<girls, 1>
<would, 1>
<not, 1>
<and, 1>
<the, 1>
<boys, 1>
<could, 1>
<not, 1>
<eat, 1>
<any, 1>
<more, 1>
<they, 1>
<all, 1>
<adjourned, 1>
<to, 1>
<the, 1>
<drawing, 1>
<room, 1>
<to, 1>
<play, 1>
<Rig, 1>
<marole, 1>
<One, 1>
<person, 1>
<begins, 1>
<a, 1>
<story, 1>
<any, 1>
<nonsense, 1>
<you, 1>
<like, 1>
<and, 1>
<tells, 1>
<as, 1>
<long, 1>
<as, 1>
<he, 1>
<pleases, 1>
<only, 1>
<taking, 1>
<care, 1>
<to, 1>
<stop, 1>
<short, 1>
<at, 1>
<some, 1>
<exciting, 1>
<point, 1>
<when, 1>
<the, 1>
<next, 1>
<takes, 1>
<it, 1>
<up, 1>
<and, 1>
<does, 1>
<the, 1>
<same, 1>
<It, 1>
<s, 1>
<very, 1>
<funny, 1>
<when, 1>
<well, 1>
<done, 1>
<and, 1>
<makes, 1>
<a, 1>
<perfect, 1>
<jumble, 1>
<of, 1>
<tragical, 1>
<comical, 1>
<stuff, 1>
<to, 1>
<laugh, 1>
<over, 1>
<Please, 1>
<start, 1>
<it, 1>
<Mr, 1>
<Brooke, 1>
<said, 1>
<Kate, 1>
<with, 1>
<a, 1>
<commanding, 1>
<air, 1>
<which, 1>
<surprised, 1>
<Meg, 1>
<who, 1>
<treated, 1>
<the, 1>
<tutor, 1>
<with, 1>
<as, 1>
<much, 1>
<respect, 1>
<as, 1>
<any, 1>
<other, 1>
<gentleman, 1>
<Lying, 1>
<on, 1>
<the, 1>
<grass, 1>
<at, 1>
<the, 1>
<feet, 1>
<of, 1>
<the, 1>
<two, 1>
<young, 1>
<ladies, 1>
<Mr, 1>
<Brooke, 1>
<obediently, 1>
<began, 1>
<the, 1>
<story, 1>
<with, 1>
<the, 1>
<handsome, 1>
<brown, 1>
<eyes, 1>
<steadily, 1>
<fixed, 1>
<upon, 1>
<the, 1>
<sunshiny, 1>
<river, 1>
<Once, 1>
<on, 1>
<a, 1>
<time, 1>
<a, 1>
<knight, 1>
<went, 1>
<out, 1>
<into, 1>
<the, 1>
<world, 1>
<to, 1>
<seek, 1>
<his, 1>
<fortune, 1>
<for, 1>
<he, 1>
<had, 1>
<nothing, 1>
<but, 1>
<his, 1>
<sword, 1>
<and, 1>
<his, 1>
<shield, 1>
<He, 1>
<traveled, 1>
<a, 1>
<long, 1>
<while, 1>
<nearly, 1>
<eight, 1>
<and, 1>
<twenty, 1>
<years, 1>
<and, 1>
<had, 1>
<a, 1>
<hard, 1>
<time, 1>
<of, 1>
<it, 1>
<till, 1>
<he, 1>
<came, 1>
<to, 1>
<the, 1>
<palace, 1>
<of, 1>
<a, 1>
<good, 1>
<old, 1>
<king, 1>
<who, 1>
<had, 1>
<offered, 1>
<a, 1>
<reward, 1>
<to, 1>
<anyone, 1>
<who, 1>
<could, 1>
<tame, 1>
<and, 1>
<train, 1>
<a, 1>
<fine, 1>
<but, 1>
<unbroken, 1>
<colt, 1>
<of, 1>
<which, 1>
<he, 1>
<was, 1>
<very, 1>
<fond, 1>
<The, 1>
<knight, 1>
<agreed, 1>
<to, 1>
<try, 1>
<and, 1>
<got, 1>
<on, 1>
<slowly, 1>
<but, 1>
<surely, 1>
<for, 1>
<the, 1>
<colt, 1>
<was, 1>
<a, 1>
<gallant, 1>
<fellow, 1>
<and, 1>
<soon, 1>
<learned, 1>
<to, 1>
<love, 1>
<his, 1>
<new, 1>
<master, 1>
<though, 1>
<he, 1>
<was, 1>
<freakish, 1>
<and, 1>
<wild, 1>
<Every, 1>
<day, 1>
<when, 1>
<he, 1>
<gave, 1>
<his, 1>
<lessons, 1>
<to, 1>
<this, 1>
<pet, 1>
<of, 1>
<the, 1>
<king, 1>
<s, 1>
<the, 1>
<knight, 1>
<rode, 1>
<him, 1>
<through, 1>
<the, 1>
<city, 1>
<and, 1>
<as, 1>
<he, 1>
<rode, 1>
<he, 1>
<looked, 1>
<everywhere, 1>
<for, 1>
<a, 1>
<certain, 1>
<beautiful, 1>
<face, 1>
<which, 1>
<he, 1>
<had, 1>
<seen, 1>
<many, 1>
<times, 1>
<in, 1>
<his, 1>
<dreams, 1>
<but, 1>
<never, 1>
<found, 1>
<One, 1>
<day, 1>
<as, 1>
<he, 1>
<went, 1>
<prancing, 1>
<down, 1>
<a, 1>
<quiet, 1>
<street, 1>
<he, 1>
<saw, 1>
<at, 1>
<the, 1>
<window, 1>
<of, 1>
<a, 1>
<ruinous, 1>
<castle, 1>
<the, 1>
<lovely, 1>
<face, 1>
<He, 1>
<was, 1>
<delighted, 1>
<inquired, 1>
<who, 1>
<lived, 1>
<in, 1>
<this, 1>
<old, 1>
<castle, 1>
<and, 1>
<was, 1>
<told, 1>
<that, 1>
<several, 1>
<captive, 1>
<princesses, 1>
<were, 1>
<kept, 1>
<there, 1>
<by, 1>
<a, 1>
<spell, 1>
<and, 1>
<spun, 1>
<all, 1>
<day, 1>
<to, 1>
<lay, 1>
<up, 1>
<money, 1>
<to, 1>
<buy, 1>
<their, 1>
<liberty, 1>
<The, 1>
<knight, 1>
<wished, 1>
<intensely, 1>
<that, 1>
<he, 1>
<could, 1>
<free, 1>
<them, 1>
<but, 1>
<he, 1>
<was, 1>
<poor, 1>
<and, 1>
<could, 1>
<only, 1>
<go, 1>
<by, 1>
<each, 1>
<day, 1>
<watching, 1>
<for, 1>
<the, 1>
<sweet, 1>
<face, 1>
<and, 1>
<longing, 1>
<to, 1>
<see, 1>
<it, 1>
<out, 1>
<in, 1>
<the, 1>
<sunshine, 1>
<At, 1>
<last, 1>
<he, 1>
<resolved, 1>
<to, 1>
<get, 1>
<into, 1>
<the, 1>
<castle, 1>
<and, 1>
<ask, 1>
<how, 1>
<he, 1>
<could, 1>
<help, 1>
<them, 1>
<He, 1>
<went, 1>
<and, 1>
<knocked, 1>
<The, 1>
<great, 1>
<door, 1>
<flew, 1>
<open, 1>
<and, 1>
<he, 1>
<beheld, 1>
<A, 1>
<ravishingly, 1>
<lovely, 1>
<lady, 1>
<who, 1>
<exclaimed, 1>
<with, 1>
<a, 1>
<cry, 1>
<of, 1>
<rapture, 1>
<At, 1>
<last, 1>
<At, 1>
<last, 1>
<continued, 1>
<Kate, 1>
<who, 1>
<had, 1>
<read, 1>
<French, 1>
<novels, 1>
<and, 1>
<admired, 1>
<the, 1>
<style, 1>
<Tis, 1>
<she, 1>
<cried, 1>
<Count, 1>
<Gustave, 1>
<and, 1>
<fell, 1>
<at, 1>
<her, 1>
<feet, 1>
<in, 1>
<an, 1>
<ecstasy, 1>
<of, 1>
<joy, 1>
<Oh, 1>
<rise, 1>
<she, 1>
<said, 1>
<extending, 1>
<a, 1>
<hand, 1>
<of, 1>
<marble, 1>
<fairness, 1>
<Never, 1>
<Till, 1>
<you, 1>
<tell, 1>
<me, 1>
<how, 1>
<I, 1>
<may, 1>
<rescue, 1>
<you, 1>
<swore, 1>
<the, 1>
<knight, 1>
<still, 1>
<kneeling, 1>
<Alas, 1>
<my, 1>
<cruel, 1>
<fate, 1>
<condemns, 1>
<me, 1>
<to, 1>
<remain, 1>
<here, 1>
<till, 1>
<my, 1>
<tyrant, 1>
<is, 1>
<destroyed, 1>
<Where, 1>
<is, 1>
<the, 1>
<villain, 1>
<In, 1>
<the, 1>
<mauve, 1>
<salon, 1>
<Go, 1>
<brave, 1>
<heart, 1>
<and, 1>
<save, 1>
<me, 1>
<from, 1>
<despair, 1>
<I, 1>
<obey, 1>
<and, 1>
<return, 1>
<victorious, 1>
<or, 1>
<dead, 1>
<With, 1>
<these, 1>
<thrilling, 1>
<words, 1>
<he, 1>
<rushed, 1>
<away, 1>
<and, 1>
<flinging, 1>
<open, 1>
<the, 1>
<door, 1>
<of, 1>
<the, 1>
<mauve, 1>
<salon, 1>
<was, 1>
<about, 1>
<to, 1>
<enter, 1>
<when, 1>
<he, 1>
<received, 1>
<A, 1>
<stunning, 1>
<blow, 1>
<from, 1>
<the, 1>
<big, 1>
<Greek, 1>
<lexicon, 1>
<which, 1>
<an, 1>
<old, 1>
<fellow, 1>
<in, 1>
<a, 1>
<black, 1>
<gown, 1>
<fired, 1>
<at, 1>
<him, 1>
<said, 1>
<Ned, 1>
<Instantly, 1>
<Sir, 1>
<What, 1>
<s, 1>
<his, 1>
<name, 1>
<recovered, 1>
<himself, 1>
<pitched, 1>
<the, 1>
<tyrant, 1>
<out, 1>
<of, 1>
<the, 1>
<window, 1>
<and, 1>
<turned, 1>
<to, 1>
<join, 1>
<the, 1>
<lady, 1>
<victorious, 1>
<but, 1>
<with, 1>
<a, 1>
<bump, 1>
<on, 1>
<his, 1>
<brow, 1>
<found, 1>
<the, 1>
<door, 1>
<locked, 1>
<tore, 1>
<up, 1>
<the, 1>
<curtains, 1>
<made, 1>
<a, 1>
<rope, 1>
<ladder, 1>
<got, 1>
<halfway, 1>
<down, 1>
<when, 1>
<the, 1>
<ladder, 1>
<broke, 1>
<and, 1>
<he, 1>
<went, 1>
<headfirst, 1>
<into, 1>
<the, 1>
<moat, 1>
<sixty, 1>
<feet, 1>
<below, 1>
<Could, 1>
<swim, 1>
<like, 1>
<a, 1>
<duck, 1>
<paddled, 1>
<round, 1>
<the, 1>
<castle, 1>
<till, 1>
<he, 1>
<came, 1>
<to, 1>
<a, 1>
<little, 1>
<door, 1>
<guarded, 1>
<by, 1>
<two, 1>
<stout, 1>
<fellows, 1>
<knocked, 1>
<their, 1>
<heads, 1>
<together, 1>
<till, 1>
<they, 1>
<cracked, 1>
<like, 1>
<a, 1>
<couple, 1>
<of, 1>
<nuts, 1>
<then, 1>
<by, 1>
<a, 1>
<trifling, 1>
<exertion, 1>
<of, 1>
<his, 1>
<prodigious, 1>
<strength, 1>
<he, 1>
<smashed, 1>
<in, 1>
<the, 1>
<door, 1>
<went, 1>
<up, 1>
<a, 1>
<pair, 1>
<of, 1>
<stone, 1>
<steps, 1>
<covered, 1>
<with, 1>
<dust, 1>
<a, 1>
<foot, 1>
<thick, 1>
<toads, 1>
<as, 1>
<big, 1>
<as, 1>
<your, 1>
<fist, 1>
<and, 1>
<spiders, 1>
<that, 1>
<would, 1>
<frighten, 1>
<you, 1>
<into, 1>
<hysterics, 1>
<Miss, 1>
<March, 1>
<At, 1>
<the, 1>
<top, 1>
<of, 1>
<these, 1>
<steps, 1>
<he, 1>
<came, 1>
<plump, 1>
<upon, 1>
<a, 1>
<sight, 1>
<that, 1>
<took, 1>
<his, 1>
<breath, 1>
<away, 1>
<and, 1>
<chilled, 1>
<his, 1>
<blood, 1>
<A, 1>
<tall, 1>
<figure, 1>
<all, 1>
<in, 1>
<white, 1>
<with, 1>
<a, 1>
<veil, 1>
<over, 1>
<its, 1>
<face, 1>
<and, 1>
<a, 1>
<lamp, 1>
<in, 1>
<its, 1>
<wasted, 1>
<hand, 1>
<went, 1>
<on, 1>
<Meg, 1>
<It, 1>
<beckoned, 1>
<gliding, 1>
<noiselessly, 1>
<before, 1>
<him, 1>
<down, 1>
<a, 1>
<corridor, 1>
<as, 1>
<dark, 1>
<and, 1>
<cold, 1>
<as, 1>
<any, 1>
<tomb, 1>
<Shadowy, 1>
<effigies, 1>
<in, 1>
<armor, 1>
<stood, 1>
<on, 1>
<either, 1>
<side, 1>
<a, 1>
<dead, 1>
<silence, 1>
<reigned, 1>
<the, 1>
<lamp, 1>
<burned, 1>
<blue, 1>
<and, 1>
<the, 1>
<ghostly, 1>
<figure, 1>
<ever, 1>
<and, 1>
<anon, 1>
<turned, 1>
<its, 1>
<face, 1>
<toward, 1>
<him, 1>
<showing, 1>
<the, 1>
<glitter, 1>
<of, 1>
<awful, 1>
<eyes, 1>
<through, 1>
<its, 1>
<white, 1>
<veil, 1>
<They, 1>
<reached, 1>
<a, 1>
<curtained, 1>
<door, 1>
<behind, 1>
<which, 1>
<sounded, 1>
<lovely, 1>
<music, 1>
<He, 1>
<sprang, 1>
<forward, 1>
<to, 1>
<enter, 1>
<but, 1>
<the, 1>
<specter, 1>
<plucked, 1>
<him, 1>
<back, 1>
<and, 1>
<waved, 1>
<threateningly, 1>
<before, 1>
<him, 1>
<a, 1>
<Snuffbox, 1>
<said, 1>
<Jo, 1>
<in, 1>
<a, 1>
<sepulchral, 1>
<tone, 1>
<which, 1>
<convulsed, 1>
<the, 1>
<audience, 1>
<Thankee, 1>
<said, 1>
<the, 1>
<knight, 1>
<politely, 1>
<as, 1>
<he, 1>
<took, 1>
<a, 1>
<pinch, 1>
<and, 1>
<sneezed, 1>
<seven, 1>
<times, 1>
<so, 1>
<violently, 1>
<that, 1>
<his, 1>
<head, 1>
<fell, 1>
<off, 1>
<Ha, 1>
<Ha, 1>
<laughed, 1>
<the, 1>
<ghost, 1>
<and, 1>
<having, 1>
<peeped, 1>
<through, 1>
<the, 1>
<keyhole, 1>
<at, 1>
<the, 1>
<princesses, 1>
<spinning, 1>
<away, 1>
<for, 1>
<dear, 1>
<life, 1>
<the, 1>
<evil, 1>
<spirit, 1>
<picked, 1>
<up, 1>
<her, 1>
<victim, 1>
<and, 1>
<put, 1>
<him, 1>
<in, 1>
<a, 1>
<large, 1>
<tin, 1>
<box, 1>
<where, 1>
<there, 1>
<were, 1>
<eleven, 1>
<other, 1>
<knights, 1>
<packed, 1>
<together, 1>
<without, 1>
<their, 1>
<heads, 1>
<like, 1>
<sardines, 1>
<who, 1>
<all, 1>
<rose, 1>
<and, 1>
<began, 1>
<to, 1>
<Dance, 1>
<a, 1>
<hornpipe, 1>
<cut, 1>
<in, 1>
<Fred, 1>
<as, 1>
<Jo, 1>
<paused, 1>
<for, 1>
<breath, 1>
<and, 1>
<as, 1>
<they, 1>
<danced, 1>
<the, 1>
<rubbishy, 1>
<old, 1>
<castle, 1>
<turned, 1>
<to, 1>
<a, 1>
<man, 1>
<of, 1>
<war, 1>
<in, 1>
<full, 1>
<sail, 1>
<Up, 1>
<with, 1>
<the, 1>
<jib, 1>
<reef, 1>
<the, 1>
<tops, 1>
<l, 1>
<halliards, 1>
<helm, 1>
<hard, 1>
<alee, 1>
<and, 1>
<man, 1>
<the, 1>
<guns, 1>
<roared, 1>
<the, 1>
<captain, 1>
<as, 1>
<a, 1>
<Portuguese, 1>
<pirate, 1>
<hove, 1>
<in, 1>
<sight, 1>
<with, 1>
<a, 1>
<flag, 1>
<black, 1>
<as, 1>
<ink, 1>
<flying, 1>
<from, 1>
<her, 1>
<foremast, 1>
<Go, 1>
<in, 1>
<and, 1>
<win, 1>
<my, 1>
<hearties, 1>
<says, 1>
<the, 1>
<captain, 1>
<and, 1>
<a, 1>
<tremendous, 1>
<fight, 1>
<began, 1>
<Of, 1>
<course, 1>
<the, 1>
<British, 1>
<beat, 1>
<they, 1>
<always, 1>
<do, 1>
<No, 1>
<they, 1>
<don, 1>
<t, 1>
<cried, 1>
<Jo, 1>
<aside, 1>
<Having, 1>
<taken, 1>
<the, 1>
<pirate, 1>
<captain, 1>
<prisoner, 1>
<sailed, 1>
<slap, 1>
<over, 1>
<the, 1>
<schooner, 1>
<whose, 1>
<decks, 1>
<were, 1>
<piled, 1>
<high, 1>
<with, 1>
<dead, 1>
<and, 1>
<whose, 1>
<lee, 1>
<scuppers, 1>
<ran, 1>
<blood, 1>
<for, 1>
<the, 1>
<order, 1>
<had, 1>
<been, 1>
<Cutlasses, 1>
<and, 1>
<die, 1>
<hard, 1>
<Bosun, 1>
<s, 1>
<mate, 1>
<take, 1>
<a, 1>
<bight, 1>
<of, 1>
<the, 1>
<flying, 1>
<jib, 1>
<sheet, 1>
<and, 1>
<start, 1>
<this, 1>
<villain, 1>
<if, 1>
<he, 1>
<doesn, 1>
<t, 1>
<confess, 1>
<his, 1>
<sins, 1>
<double, 1>
<quick, 1>
<said, 1>
<the, 1>
<British, 1>
<captain, 1>
<The, 1>
<Portuguese, 1>
<held, 1>
<his, 1>
<tongue, 1>
<like, 1>
<a, 1>
<brick, 1>
<and, 1>
<walked, 1>
<the, 1>
<plank, 1>
<while, 1>
<the, 1>
<jolly, 1>
<tars, 1>
<cheered, 1>
<like, 1>
<mad, 1>
<But, 1>
<the, 1>
<sly, 1>
<dog, 1>
<dived, 1>
<came, 1>
<up, 1>
<under, 1>
<the, 1>
<man, 1>
<of, 1>
<war, 1>
<scuttled, 1>
<her, 1>
<and, 1>
<down, 1>
<she, 1>
<went, 1>
<with, 1>
<all, 1>
<sail, 1>
<set, 1>
<To, 1>
<the, 1>
<bottom, 1>
<of, 1>
<the, 1>
<sea, 1>
<sea, 1>
<sea, 1>
<where, 1>
<Oh, 1>
<gracious, 1>
<What, 1>
<shall, 1>
<I, 1>
<say, 1>
<cried, 1>
<Sallie, 1>
<as, 1>
<Fred, 1>
<ended, 1>
<his, 1>
<rigmarole, 1>
<in, 1>
<which, 1>
<he, 1>
<had, 1>
<jumbled, 1>
<together, 1>
<pell, 1>
<mell, 1>
<nautical, 1>
