<The, 1>
<suffer, 1>
<as, 1>
<I, 1>
<do, 1>
<cried, 1>
<Amy, 1>
<for, 1>
<you, 1>
<don, 1>
<t, 1>
<have, 1>
<to, 1>
<go, 1>
<to, 1>
<school, 1>
<with, 1>
<impertinent, 1>
<girls, 1>
<who, 1>
<plague, 1>
<you, 1>
<if, 1>
<you, 1>
<don, 1>
<t, 1>
<know, 1>
<your, 1>
<lessons, 1>
<and, 1>
<laugh, 1>
<at, 1>
<your, 1>
<dresses, 1>
<and, 1>
<label, 1>
<your, 1>
<father, 1>
<if, 1>
<he, 1>
<isn, 1>
<t, 1>
<rich, 1>
<and, 1>
<insult, 1>
<you, 1>
<when, 1>
<your, 1>
<nose, 1>
<isn, 1>
<t, 1>
<nice, 1>
<If, 1>
<you, 1>
<mean, 1>
<libel, 1>
<I, 1>
<d, 1>
<say, 1>
<so, 1>
<and, 1>
<not, 1>
<talk, 1>
<about, 1>
<labels, 1>
<as, 1>
<if, 1>
<Papa, 1>
<was, 1>
<a, 1>
<pickle, 1>
<bottle, 1>
<advised, 1>
<Jo, 1>
<laughing, 1>
<I, 1>
<know, 1>
<what, 1>
<I, 1>
<mean, 1>
<and, 1>
<you, 1>
<needn, 1>
<t, 1>
<be, 1>
<statirical, 1>
<about, 1>
<it, 1>
<It, 1>
<s, 1>
<proper, 1>
<to, 1>
<use, 1>
<good, 1>
<words, 1>
<and, 1>
<improve, 1>
<your, 1>
<vocabilary, 1>
<returned, 1>
<Amy, 1>
<with, 1>
<dignity, 1>
<Don, 1>
<t, 1>
<peck, 1>
<at, 1>
<one, 1>
<another, 1>
<children, 1>
<Don, 1>
<t, 1>
<you, 1>
<wish, 1>
<we, 1>
<had, 1>
<the, 1>
<money, 1>
<Papa, 1>
<lost, 1>
<when, 1>
<we, 1>
<were, 1>
<little, 1>
<Jo, 1>
<Dear, 1>
<me, 1>
<How, 1>
<happy, 1>
<and, 1>
<good, 1>
<we, 1>
<d, 1>
<be, 1>
<if, 1>
<we, 1>
<had, 1>
<no, 1>
<worries, 1>
<said, 1>
<Meg, 1>
<who, 1>
<could, 1>
<remember, 1>
<better, 1>
<times, 1>
<You, 1>
<said, 1>
<the, 1>
<other, 1>
<day, 1>
<you, 1>
<thought, 1>
<we, 1>
<were, 1>
<a, 1>
<deal, 1>
<happier, 1>
<than, 1>
<the, 1>
<King, 1>
<children, 1>
<for, 1>
<they, 1>
<were, 1>
<fighting, 1>
<and, 1>
<fretting, 1>
<all, 1>
<the, 1>
<time, 1>
<in, 1>
<spite, 1>
<of, 1>
<their, 1>
<money, 1>
<So, 1>
<I, 1>
<did, 1>
<Beth, 1>
<Well, 1>
<I, 1>
<think, 1>
<we, 1>
<are, 1>
<For, 1>
<though, 1>
<we, 1>
<do, 1>
<have, 1>
<to, 1>
<work, 1>
<we, 1>
<make, 1>
<fun, 1>
<of, 1>
<ourselves, 1>
<and, 1>
<are, 1>
<a, 1>
<pretty, 1>
<jolly, 1>
<set, 1>
<as, 1>
<Jo, 1>
<would, 1>
<say, 1>
<Jo, 1>
<does, 1>
<use, 1>
<such, 1>
<slang, 1>
<words, 1>
<observed, 1>
<Amy, 1>
<with, 1>
<a, 1>
<reproving, 1>
<look, 1>
<at, 1>
<the, 1>
<long, 1>
<figure, 1>
<stretched, 1>
<on, 1>
<the, 1>
<rug, 1>
<Jo, 1>
<immediately, 1>
<sat, 1>
<up, 1>
<put, 1>
<her, 1>
<hands, 1>
<in, 1>
<her, 1>
<pockets, 1>
<and, 1>
<began, 1>
<to, 1>
<whistle, 1>
<Don, 1>
<t, 1>
<Jo, 1>
<It, 1>
<s, 1>
<so, 1>
<boyish, 1>
<That, 1>
<s, 1>
<why, 1>
<I, 1>
<do, 1>
<it, 1>
<I, 1>
<detest, 1>
<rude, 1>
<unladylike, 1>
<girls, 1>
<I, 1>
<hate, 1>
<affected, 1>
<niminy, 1>
<piminy, 1>
<chits, 1>
<Birds, 1>
<in, 1>
<their, 1>
<little, 1>
<nests, 1>
<agree, 1>
<sang, 1>
<Beth, 1>
<the, 1>
<peacemaker, 1>
<with, 1>
<such, 1>
<a, 1>
<funny, 1>
<face, 1>
<that, 1>
<both, 1>
<sharp, 1>
<voices, 1>
<softened, 1>
<to, 1>
<a, 1>
<laugh, 1>
<and, 1>
<the, 1>
<pecking, 1>
<ended, 1>
<for, 1>
<that, 1>
<time, 1>
<Really, 1>
<girls, 1>
<you, 1>
<are, 1>
<both, 1>
<to, 1>
<be, 1>
<blamed, 1>
<said, 1>
<Meg, 1>
<beginning, 1>
<to, 1>
<lecture, 1>
<in, 1>
<her, 1>
<elder, 1>
<sisterly, 1>
<fashion, 1>
<You, 1>
<are, 1>
<old, 1>
<enough, 1>
<to, 1>
<leave, 1>
<off, 1>
<boyish, 1>
<tricks, 1>
<and, 1>
<to, 1>
<behave, 1>
<better, 1>
<Josephine, 1>
<It, 1>
<didn, 1>
<t, 1>
<matter, 1>
<so, 1>
<much, 1>
<when, 1>
<you, 1>
<were, 1>
<a, 1>
<little, 1>
<girl, 1>
<but, 1>
<now, 1>
<you, 1>
<are, 1>
<so, 1>
<tall, 1>
<and, 1>
<turn, 1>
<up, 1>
<your, 1>
<hair, 1>
<you, 1>
<should, 1>
<remember, 1>
<that, 1>
<you, 1>
<are, 1>
<a, 1>
<young, 1>
<lady, 1>
<I, 1>
<m, 1>
<not, 1>
<And, 1>
<if, 1>
<turning, 1>
<up, 1>
<my, 1>
<hair, 1>
<makes, 1>
<me, 1>
<one, 1>
<I, 1>
<ll, 1>
<wear, 1>
<it, 1>
<in, 1>
<two, 1>
<tails, 1>
<till, 1>
<I, 1>
<m, 1>
<twenty, 1>
<cried, 1>
<Jo, 1>
<pulling, 1>
<off, 1>
<her, 1>
<net, 1>
<and, 1>
<shaking, 1>
<down, 1>
<a, 1>
<chestnut, 1>
<mane, 1>
<I, 1>
<hate, 1>
<to, 1>
<think, 1>
<I, 1>
<ve, 1>
<got, 1>
<to, 1>
<grow, 1>
<up, 1>
<and, 1>
<be, 1>
<Miss, 1>
<March, 1>
<and, 1>
<wear, 1>
<long, 1>
<gowns, 1>
<and, 1>
<look, 1>
<as, 1>
<prim, 1>
<as, 1>
<a, 1>
<China, 1>
<Aster, 1>
<It, 1>
<s, 1>
<bad, 1>
<enough, 1>
<to, 1>
<be, 1>
<a, 1>
<girl, 1>
<anyway, 1>
<when, 1>
<I, 1>
<like, 1>
<boy, 1>
<s, 1>
<games, 1>
<and, 1>
<work, 1>
<and, 1>
<manners, 1>
<I, 1>
<can, 1>
<t, 1>
<get, 1>
<over, 1>
<my, 1>
<disappointment, 1>
<in, 1>
<not, 1>
<being, 1>
<a, 1>
<boy, 1>
<And, 1>
<it, 1>
<s, 1>
<worse, 1>
<than, 1>
<ever, 1>
<now, 1>
<for, 1>
<I, 1>
<m, 1>
<dying, 1>
<to, 1>
<go, 1>
<and, 1>
<fight, 1>
<with, 1>
<Papa, 1>
<And, 1>
<I, 1>
<can, 1>
<only, 1>
<stay, 1>
<home, 1>
<and, 1>
<knit, 1>
<like, 1>
<a, 1>
<poky, 1>
<old, 1>
<woman, 1>
<And, 1>
<Jo, 1>
<shook, 1>
<the, 1>
<blue, 1>
<army, 1>
<sock, 1>
<till, 1>
<the, 1>
<needles, 1>
<rattled, 1>
<like, 1>
<castanets, 1>
<and, 1>
<her, 1>
<ball, 1>
<bounded, 1>
<across, 1>
<the, 1>
<room, 1>
<Poor, 1>
<Jo, 1>
<It, 1>
<s, 1>
<too, 1>
<bad, 1>
<but, 1>
<it, 1>
<can, 1>
<t, 1>
<be, 1>
<helped, 1>
<So, 1>
<you, 1>
<must, 1>
<try, 1>
<to, 1>
<be, 1>
<contented, 1>
<with, 1>
<making, 1>
<your, 1>
<name, 1>
<boyish, 1>
<and, 1>
<playing, 1>
<brother, 1>
<to, 1>
<us, 1>
<girls, 1>
<said, 1>
<Beth, 1>
<stroking, 1>
<the, 1>
<rough, 1>
<head, 1>
<with, 1>
<a, 1>
<hand, 1>
<that, 1>
<all, 1>
<the, 1>
<dish, 1>
<washing, 1>
<and, 1>
<dusting, 1>
<in, 1>
<the, 1>
<world, 1>
<could, 1>
<not, 1>
<make, 1>
<ungentle, 1>
<in, 1>
<its, 1>
<touch, 1>
<As, 1>
<for, 1>
<you, 1>
<Amy, 1>
<continued, 1>
<Meg, 1>
<you, 1>
<are, 1>
<altogether, 1>
<too, 1>
<particular, 1>
<and, 1>
<prim, 1>
<Your, 1>
<airs, 1>
<are, 1>
<funny, 1>
<now, 1>
<but, 1>
<you, 1>
<ll, 1>
<grow, 1>
<up, 1>
<an, 1>
<affected, 1>
<little, 1>
<goose, 1>
<if, 1>
<you, 1>
<don, 1>
<t, 1>
<take, 1>
<care, 1>
<I, 1>
<like, 1>
<your, 1>
<nice, 1>
<manners, 1>
<and, 1>
<refined, 1>
<ways, 1>
<of, 1>
<speaking, 1>
<when, 1>
<you, 1>
<don, 1>
<t, 1>
<try, 1>
<to, 1>
<be, 1>
<elegant, 1>
<But, 1>
<your, 1>
<absurd, 1>
<words, 1>
<are, 1>
<as, 1>
<bad, 1>
<as, 1>
<Jo, 1>
<s, 1>
<slang, 1>
<If, 1>
<Jo, 1>
<is, 1>
<a, 1>
<tomboy, 1>
<and, 1>
<Amy, 1>
<a, 1>
<goose, 1>
<what, 1>
<am, 1>
<I, 1>
<please, 1>
<asked, 1>
<Beth, 1>
<ready, 1>
<to, 1>
<share, 1>
<the, 1>
<lecture, 1>
<You, 1>
<re, 1>
<a, 1>
<dear, 1>
<and, 1>
<nothing, 1>
<else, 1>
<answered, 1>
<Meg, 1>
<warmly, 1>
<and, 1>
<no, 1>
<one, 1>
<contradicted, 1>
<her, 1>
<for, 1>
<the, 1>
<Mouse, 1>
<was, 1>
<the, 1>
<pet, 1>
<of, 1>
<the, 1>
<family, 1>
<As, 1>
<young, 1>
<readers, 1>
<like, 1>
<to, 1>
<know, 1>
<how, 1>
<people, 1>
<look, 1>
<we, 1>
<will, 1>
<take, 1>
<this, 1>
<moment, 1>
<to, 1>
<give, 1>
<them, 1>
<a, 1>
<little, 1>
<sketch, 1>
<of, 1>
<the, 1>
<four, 1>
<sisters, 1>
<who, 1>
<sat, 1>
<knitting, 1>
<away, 1>
<in, 1>
<the, 1>
<twilight, 1>
<while, 1>
<the, 1>
<December, 1>
<snow, 1>
<fell, 1>
<quietly, 1>
<without, 1>
<and, 1>
<the, 1>
<fire, 1>
<crackled, 1>
<cheerfully, 1>
<within, 1>
<It, 1>
<was, 1>
<a, 1>
<comfortable, 1>
<room, 1>
<though, 1>
<the, 1>
<carpet, 1>
<was, 1>
<faded, 1>
<and, 1>
<the, 1>
<furniture, 1>
<very, 1>
<plain, 1>
<for, 1>
<a, 1>
<good, 1>
<picture, 1>
<or, 1>
<two, 1>
<hung, 1>
<on, 1>
<the, 1>
<walls, 1>
<books, 1>
<filled, 1>
<the, 1>
<recesses, 1>
<chrysanthemums, 1>
<and, 1>
<Christmas, 1>
<roses, 1>
<bloomed, 1>
<in, 1>
<the, 1>
<windows, 1>
<and, 1>
<a, 1>
<pleasant, 1>
<atmosphere, 1>
<of, 1>
<home, 1>
<peace, 1>
<pervaded, 1>
<it, 1>
<Margaret, 1>
<the, 1>
<eldest, 1>
<of, 1>
<the, 1>
<four, 1>
<was, 1>
<sixteen, 1>
<and, 1>
<very, 1>
<pretty, 1>
<being, 1>
<plump, 1>
<and, 1>
<fair, 1>
<with, 1>
<large, 1>
<eyes, 1>
<plenty, 1>
<of, 1>
<soft, 1>
<brown, 1>
<hair, 1>
<a, 1>
<sweet, 1>
<mouth, 1>
<and, 1>
<white, 1>
<hands, 1>
<of, 1>
<which, 1>
<she, 1>
<was, 1>
<rather, 1>
<vain, 1>
<Fifteen, 1>
<year, 1>
<old, 1>
<Jo, 1>
<was, 1>
<very, 1>
<tall, 1>
<thin, 1>
<and, 1>
<brown, 1>
<and, 1>
<reminded, 1>
<one, 1>
<of, 1>
<a, 1>
<colt, 1>
<for, 1>
<she, 1>
<never, 1>
<seemed, 1>
<to, 1>
<know, 1>
<what, 1>
<to, 1>
<do, 1>
<with, 1>
<her, 1>
<long, 1>
<limbs, 1>
<which, 1>
<were, 1>
<very, 1>
<much, 1>
<in, 1>
<her, 1>
<way, 1>
<She, 1>
<had, 1>
<a, 1>
<decided, 1>
<mouth, 1>
<a, 1>
<comical, 1>
<nose, 1>
<and, 1>
<sharp, 1>
<gray, 1>
<eyes, 1>
<which, 1>
<appeared, 1>
<to, 1>
<see, 1>
<everything, 1>
<and, 1>
<were, 1>
<by, 1>
<turns, 1>
<fierce, 1>
<funny, 1>
<or, 1>
<thoughtful, 1>
<Her, 1>
<long, 1>
<thick, 1>
<hair, 1>
<was, 1>
<her, 1>
