<b, 1>
<them, 1>
<a, 1>
<virtuous, 1>
<example, 1>
<Everybody, 1>
<is, 1>
<so, 1>
<hateful, 1>
<I, 1>
<ll, 1>
<ask, 1>
<Laurie, 1>
<to, 1>
<go, 1>
<skating, 1>
<He, 1>
<is, 1>
<always, 1>
<kind, 1>
<and, 1>
<jolly, 1>
<and, 1>
<will, 1>
<put, 1>
<me, 1>
<to, 1>
<rights, 1>
<I, 1>
<know, 1>
<said, 1>
<Jo, 1>
<to, 1>
<herself, 1>
<and, 1>
<off, 1>
<she, 1>
<went, 1>
<Amy, 1>
<heard, 1>
<the, 1>
<clash, 1>
<of, 1>
<skates, 1>
<and, 1>
<looked, 1>
<out, 1>
<with, 1>
<an, 1>
<impatient, 1>
<exclamation, 1>
<There, 1>
<She, 1>
<promised, 1>
<I, 1>
<should, 1>
<go, 1>
<next, 1>
<time, 1>
<for, 1>
<this, 1>
<is, 1>
<the, 1>
<last, 1>
<ice, 1>
<we, 1>
<shall, 1>
<have, 1>
<But, 1>
<it, 1>
<s, 1>
<no, 1>
<use, 1>
<to, 1>
<ask, 1>
<such, 1>
<a, 1>
<crosspatch, 1>
<to, 1>
<take, 1>
<me, 1>
<Don, 1>
<t, 1>
<say, 1>
<that, 1>
<You, 1>
<were, 1>
<very, 1>
<naughty, 1>
<and, 1>
<it, 1>
<is, 1>
<hard, 1>
<to, 1>
<forgive, 1>
<the, 1>
<loss, 1>
<of, 1>
<her, 1>
<precious, 1>
<little, 1>
<book, 1>
<but, 1>
<I, 1>
<think, 1>
<she, 1>
<might, 1>
<do, 1>
<it, 1>
<now, 1>
<and, 1>
<I, 1>
<guess, 1>
<she, 1>
<will, 1>
<if, 1>
<you, 1>
<try, 1>
<her, 1>
<at, 1>
<the, 1>
<right, 1>
<minute, 1>
<said, 1>
<Meg, 1>
<Go, 1>
<after, 1>
<them, 1>
<Don, 1>
<t, 1>
<say, 1>
<anything, 1>
<till, 1>
<Jo, 1>
<has, 1>
<got, 1>
<good, 1>
<natured, 1>
<with, 1>
<Laurie, 1>
<than, 1>
<take, 1>
<a, 1>
<quiet, 1>
<minute, 1>
<and, 1>
<just, 1>
<kiss, 1>
<her, 1>
<or, 1>
<do, 1>
<some, 1>
<kind, 1>
<thing, 1>
<and, 1>
<I, 1>
<m, 1>
<sure, 1>
<she, 1>
<ll, 1>
<be, 1>
<friends, 1>
<again, 1>
<with, 1>
<all, 1>
<her, 1>
<heart, 1>
<I, 1>
<ll, 1>
<try, 1>
<said, 1>
<Amy, 1>
<for, 1>
<the, 1>
<advice, 1>
<suited, 1>
<her, 1>
<and, 1>
<after, 1>
<a, 1>
<flurry, 1>
<to, 1>
<get, 1>
<ready, 1>
<she, 1>
<ran, 1>
<after, 1>
<the, 1>
<friends, 1>
<who, 1>
<were, 1>
<just, 1>
<disappearing, 1>
<over, 1>
<the, 1>
<hill, 1>
<It, 1>
<was, 1>
<not, 1>
<far, 1>
<to, 1>
<the, 1>
<river, 1>
<but, 1>
<both, 1>
<were, 1>
<ready, 1>
<before, 1>
<Amy, 1>
<reached, 1>
<them, 1>
<Jo, 1>
<saw, 1>
<her, 1>
<coming, 1>
<and, 1>
<turned, 1>
<her, 1>
<back, 1>
<Laurie, 1>
<did, 1>
<not, 1>
<see, 1>
<for, 1>
<he, 1>
<was, 1>
<carefully, 1>
<skating, 1>
<along, 1>
<the, 1>
<shore, 1>
<sounding, 1>
<the, 1>
<ice, 1>
<for, 1>
<a, 1>
<warm, 1>
<spell, 1>
<had, 1>
<preceded, 1>
<the, 1>
<cold, 1>
<snap, 1>
<I, 1>
<ll, 1>
<go, 1>
<on, 1>
<to, 1>
<the, 1>
<first, 1>
<bend, 1>
<and, 1>
<see, 1>
<if, 1>
<it, 1>
<s, 1>
<all, 1>
<right, 1>
<before, 1>
<we, 1>
<begin, 1>
<to, 1>
<race, 1>
<Amy, 1>
<heard, 1>
<him, 1>
<say, 1>
<as, 1>
<he, 1>
<shot, 1>
<away, 1>
<looking, 1>
<like, 1>
<a, 1>
<young, 1>
<Russian, 1>
<in, 1>
<his, 1>
<fur, 1>
<trimmed, 1>
<coat, 1>
<and, 1>
<cap, 1>
<Jo, 1>
<heard, 1>
<Amy, 1>
<panting, 1>
<after, 1>
<her, 1>
<run, 1>
<stamping, 1>
<her, 1>
<feet, 1>
<and, 1>
<blowing, 1>
<on, 1>
<her, 1>
<fingers, 1>
<as, 1>
<she, 1>
<tried, 1>
<to, 1>
<put, 1>
<her, 1>
<skates, 1>
<on, 1>
<but, 1>
<Jo, 1>
<never, 1>
<turned, 1>
<and, 1>
<went, 1>
<slowly, 1>
<zigzagging, 1>
<down, 1>
<the, 1>
<river, 1>
<taking, 1>
<a, 1>
<bitter, 1>
<unhappy, 1>
<sort, 1>
<of, 1>
<satisfaction, 1>
<in, 1>
<her, 1>
<sister, 1>
<s, 1>
<troubles, 1>
<She, 1>
<had, 1>
<cherished, 1>
<her, 1>
<anger, 1>
<till, 1>
<it, 1>
<grew, 1>
<strong, 1>
<and, 1>
<took, 1>
<possession, 1>
<of, 1>
<her, 1>
<as, 1>
<evil, 1>
<thoughts, 1>
<and, 1>
<feelings, 1>
<always, 1>
<do, 1>
<unless, 1>
<cast, 1>
<out, 1>
<at, 1>
<once, 1>
<As, 1>
<Laurie, 1>
<turned, 1>
<the, 1>
<bend, 1>
<he, 1>
<shouted, 1>
<back, 1>
<Keep, 1>
<near, 1>
<the, 1>
<shore, 1>
<It, 1>
<isn, 1>
<t, 1>
<safe, 1>
<in, 1>
<the, 1>
<middle, 1>
<Jo, 1>
<heard, 1>
<but, 1>
<Amy, 1>
<was, 1>
<struggling, 1>
<to, 1>
<her, 1>
<feet, 1>
<and, 1>
<did, 1>
<not, 1>
<catch, 1>
<a, 1>
<word, 1>
<Jo, 1>
<glanced, 1>
<over, 1>
<her, 1>
<shoulder, 1>
<and, 1>
<the, 1>
<little, 1>
<demon, 1>
<she, 1>
<was, 1>
<harboring, 1>
<said, 1>
<in, 1>
<her, 1>
<ear, 1>
<No, 1>
<matter, 1>
<whether, 1>
<she, 1>
<heard, 1>
<or, 1>
<not, 1>
<let, 1>
<her, 1>
<take, 1>
<care, 1>
<of, 1>
<herself, 1>
<Laurie, 1>
<had, 1>
<vanished, 1>
<round, 1>
<the, 1>
<bend, 1>
<Jo, 1>
<was, 1>
<just, 1>
<at, 1>
<the, 1>
<turn, 1>
<and, 1>
<Amy, 1>
<far, 1>
<behind, 1>
<striking, 1>
<out, 1>
<toward, 1>
<the, 1>
<smoother, 1>
<ice, 1>
<in, 1>
<the, 1>
<middle, 1>
<of, 1>
<the, 1>
<river, 1>
<For, 1>
<a, 1>
<minute, 1>
<Jo, 1>
<stood, 1>
<still, 1>
<with, 1>
<a, 1>
<strange, 1>
<feeling, 1>
<in, 1>
<her, 1>
<heart, 1>
<then, 1>
<she, 1>
<resolved, 1>
<to, 1>
<go, 1>
<on, 1>
<but, 1>
<something, 1>
<held, 1>
<and, 1>
<turned, 1>
<her, 1>
<round, 1>
<just, 1>
<in, 1>
<time, 1>
<to, 1>
<see, 1>
<Amy, 1>
<throw, 1>
<up, 1>
<her, 1>
<hands, 1>
<and, 1>
<go, 1>
<down, 1>
<with, 1>
<a, 1>
<sudden, 1>
<crash, 1>
<of, 1>
<rotten, 1>
<ice, 1>
<the, 1>
<splash, 1>
<of, 1>
<water, 1>
<and, 1>
<a, 1>
<cry, 1>
<that, 1>
<made, 1>
<Jo, 1>
<s, 1>
<heart, 1>
<stand, 1>
<still, 1>
<with, 1>
<fear, 1>
<She, 1>
<tried, 1>
<to, 1>
<call, 1>
<Laurie, 1>
<but, 1>
<her, 1>
<voice, 1>
<was, 1>
<gone, 1>
<She, 1>
<tried, 1>
<to, 1>
<rush, 1>
<forward, 1>
<but, 1>
<her, 1>
<feet, 1>
<seemed, 1>
<to, 1>
<have, 1>
<no, 1>
<strength, 1>
<in, 1>
<them, 1>
<and, 1>
<for, 1>
<a, 1>
<second, 1>
<she, 1>
<could, 1>
<only, 1>
<stand, 1>
<motionless, 1>
<staring, 1>
<with, 1>
<a, 1>
<terror, 1>
<stricken, 1>
<face, 1>
<at, 1>
<the, 1>
<little, 1>
<blue, 1>
<hood, 1>
<above, 1>
<the, 1>
<black, 1>
<water, 1>
<Something, 1>
<rushed, 1>
<swiftly, 1>
<by, 1>
<her, 1>
<and, 1>
<Laurie, 1>
<s, 1>
<voice, 1>
<cried, 1>
<out, 1>
<Bring, 1>
<a, 1>
<rail, 1>
<Quick, 1>
<quick, 1>
<How, 1>
<she, 1>
<did, 1>
<it, 1>
<she, 1>
<never, 1>
<knew, 1>
<but, 1>
<for, 1>
<the, 1>
<next, 1>
<few, 1>
<minutes, 1>
<she, 1>
<worked, 1>
<as, 1>
<if, 1>
<possessed, 1>
<blindly, 1>
<obeying, 1>
<Laurie, 1>
<who, 1>
<was, 1>
<quite, 1>
<self, 1>
<possessed, 1>
<and, 1>
<lying, 1>
<flat, 1>
<held, 1>
<Amy, 1>
<up, 1>
<by, 1>
<his, 1>
<arm, 1>
<and, 1>
<hockey, 1>
<stick, 1>
<till, 1>
<Jo, 1>
<dragged, 1>
<a, 1>
<rail, 1>
<from, 1>
<the, 1>
<fence, 1>
<and, 1>
<together, 1>
<they, 1>
<got, 1>
<the, 1>
<child, 1>
<out, 1>
<more, 1>
<frightened, 1>
<than, 1>
<hurt, 1>
<Now, 1>
<then, 1>
<we, 1>
<must, 1>
<walk, 1>
<her, 1>
<home, 1>
<as, 1>
<fast, 1>
<as, 1>
<we, 1>
<can, 1>
<Pile, 1>
<our, 1>
<things, 1>
<on, 1>
<her, 1>
<while, 1>
<I, 1>
<get, 1>
<off, 1>
<these, 1>
<confounded, 1>
<skates, 1>
<cried, 1>
<Laurie, 1>
<wrapping, 1>
<his, 1>
<coat, 1>
<round, 1>
<Amy, 1>
<and, 1>
<tugging, 1>
<away, 1>
<at, 1>
<the, 1>
<straps, 1>
<which, 1>
<never, 1>
<seemed, 1>
<so, 1>
<intricate, 1>
<before, 1>
<Shivering, 1>
<dripping, 1>
<and, 1>
<crying, 1>
<they, 1>
<got, 1>
<Amy, 1>
<home, 1>
<and, 1>
<after, 1>
<an, 1>
<exciting, 1>
<time, 1>
<of, 1>
<it, 1>
<she, 1>
<fell, 1>
<asleep, 1>
<rolled, 1>
<in, 1>
<blankets, 1>
<before, 1>
<a, 1>
<hot, 1>
<fire, 1>
<During, 1>
<the, 1>
<bustle, 1>
<Jo, 1>
<had, 1>
<scarcely, 1>
<spoken, 1>
<but, 1>
<flown, 1>
<about, 1>
<looking, 1>
<pale, 1>
<and, 1>
<wild, 1>
<with, 1>
<her, 1>
<things, 1>
<half, 1>
<off, 1>
<her, 1>
<dress, 1>
<torn, 1>
<and, 1>
<her, 1>
<hands, 1>
<cut, 1>
<and, 1>
<bruised, 1>
<by, 1>
<ice, 1>
<and, 1>
<rails, 1>
<and, 1>
<refractory, 1>
<buckles, 1>
<When, 1>
<Amy, 1>
<was, 1>
<comfortably, 1>
<asleep, 1>
<the, 1>
<house, 1>
<quiet, 1>
<and, 1>
<Mrs, 1>
<March, 1>
<sitting, 1>
<by, 1>
<the, 1>
<bed, 1>
<she, 1>
<called, 1>
<Jo, 1>
<to, 1>
<her, 1>
<and, 1>
<began, 1>
<to, 1>
<bind, 1>
<up, 1>
<the, 1>
<hurt, 1>
<hands, 1>
<Are, 1>
<you, 1>
<sure, 1>
<she, 1>
<is, 1>
<safe, 1>
<whispered, 1>
<Jo, 1>
<looking, 1>
<remorsefully, 1>
<at, 1>
<the, 1>
<golden, 1>
<head, 1>
<which, 1>
<might, 1>
<have, 1>
<been, 1>
<swept, 1>
<away, 1>
<from, 1>
<her, 1>
<sight, 1>
<forever, 1>
<under, 1>
<the, 1>
<treacherous, 1>
<ice, 1>
<Quite, 1>
<safe, 1>
<dear, 1>
<She, 1>
<is, 1>
<not, 1>
<hurt, 1>
<and, 1>
<won, 1>
<t, 1>
<even, 1>
<take, 1>
<cold, 1>
<I, 1>
<think, 1>
<you, 1>
<were, 1>
<so, 1>
<sensible, 1>
<in, 1>
<covering, 1>
<and, 1>
<getting, 1>
<her, 1>
<home, 1>
<quickly, 1>
<replied, 1>
<her, 1>
<mother, 1>
<cheerfully, 1>
<Laurie, 1>
<did, 1>
<it, 1>
<all, 1>
<I, 1>
<only, 1>
<let, 1>
<her, 1>
<go, 1>
<Mother, 1>
<if, 1>
<she, 1>
<should, 1>
<die, 1>
<it, 1>
<would, 1>
<be, 1>
<my, 1>
<fault, 1>
<And, 1>
<Jo, 1>
<dropped, 1>
<down, 1>
<beside, 1>
<the, 1>
<bed, 1>
<in, 1>
<a, 1>
<passion, 1>
<of, 1>
<penitent, 1>
<tears, 1>
<telling, 1>
<all, 1>
<that, 1>
<had, 1>
<happened, 1>
<bitterly, 1>
<condemning, 1>
<her, 1>
<hardness, 1>
<of, 1>
<heart, 1>
<and, 1>
<sobbing, 1>
<out, 1>
<her, 1>
<gratitude, 1>
<for, 1>
<being, 1>
<spared, 1>
<the, 1>
<heavy, 1>
<punishment, 1>
<which, 1>
<might, 1>
<have, 1>
<come, 1>
<upon, 1>
<her, 1>
<It, 1>
<s, 1>
<my, 1>
<dreadful, 1>
<temper, 1>
<I, 1>
<try, 1>
<to, 1>
<cure, 1>
<it, 1>
<I, 1>
<think, 1>
<I, 1>
<have, 1>
<and, 1>
<then, 1>
<it, 1>
<breaks, 1>
<out, 1>
<worse, 1>
<than, 1>
<ever, 1>
<Oh, 1>
<Mother, 1>
<what, 1>
<shall, 1>
<I, 1>
<do, 1>
<What, 1>
<shall, 1>
<I, 1>
<do, 1>
<cried, 1>
<poor, 1>
<Jo, 1>
<in, 1>
<despair, 1>
<Watch, 1>
<and, 1>
<pray, 1>
<dear, 1>
<never, 1>
<get, 1>
<tired, 1>
<of, 1>
<trying, 1>
<and, 1>
<never, 1>
<think, 1>
<it, 1>
<is, 1>
<impossible, 1>
<to, 1>
<conquer, 1>
<your, 1>
<fault, 1>
<said, 1>
<Mrs, 1>
<March, 1>
<drawing, 1>
<the, 1>
<blowzy, 1>
<head, 1>
<to, 1>
<her, 1>
<shoulder, 1>
<and, 1>
<kissing, 1>
<the, 1>
<wet, 1>
<cheek, 1>
<so, 1>
<tenderly, 1>
<that, 1>
<Jo, 1>
<cried, 1>
<even, 1>
<harder, 1>
<You, 1>
<don, 1>
<t, 1>
<know, 1>
<you, 1>
<can, 1>
<t, 1>
<guess, 1>
<how, 1>
<bad, 1>
<it, 1>
<is, 1>
<It, 1>
<seems, 1>
<as, 1>
<if, 1>
<I, 1>
<could, 1>
<do, 1>
<anything, 1>
<when, 1>
<I, 1>
<m, 1>
<in, 1>
<a, 1>
<passion, 1>
<I, 1>
<get, 1>
<so, 1>
<savage, 1>
<I, 1>
<could, 1>
<hurt, 1>
<anyone, 1>
<and, 1>
<enjoy, 1>
<it, 1>
<I, 1>
<m, 1>
<afraid, 1>
<I, 1>
<shall, 1>
<do, 1>
<something, 1>
<dreadful, 1>
<some, 1>
<day, 1>
<and, 1>
<spoil, 1>
<my, 1>
<life, 1>
<and, 1>
<make, 1>
<everybody, 1>
<hate, 1>
<me, 1>
<Oh, 1>
<Mother, 1>
<help, 1>
<me, 1>
<do, 1>
<help, 1>
<me, 1>
<I, 1>
<will, 1>
<my, 1>
<child, 1>
<I, 1>
<will, 1>
<Don, 1>
<t, 1>
<cry, 1>
<so, 1>
<bitterly, 1>
<but, 1>
<remember, 1>
<this, 1>
<day, 1>
<and, 1>
<resolve, 1>
<with, 1>
<all, 1>
<your, 1>
<soul, 1>
<that, 1>
<you, 1>
<will, 1>
<never, 1>
<know, 1>
<another, 1>
<like, 1>
<it, 1>
<Jo, 1>
<dear, 1>
<we, 1>
<all, 1>
<have, 1>
<our, 1>
<temptations, 1>
<some, 1>
<far, 1>
<greater, 1>
<than, 1>
<yours, 1>
<and, 1>
<it, 1>
<often, 1>
<takes, 1>
<us, 1>
<all, 1>
<our, 1>
<lives, 1>
<to, 1>
<conquer, 1>
<them, 1>
<You, 1>
<think, 1>
<your, 1>
<temper, 1>
<is, 1>
<the, 1>
<worst, 1>
<in, 1>
<the, 1>
<world, 1>
<but, 1>
<mine, 1>
<used, 1>
<to, 1>
<be, 1>
<just, 1>
<like, 1>
<it, 1>
<Yours, 1>
<Mother, 1>
<Why, 1>
<you, 1>
<are, 1>
<never, 1>
<angry, 1>
<And, 1>
<for, 1>
<the, 1>
<moment, 1>
<Jo, 1>
<forgot, 1>
<remorse, 1>
<in, 1>
<surprise, 1>
<I, 1>
<ve, 1>
<been, 1>
<trying, 1>
<to, 1>
<cure, 1>
<it, 1>
<for, 1>
<forty, 1>
<years, 1>
<and, 1>
<have, 1>
<only, 1>
<succeeded, 1>
<in, 1>
<controlling, 1>
<it, 1>
<I, 1>
<am, 1>
<angry, 1>
<nearly, 1>
<every, 1>
<day, 1>
<of, 1>
<my, 1>
<life, 1>
<Jo, 1>
<but, 1>
<I, 1>
<have, 1>
<learned, 1>
<not, 1>
<to, 1>
<show, 1>
<it, 1>
<and, 1>
<I, 1>
<still, 1>
<hope, 1>
<to, 1>
<learn, 1>
<not, 1>
<to, 1>
<feel, 1>
<it, 1>
<though, 1>
<it, 1>
<may, 1>
<take, 1>
<me, 1>
<another, 1>
<forty, 1>
<years, 1>
<to, 1>
<do, 1>
<so, 1>
<The, 1>
<patience, 1>
<and, 1>
<the, 1>
<humility, 1>
<of, 1>
<the, 1>
<face, 1>
<she, 1>
<loved, 1>
<so, 1>
<well, 1>
<was, 1>
<a, 1>
<better, 1>
<lesson, 1>
<to, 1>
<Jo, 1>
<than, 1>
<the, 1>
<wisest, 1>
<lecture, 1>
<the, 1>
<sharpest, 1>
<reproof, 1>
<She, 1>
<felt, 1>
<comforted, 1>
<at, 1>
<once, 1>
<by, 1>
<the, 1>
<sympathy, 1>
<and, 1>
<confidence, 1>
<given, 1>
<her, 1>
<The, 1>
<knowledge, 1>
<that, 1>
<her, 1>
<mother, 1>
<had, 1>
<a, 1>
<fault, 1>
<like, 1>
<hers, 1>
<and, 1>
<tried, 1>
<to, 1>
<mend, 1>
<it, 1>
<made, 1>
<her, 1>
<own, 1>
<easier, 1>
<to, 1>
<bear, 1>
<and, 1>
<strengthened, 1>
<her, 1>
<resolution, 1>
<to, 1>
<cure, 1>
<it, 1>
<though, 1>
<forty, 1>
<years, 1>
<seemed, 1>
<rather, 1>
<a, 1>
<long, 1>
<time, 1>
<to, 1>
<watch, 1>
<and, 1>
<pray, 1>
<to, 1>
<a, 1>
<girl, 1>
<of, 1>
<fifteen, 1>
<Mother, 1>
<are, 1>
<you, 1>
<angry, 1>
<when, 1>
<you, 1>
<fold, 1>
<your, 1>
<lips, 1>
<tight, 1>
<together, 1>
<and, 1>
<go, 1>
<out, 1>
<of, 1>
<the, 1>
<room, 1>
<sometimes, 1>
<when, 1>
<Aunt, 1>
<March, 1>
<scolds, 1>
<or, 1>
<people, 1>
<worry, 1>
<you, 1>
<asked, 1>
<Jo, 1>
<feeling, 1>
<nearer, 1>
<and, 1>
<dearer, 1>
<to, 1>
<her, 1>
<mother, 1>
<than, 1>
<ever, 1>
<before, 1>
<Yes, 1>
<I, 1>
<ve, 1>
<learned, 1>
<to, 1>
<check, 1>
<the, 1>
<hasty, 1>
<words, 1>
<that, 1>
<rise, 1>
<to, 1>
<my, 1>
<lips, 1>
<and, 1>
<when, 1>
<I, 1>
<feel, 1>
<that, 1>
<they, 1>
<mean, 1>
<to, 1>
<break, 1>
<out, 1>
<against, 1>
<my, 1>
<will, 1>
<I, 1>
<just, 1>
<go, 1>
<away, 1>
<for, 1>
<a, 1>
<minute, 1>
<and, 1>
<give, 1>
<myself, 1>
<a, 1>
<little, 1>
<shake, 1>
<for, 1>
<being, 1>
<so, 1>
<weak, 1>
<and, 1>
<wicked, 1>
<answered, 1>
<Mrs, 1>
<March, 1>
<with, 1>
<a, 1>
<sigh, 1>
<and, 1>
<a, 1>
<smile, 1>
<as, 1>
<she, 1>
<smoothed, 1>
<and, 1>
<fastened, 1>
<up, 1>
<Jo, 1>
<s, 1>
<disheveled, 1>
<hair, 1>
<How, 1>
<did, 1>
<you, 1>
<learn, 1>
<to, 1>
<keep, 1>
<still, 1>
<That, 1>
<is, 1>
<what, 1>
<troubles, 1>
<me, 1>
<for, 1>
<the, 1>
<sharp, 1>
<words, 1>
<fly, 1>
<out, 1>
<before, 1>
<I, 1>
<know, 1>
<what, 1>
<I, 1>
<m, 1>
<about, 1>
<and, 1>
<the, 1>
<more, 1>
<I, 1>
<say, 1>
<the, 1>
<worse, 1>
<I, 1>
<get, 1>
<till, 1>
<it, 1>
<s, 1>
<a, 1>
<pleasure, 1>
<to, 1>
<hurt, 1>
<people, 1>
<s, 1>
<feelings, 1>
<and, 1>
<say, 1>
<dreadful, 1>
<things, 1>
<Tell, 1>
<me, 1>
<how, 1>
<you, 1>
<do, 1>
<it, 1>
<Marmee, 1>
<dear, 1>
<My, 1>
<good, 1>
<mother, 1>
<used, 1>
<to, 1>
<help, 1>
<me, 1>
<As, 1>
<you, 1>
<do, 1>
<us, 1>
<interrupted, 1>
<Jo, 1>
<with, 1>
<a, 1>
<grateful, 1>
<kiss, 1>
<But, 1>
<I, 1>
<lost, 1>
<her, 1>
<when, 1>
<I, 1>
<was, 1>
<a, 1>
<little, 1>
<older, 1>
<than, 1>
<you, 1>
<are, 1>
<and, 1>
<for, 1>
<years, 1>
<had, 1>
<to, 1>
<struggle, 1>
<on, 1>
<alone, 1>
<for, 1>
<I, 1>
<was, 1>
<too, 1>
<proud, 1>
<to, 1>
<confess, 1>
<my, 1>
<weakness, 1>
<to, 1>
<anyone, 1>
<else, 1>
<I, 1>
<had, 1>
<a, 1>
<hard, 1>
<time, 1>
<Jo, 1>
<and, 1>
<shed, 1>
<a, 1>
<good, 1>
<many, 1>
<bitter, 1>
<tears, 1>
<over, 1>
<my, 1>
<failures, 1>
<for, 1>
<in, 1>
<spite, 1>
<of, 1>
<my, 1>
<efforts, 1>
<I, 1>
<never, 1>
<seemed, 1>
<to, 1>
<get, 1>
<on, 1>
<Then, 1>
<your, 1>
<father, 1>
<came, 1>
<and, 1>
<I, 1>
<was, 1>
<so, 1>
<happy, 1>
<that, 1>
<I, 1>
<found, 1>
<it, 1>
<easy, 1>
<to, 1>
<be, 1>
<good, 1>
<But, 1>
<by, 1>
<and, 1>
<by, 1>
<when, 1>
<I, 1>
<had, 1>
<four, 1>
<little, 1>
<daughters, 1>
<round, 1>
<me, 1>
<and, 1>
<we, 1>
<were, 1>
<poor, 1>
<then, 1>
<the, 1>
<old, 1>
<trouble, 1>
<began, 1>
<again, 1>
<for, 1>
<I, 1>
<am, 1>
<not, 1>
<patient, 1>
<by, 1>
<nature, 1>
<and, 1>
<it, 1>
<tried, 1>
<me, 1>
<very, 1>
<much, 1>
<to, 1>
<see, 1>
<my, 1>
<children, 1>
<wanting, 1>
<anything, 1>
<Poor, 1>
<Mother, 1>
<What, 1>
<helped, 1>
<you, 1>
<then, 1>
<Your, 1>
<father, 1>
<Jo, 1>
<He, 1>
<never, 1>
<loses, 1>
<patience, 1>
<never, 1>
<doubts, 1>
<or, 1>
<complains, 1>
<but, 1>
<always, 1>
<hopes, 1>
<and, 1>
<works, 1>
<and, 1>
<waits, 1>
<so, 1>
<cheerfully, 1>
<that, 1>
<one, 1>
<is, 1>
<ashamed, 1>
<to, 1>
<do, 1>
<otherwise, 1>
<before, 1>
<him, 1>
<He, 1>
<helped, 1>
<and, 1>
<comforted, 1>
