<latest, 1>
<shoulders, 1>
<and, 1>
<then, 1>
<envy, 1>
<him, 1>
<his, 1>
<inches, 1>
<There, 1>
<were, 1>
<plenty, 1>
<of, 1>
<pretty, 1>
<faces, 1>
<to, 1>
<admire, 1>
<but, 1>
<the, 1>
<young, 1>
<man, 1>
<took, 1>
<little, 1>
<notice, 1>
<of, 1>
<them, 1>
<except, 1>
<to, 1>
<glance, 1>
<now, 1>
<and, 1>
<then, 1>
<at, 1>
<some, 1>
<blonde, 1>
<girl, 1>
<in, 1>
<blue, 1>
<Presently, 1>
<he, 1>
<strolled, 1>
<out, 1>
<of, 1>
<the, 1>
<promenade, 1>
<and, 1>
<stood, 1>
<a, 1>
<moment, 1>
<at, 1>
<the, 1>
<crossing, 1>
<as, 1>
<if, 1>
<undecided, 1>
<whether, 1>
<to, 1>
<go, 1>
<and, 1>
<listen, 1>
<to, 1>
<the, 1>
<band, 1>
<in, 1>
<the, 1>
<Jardin, 1>
<Publique, 1>
<or, 1>
<to, 1>
<wander, 1>
<along, 1>
<the, 1>
<beach, 1>
<toward, 1>
<Castle, 1>
<Hill, 1>
<The, 1>
<quick, 1>
<trot, 1>
<of, 1>
<ponies, 1>
<feet, 1>
<made, 1>
<him, 1>
<look, 1>
<up, 1>
<as, 1>
<one, 1>
<of, 1>
<the, 1>
<little, 1>
<carriages, 1>
<containing, 1>
<a, 1>
<single, 1>
<young, 1>
<lady, 1>
<came, 1>
<rapidly, 1>
<down, 1>
<the, 1>
<street, 1>
<The, 1>
<lady, 1>
<was, 1>
<young, 1>
<blonde, 1>
<and, 1>
<dressed, 1>
<in, 1>
<blue, 1>
<He, 1>
<stared, 1>
<a, 1>
<minute, 1>
<then, 1>
<his, 1>
<whole, 1>
<face, 1>
<woke, 1>
<up, 1>
<and, 1>
<waving, 1>
<his, 1>
<hat, 1>
<like, 1>
<a, 1>
<boy, 1>
<he, 1>
<hurried, 1>
<forward, 1>
<to, 1>
<meet, 1>
<her, 1>
<Oh, 1>
<Laurie, 1>
<is, 1>
<it, 1>
<really, 1>
<you, 1>
<I, 1>
<thought, 1>
<you, 1>
<d, 1>
<never, 1>
<come, 1>
<cried, 1>
<Amy, 1>
<dropping, 1>
<the, 1>
<reins, 1>
<and, 1>
<holding, 1>
<out, 1>
<both, 1>
<hands, 1>
<to, 1>
<the, 1>
<great, 1>
<scandalization, 1>
<of, 1>
<a, 1>
<French, 1>
<mamma, 1>
<who, 1>
<hastened, 1>
<her, 1>
<daughter, 1>
<s, 1>
<steps, 1>
<lest, 1>
<she, 1>
<should, 1>
<be, 1>
<demoralized, 1>
<by, 1>
<beholding, 1>
<the, 1>
<free, 1>
<manners, 1>
<of, 1>
<these, 1>
<mad, 1>
<English, 1>
<I, 1>
<was, 1>
<detained, 1>
<by, 1>
<the, 1>
<way, 1>
<but, 1>
<I, 1>
<promised, 1>
<to, 1>
<spend, 1>
<Christmas, 1>
<with, 1>
<you, 1>
<and, 1>
<here, 1>
<I, 1>
<am, 1>
<How, 1>
<is, 1>
<your, 1>
<grandfather, 1>
<When, 1>
<did, 1>
<you, 1>
<come, 1>
<Where, 1>
<are, 1>
<you, 1>
<staying, 1>
<Very, 1>
<well, 1>
<last, 1>
<night, 1>
<at, 1>
<the, 1>
<Chauvain, 1>
<I, 1>
<called, 1>
<at, 1>
<your, 1>
<hotel, 1>
<but, 1>
<you, 1>
<were, 1>
<out, 1>
<I, 1>
<have, 1>
<so, 1>
<much, 1>
<to, 1>
<say, 1>
<I, 1>
<don, 1>
<t, 1>
<know, 1>
<where, 1>
<to, 1>
<begin, 1>
<Get, 1>
<in, 1>
<and, 1>
<we, 1>
<can, 1>
<talk, 1>
<at, 1>
<our, 1>
<ease, 1>
<I, 1>
<was, 1>
<going, 1>
<for, 1>
<a, 1>
<drive, 1>
<and, 1>
<longing, 1>
<for, 1>
<company, 1>
<Flo, 1>
<s, 1>
<saving, 1>
<up, 1>
<for, 1>
<tonight, 1>
<What, 1>
<happens, 1>
<then, 1>
<a, 1>
<ball, 1>
<A, 1>
<Christmas, 1>
<party, 1>
<at, 1>
<our, 1>
<hotel, 1>
<There, 1>
<are, 1>
<many, 1>
<Americans, 1>
<there, 1>
<and, 1>
<they, 1>
<give, 1>
<it, 1>
<in, 1>
<honor, 1>
<of, 1>
<the, 1>
<day, 1>
<You, 1>
<ll, 1>
<go, 1>
<with, 1>
<us, 1>
<of, 1>
<course, 1>
<Aunt, 1>
<will, 1>
<be, 1>
<charmed, 1>
<Thank, 1>
<you, 1>
<Where, 1>
<now, 1>
<asked, 1>
<Laurie, 1>
<leaning, 1>
<back, 1>
<and, 1>
<folding, 1>
<his, 1>
<arms, 1>
<a, 1>
<proceeding, 1>
<which, 1>
<suited, 1>
<Amy, 1>
<who, 1>
<preferred, 1>
<to, 1>
<drive, 1>
<for, 1>
<her, 1>
<parasol, 1>
<whip, 1>
<and, 1>
<blue, 1>
<reins, 1>
<over, 1>
<the, 1>
<white, 1>
<ponies, 1>
<backs, 1>
<afforded, 1>
<her, 1>
<infinite, 1>
<satisfaction, 1>
<I, 1>
<m, 1>
<going, 1>
<to, 1>
<the, 1>
<bankers, 1>
<first, 1>
<for, 1>
<letters, 1>
<and, 1>
<then, 1>
<to, 1>
<Castle, 1>
<Hill, 1>
<The, 1>
<view, 1>
<is, 1>
<so, 1>
<lovely, 1>
<and, 1>
<I, 1>
<like, 1>
<to, 1>
<feed, 1>
<the, 1>
<peacocks, 1>
<Have, 1>
<you, 1>
<ever, 1>
<been, 1>
<there, 1>
<Often, 1>
<years, 1>
<ago, 1>
<but, 1>
<I, 1>
<don, 1>
<t, 1>
<mind, 1>
<having, 1>
<a, 1>
<look, 1>
<at, 1>
<it, 1>
<Now, 1>
<tell, 1>
<me, 1>
<all, 1>
<about, 1>
<yourself, 1>
<The, 1>
<last, 1>
<I, 1>
<heard, 1>
<of, 1>
<you, 1>
<your, 1>
<grandfather, 1>
<wrote, 1>
<that, 1>
<he, 1>
<expected, 1>
<you, 1>
<from, 1>
<Berlin, 1>
<Yes, 1>
<I, 1>
<spent, 1>
<a, 1>
<month, 1>
<there, 1>
<and, 1>
<then, 1>
<joined, 1>
<him, 1>
<in, 1>
<Paris, 1>
<where, 1>
<he, 1>
<has, 1>
<settled, 1>
<for, 1>
<the, 1>
<winter, 1>
<He, 1>
<has, 1>
<friends, 1>
<there, 1>
<and, 1>
<finds, 1>
<plenty, 1>
<to, 1>
<amuse, 1>
<him, 1>
<so, 1>
<I, 1>
<go, 1>
<and, 1>
<come, 1>
<and, 1>
<we, 1>
<get, 1>
<on, 1>
<capitally, 1>
<That, 1>
<s, 1>
<a, 1>
<sociable, 1>
<arrangement, 1>
<said, 1>
<Amy, 1>
<missing, 1>
<something, 1>
<in, 1>
<Laurie, 1>
<s, 1>
<manner, 1>
<though, 1>
<she, 1>
<couldn, 1>
<t, 1>
<tell, 1>
<what, 1>
<Why, 1>
<you, 1>
<see, 1>
<he, 1>
<hates, 1>
<to, 1>
<travel, 1>
<and, 1>
<I, 1>
<hate, 1>
<to, 1>
<keep, 1>
<still, 1>
<so, 1>
<we, 1>
<each, 1>
<suit, 1>
<ourselves, 1>
<and, 1>
<there, 1>
<is, 1>
<no, 1>
<trouble, 1>
<I, 1>
<am, 1>
<often, 1>
<with, 1>
<him, 1>
<and, 1>
<he, 1>
<enjoys, 1>
<my, 1>
<adventures, 1>
<while, 1>
<I, 1>
<like, 1>
<to, 1>
<feel, 1>
<that, 1>
<someone, 1>
<is, 1>
<glad, 1>
<to, 1>
<see, 1>
<me, 1>
<when, 1>
<I, 1>
<get, 1>
<back, 1>
<from, 1>
<my, 1>
<wanderings, 1>
<Dirty, 1>
<old, 1>
<hole, 1>
<isn, 1>
<t, 1>
<it, 1>
<he, 1>
<added, 1>
<with, 1>
<a, 1>
<look, 1>
<of, 1>
<disgust, 1>
<as, 1>
<they, 1>
<drove, 1>
<along, 1>
<the, 1>
<boulevard, 1>
<to, 1>
<the, 1>
<Place, 1>
<Napoleon, 1>
<in, 1>
<the, 1>
<old, 1>
<city, 1>
<The, 1>
<dirt, 1>
<is, 1>
<picturesque, 1>
<so, 1>
<I, 1>
<don, 1>
<t, 1>
<mind, 1>
<The, 1>
<river, 1>
<and, 1>
<the, 1>
<hills, 1>
<are, 1>
<delicious, 1>
<and, 1>
<these, 1>
<glimpses, 1>
<of, 1>
<the, 1>
<narrow, 1>
<cross, 1>
<streets, 1>
<are, 1>
<my, 1>
<delight, 1>
<Now, 1>
<we, 1>
<shall, 1>
<have, 1>
<to, 1>
<wait, 1>
<for, 1>
<that, 1>
<procession, 1>
<to, 1>
<pass, 1>
<It, 1>
<s, 1>
<going, 1>
<to, 1>
<the, 1>
<Church, 1>
<of, 1>
<St, 1>
<John, 1>
<While, 1>
<Laurie, 1>
<listlessly, 1>
<watched, 1>
<the, 1>
<procession, 1>
<of, 1>
<priests, 1>
<under, 1>
<their, 1>
<canopies, 1>
<white, 1>
<veiled, 1>
<nuns, 1>
<bearing, 1>
<lighted, 1>
<tapers, 1>
<and, 1>
<some, 1>
<brotherhood, 1>
<in, 1>
<blue, 1>
<chanting, 1>
<as, 1>
<they, 1>
<walked, 1>
<Amy, 1>
<watched, 1>
<him, 1>
<and, 1>
<felt, 1>
<a, 1>
<new, 1>
<sort, 1>
<of, 1>
<shyness, 1>
<steal, 1>
<over, 1>
<her, 1>
<for, 1>
<he, 1>
<was, 1>
<changed, 1>
<and, 1>
<she, 1>
<could, 1>
<not, 1>
<find, 1>
<the, 1>
<merry, 1>
<faced, 1>
<boy, 1>
<she, 1>
<left, 1>
<in, 1>
<the, 1>
<moody, 1>
<looking, 1>
<man, 1>
<beside, 1>
<her, 1>
<He, 1>
<was, 1>
<handsomer, 1>
<than, 1>
<ever, 1>
<and, 1>
<greatly, 1>
<improved, 1>
<she, 1>
<thought, 1>
<but, 1>
<now, 1>
<that, 1>
<the, 1>
<flush, 1>
<of, 1>
<pleasure, 1>
<at, 1>
<meeting, 1>
<her, 1>
<was, 1>
<over, 1>
<he, 1>
<looked, 1>
<tired, 1>
<and, 1>
<spiritless, 1>
<not, 1>
<sick, 1>
<nor, 1>
<exactly, 1>
<unhappy, 1>
<but, 1>
<older, 1>
<and, 1>
<graver, 1>
<than, 1>
<a, 1>
<year, 1>
<or, 1>
<two, 1>
<of, 1>
<prosperous, 1>
<life, 1>
<should, 1>
<have, 1>
<made, 1>
<him, 1>
<She, 1>
<couldn, 1>
<t, 1>
<understand, 1>
<it, 1>
<and, 1>
<did, 1>
<not, 1>
<venture, 1>
<to, 1>
<ask, 1>
<questions, 1>
<so, 1>
<she, 1>
<shook, 1>
<her, 1>
<head, 1>
<and, 1>
<touched, 1>
<up, 1>
<her, 1>
<ponies, 1>
<as, 1>
<the, 1>
<procession, 1>
<wound, 1>
<away, 1>
<across, 1>
<the, 1>
<arches, 1>
<of, 1>
<the, 1>
<Paglioni, 1>
<bridge, 1>
<and, 1>
<vanished, 1>
<in, 1>
<the, 1>
<church, 1>
<Que, 1>
<pensez, 1>
<vous, 1>
<she, 1>
<said, 1>
<airing, 1>
<her, 1>
<French, 1>
<which, 1>
<had, 1>
<improved, 1>
<in, 1>
<quantity, 1>
<if, 1>
<not, 1>
<in, 1>
<quality, 1>
<since, 1>
<she, 1>
<came, 1>
<abroad, 1>
<That, 1>
<mademoiselle, 1>
<has, 1>
<made, 1>
<good, 1>
<use, 1>
<of, 1>
<her, 1>
<time, 1>
<and, 1>
<the, 1>
<result, 1>
<is, 1>
<charming, 1>
<replied, 1>
<Laurie, 1>
<bowing, 1>
<with, 1>
<his, 1>
<hand, 1>
<on, 1>
<his, 1>
<heart, 1>
<and, 1>
<an, 1>
<admiring, 1>
<look, 1>
<She, 1>
<blushed, 1>
<with, 1>
<pleasure, 1>
<but, 1>
<somehow, 1>
<the, 1>
<compliment, 1>
<did, 1>
<not, 1>
<satisfy, 1>
<her, 1>
<like, 1>
<the, 1>
<blunt, 1>
<praises, 1>
<he, 1>
<used, 1>
<to, 1>
<give, 1>
<her, 1>
<at, 1>
<home, 1>
<when, 1>
<he, 1>
<promenaded, 1>
<round, 1>
<her, 1>
<on, 1>
<festival, 1>
<occasions, 1>
<and, 1>
<told, 1>
<her, 1>
<she, 1>
<was, 1>
<altogether, 1>
<jolly, 1>
<with, 1>
<a, 1>
<hearty, 1>
<smile, 1>
<and, 1>
<an, 1>
<approving, 1>
<pat, 1>
<on, 1>
<the, 1>
<head, 1>
<She, 1>
<didn, 1>
<t, 1>
<like, 1>
<the, 1>
<new, 1>
<tone, 1>
<for, 1>
<though, 1>
<not, 1>
<blase, 1>
<it, 1>
<sounded, 1>
<indifferent, 1>
<in, 1>
<spite, 1>
<of, 1>
<the, 1>
<look, 1>
<If, 1>
<that, 1>
<s, 1>
<the, 1>
<way, 1>
<he, 1>
<s, 1>
<going, 1>
<to, 1>
<grow, 1>
<up, 1>
<I, 1>
<wish, 1>
<he, 1>
<d, 1>
<stay, 1>
<a, 1>
<boy, 1>
<she, 1>
<thought, 1>
<with, 1>
<a, 1>
<curious, 1>
<sense, 1>
<of, 1>
<disappointment, 1>
<and, 1>
<discomfort, 1>
<trying, 1>
<meantime, 1>
<to, 1>
<seem, 1>
<quite, 1>
<easy, 1>
<and, 1>
<gay, 1>
<At, 1>
<Avigdor, 1>
<s, 1>
<she, 1>
<found, 1>
<the, 1>
<precious, 1>
<home, 1>
<letters, 1>
<and, 1>
<giving, 1>
<the, 1>
<reins, 1>
<to, 1>
<Laurie, 1>
<read, 1>
<them, 1>
<luxuriously, 1>
<as, 1>
<they, 1>
<wound, 1>
<up, 1>
<the, 1>
<shady, 1>
<road, 1>
<between, 1>
<green, 1>
<hedges, 1>
<where, 1>
<tea, 1>
<roses, 1>
<bloomed, 1>
<as, 1>
<freshly, 1>
<as, 1>
<in, 1>
<June, 1>
<Beth, 1>
<is, 1>
<very, 1>
<poorly, 1>
<Mother, 1>
<says, 1>
<I, 1>
<often, 1>
<think, 1>
<I, 1>
<ought, 1>
<to, 1>
<go, 1>
<home, 1>
<but, 1>
<they, 1>
<all, 1>
<say, 1>
<stay, 1>
<So, 1>
<I, 1>
<do, 1>
<for, 1>
<I, 1>
<shall, 1>
<never, 1>
<have, 1>
<another, 1>
<chance, 1>
<like, 1>
<this, 1>
<said, 1>
<Amy, 1>
<looking, 1>
<sober, 1>
<over, 1>
<one, 1>
<page, 1>
<I, 1>
<think, 1>
<you, 1>
<are, 1>
<right, 1>
<there, 1>
<You, 1>
<could, 1>
<do, 1>
<nothing, 1>
<at, 1>
<home, 1>
<and, 1>
<it, 1>
<is, 1>
<a, 1>
<great, 1>
<comfort, 1>
<to, 1>
<them, 1>
<to, 1>
<know, 1>
<that, 1>
<you, 1>
<are, 1>
<well, 1>
<and, 1>
<happy, 1>
<and, 1>
<enjoying, 1>
<so, 1>
<much, 1>
<my, 1>
<dear, 1>
<He, 1>
<drew, 1>
<a, 1>
<little, 1>
<nearer, 1>
<and, 1>
<looked, 1>
<more, 1>
<like, 1>
<his, 1>
<old, 1>
<self, 1>
<as, 1>
<he, 1>
<said, 1>
<that, 1>
<and, 1>
<the, 1>
<fear, 1>
<that, 1>
<sometimes, 1>
<weighed, 1>
<on, 1>
<Amy, 1>
<s, 1>
<heart, 1>
<was, 1>
<lightened, 1>
<for, 1>
<the, 1>
<look, 1>
<the, 1>
<act, 1>
<the, 1>
<brotherly, 1>
<my, 1>
<dear, 1>
<seemed, 1>
<to, 1>
<assure, 1>
<her, 1>
<that, 1>
<if, 1>
<any, 1>
<trouble, 1>
<did, 1>
<come, 1>
<she, 1>
<would, 1>
<not, 1>
<be, 1>
<alone, 1>
<in, 1>
<a, 1>
<strange, 1>
<land, 1>
<Presently, 1>
<she, 1>
<laughed, 1>
<and, 1>
<showed, 1>
<him, 1>
<a, 1>
<small, 1>
<sketch, 1>
<of, 1>
<Jo, 1>
<in, 1>
<her, 1>
<scribbling, 1>
<suit, 1>
<with, 1>
<the, 1>
<bow, 1>
<rampantly, 1>
<erect, 1>
<upon, 1>
<her, 1>
<cap, 1>
<and, 1>
<issuing, 1>
<from, 1>
<her, 1>
<mouth, 1>
<the, 1>
<words, 1>
<Genius, 1>
<burns, 1>
<Laurie, 1>
<smiled, 1>
<took, 1>
<it, 1>
<put, 1>
<it, 1>
<in, 1>
<his, 1>
<vest, 1>
<pocket, 1>
<to, 1>
<keep, 1>
<it, 1>
<from, 1>
<blowing, 1>
<away, 1>
<and, 1>
<listened, 1>
<with, 1>
<interest, 1>
<to, 1>
<the, 1>
<lively, 1>
<letter, 1>
<Amy, 1>
<read, 1>
<him, 1>
<This, 1>
<will, 1>
<be, 1>
<a, 1>
<regularly, 1>
<merry, 1>
<Christmas, 1>
<to, 1>
<me, 1>
<with, 1>
<presents, 1>
<in, 1>
<the, 1>
<morning, 1>
<you, 1>
<and, 1>
<letters, 1>
<in, 1>
<the, 1>
<afternoon, 1>
<and, 1>
<a, 1>
<party, 1>
<at, 1>
<night, 1>
<said, 1>
<Amy, 1>
<as, 1>
<they, 1>
<alighted, 1>
<among, 1>
<the, 1>
<ruins, 1>
<of, 1>
<the, 1>
<old, 1>
<fort, 1>
<and, 1>
<a, 1>
<flock, 1>
<of, 1>
<splendid, 1>
<peacocks, 1>
<came, 1>
<trooping, 1>
<about, 1>
<them, 1>
<tamely, 1>
<waiting, 1>
<to, 1>
<be, 1>
<fed, 1>
<While, 1>
<Amy, 1>
<stood, 1>
<laughing, 1>
<on, 1>
<the, 1>
<bank, 1>
<above, 1>
<him, 1>
<as, 1>
<she, 1>
<scattered, 1>
<crumbs, 1>
<to, 1>
<the, 1>
<brilliant, 1>
<birds, 1>
<Laurie, 1>
<looked, 1>
<at, 1>
<her, 1>
<as, 1>
<she, 1>
<had, 1>
<looked, 1>
<at, 1>
<him, 1>
<with, 1>
<a, 1>
<natural, 1>
<curiosity, 1>
<to, 1>
<see, 1>
<what, 1>
<changes, 1>
<time, 1>
<and, 1>
<absence, 1>
<had, 1>
<wrought, 1>
<He, 1>
<found, 1>
<nothing, 1>
<to, 1>
<perplex, 1>
<or, 1>
<disappoint, 1>
<much, 1>
<to, 1>
<admire, 1>
<and, 1>
<approve, 1>
<for, 1>
<overlooking, 1>
<a, 1>
<few, 1>
<little, 1>
<affectations, 1>
<of, 1>
<speech, 1>
<and, 1>
<manner, 1>
<she, 1>
<was, 1>
<as, 1>
<sprightly, 1>
<and, 1>
<graceful, 1>
<as, 1>
<ever, 1>
<with, 1>
<the, 1>
<addition, 1>
<of, 1>
<that, 1>
<indescribable, 1>
<something, 1>
<in, 1>
<dress, 1>
<and, 1>
<bearing, 1>
<which, 1>
<we, 1>
<call, 1>
<elegance, 1>
<Always, 1>
<mature, 1>
<for, 1>
<her, 1>
<age, 1>
<she, 1>
<had, 1>
<gained, 1>
<a, 1>
<certain, 1>
<aplomb, 1>
<in, 1>
<both, 1>
<carriage, 1>
<and, 1>
<conversation, 1>
<which, 1>
<made, 1>
<her, 1>
<seem, 1>
<more, 1>
<of, 1>
<a, 1>
<woman, 1>
<of, 1>
<the, 1>
<world, 1>
<than, 1>
<she, 1>
<was, 1>
<but, 1>
<her, 1>
<old, 1>
<petulance, 1>
<now, 1>
<and, 1>
<then, 1>
<showed, 1>
<itself, 1>
<her, 1>
<strong, 1>
<will, 1>
<still, 1>
<held, 1>
<its, 1>
<own, 1>
<and, 1>
<her, 1>
<native, 1>
<frankness, 1>
<was, 1>
<unspoiled, 1>
<by, 1>
<foreign, 1>
<polish, 1>
<Laurie, 1>
<did, 1>
<not, 1>
<read, 1>
<all, 1>
<this, 1>
<while, 1>
<he, 1>
<watched, 1>
<her, 1>
<feed, 1>
<the, 1>
<peacocks, 1>
<but, 1>
<he, 1>
<saw, 1>
<enough, 1>
<to, 1>
<satisfy, 1>
<and, 1>
<interest, 1>
<him, 1>
<and, 1>
<carried, 1>
<away, 1>
<a, 1>
<pretty, 1>
<little, 1>
<picture, 1>
<of, 1>
<a, 1>
<bright, 1>
<faced, 1>
<girl, 1>
<standing, 1>
<in, 1>
<the, 1>
<sunshine, 1>
<which, 1>
<brought, 1>
<out, 1>
<the, 1>
<soft, 1>
<hue, 1>
<of, 1>
<her, 1>
<dress, 1>
<the, 1>
<fresh, 1>
<color, 1>
<of, 1>
<her, 1>
<cheeks, 1>
<the, 1>
<golden, 1>
<gloss, 1>
<of, 1>
<her, 1>
<hair, 1>
<and, 1>
<made, 1>
<her, 1>
<a, 1>
<prominent, 1>
<figure, 1>
<in, 1>
<the, 1>
<pleasant, 1>
<scene, 1>
<As, 1>
<they, 1>
<came, 1>
<up, 1>
<onto, 1>
<the, 1>
<stone, 1>
<plateau, 1>
<that, 1>
<crowns, 1>
<the, 1>
<hill, 1>
<Amy, 1>
<waved, 1>
<her, 1>
<hand, 1>
<as, 1>
<if, 1>
<welcoming, 1>
<him, 1>
<to, 1>
<her, 1>
<favorite, 1>
<haunt, 1>
<and, 1>
<said, 1>
<pointing, 1>
<here, 1>
<and, 1>
<there, 1>
<Do, 1>
<you, 1>
<remember, 1>
<the, 1>
<Cathedral, 1>
<and, 1>
<the, 1>
<Corso, 1>
<the, 1>
<fishermen, 1>
<dragging, 1>
<their, 1>
<nets, 1>
<in, 1>
<the, 1>
<bay, 1>
<and, 1>
<the, 1>
<lovely, 1>
<road, 1>
<to, 1>
<Villa, 1>
<Franca, 1>
<Schubert, 1>
<s, 1>
<Tower, 1>
<just, 1>
<below, 1>
<and, 1>
<best, 1>
<of, 1>
<all, 1>
<that, 1>
<speck, 1>
<far, 1>
<out, 1>
<to, 1>
<sea, 1>
<which, 1>
<they, 1>
<say, 1>
<is, 1>
<Corsica, 1>
<I, 1>
<remember, 1>
<It, 1>
<s, 1>
<not, 1>
<much, 1>
<changed, 1>
<he, 1>
<answered, 1>
<without, 1>
<enthusiasm, 1>
<What, 1>
<Jo, 1>
<would, 1>
<give, 1>
<for, 1>
<a, 1>
<sight, 1>
<of, 1>
<that, 1>
<famous, 1>
<speck, 1>
<said, 1>
<Amy, 1>
<feeling, 1>
<in, 1>
<good, 1>
<spirits, 1>
<and, 1>
<anxious, 1>
<to, 1>
<see, 1>
<him, 1>
<so, 1>
<also, 1>
<Yes, 1>
<was, 1>
<all, 1>
<he, 1>
<said, 1>
<but, 1>
<he, 1>
<turned, 1>
<and, 1>
<strained, 1>
<his, 1>
<eyes, 1>
<to, 1>
<see, 1>
<the, 1>
<island, 1>
<which, 1>
<a, 1>
<greater, 1>
<usurper, 1>
<than, 1>
<even, 1>
<Napoleon, 1>
<now, 1>
<made, 1>
<interesting, 1>
<in, 1>
<his, 1>
<sight, 1>
<Take, 1>
<a, 1>
<good, 1>
<look, 1>
<at, 1>
<it, 1>
<for, 1>
<her, 1>
<sake, 1>
<and, 1>
<then, 1>
<come, 1>
<and, 1>
<tell, 1>
<me, 1>
<what, 1>
<you, 1>
<have, 1>
<been, 1>
<doing, 1>
<with, 1>
<yourself, 1>
<all, 1>
<this, 1>
<while, 1>
<said, 1>
<Amy, 1>
<seating, 1>
<herself, 1>
<ready, 1>
<for, 1>
<a, 1>
<good, 1>
<talk, 1>
<But, 1>
<she, 1>
<did, 1>
<not, 1>
<get, 1>
<it, 1>
<for, 1>
<though, 1>
<he, 1>
<joined, 1>
<her, 1>
<and, 1>
<answered, 1>
<all, 1>
<her, 1>
<questions, 1>
<freely, 1>
<she, 1>
<could, 1>
<only, 1>
<learn, 1>
<that, 1>
<he, 1>
<had, 1>
<roved, 1>
<about, 1>
<the, 1>
<Continent, 1>
<and, 1>
<been, 1>
<to, 1>
<Greece, 1>
<So, 1>
<after, 1>
<idling, 1>
<away, 1>
<an, 1>
<hour, 1>
<they, 1>
<drove, 1>
<home, 1>
<again, 1>
<and, 1>
<having, 1>
<paid, 1>
<his, 1>
<respects, 1>
<to, 1>
<Mrs, 1>
<Carrol, 1>
<Laurie, 1>
<left, 1>
<them, 1>
<promising, 1>
<to, 1>
<return, 1>
<in, 1>
<the, 1>
<evening, 1>
<It, 1>
<must, 1>
<be, 1>
<recorded, 1>
<of, 1>
<Amy, 1>
<that, 1>
<she, 1>
<deliberately, 1>
<prinked, 1>
<that, 1>
<night, 1>
<Time, 1>
<and, 1>
<absence, 1>
<had, 1>
<done, 1>
<its, 1>
<work, 1>
<on, 1>
<both, 1>
<the, 1>
<young, 1>
<people, 1>
<She, 1>
<had, 1>
<seen, 1>
<her, 1>
<old, 1>
<friend, 1>
<in, 1>
<a, 1>
<new, 1>
<light, 1>
<not, 1>
<as, 1>
<our, 1>
<boy, 1>
<but, 1>
<as, 1>
<a, 1>
<handsome, 1>
<and, 1>
<agreeable, 1>
<man, 1>
<and, 1>
<she, 1>
<was, 1>
<conscious, 1>
<of, 1>
<a, 1>
<very, 1>
<natural, 1>
<desire, 1>
<to, 1>
<find, 1>
<favor, 1>
<in, 1>
<his, 1>
<sight, 1>
<Amy, 1>
<knew, 1>
<her, 1>
<good, 1>
<points, 1>
<and, 1>
<made, 1>
<the, 1>
<most, 1>
<of, 1>
<them, 1>
<with, 1>
<the, 1>
<taste, 1>
<and, 1>
<skill, 1>
<which, 1>
<is, 1>
<a, 1>
<fortune, 1>
<to, 1>
<a, 1>
<poor, 1>
<and, 1>
<pretty, 1>
<woman, 1>
<Tarlatan, 1>
<and, 1>
<tulle, 1>
<were, 1>
<cheap, 1>
<at, 1>
<Nice, 1>
<so, 1>
<she, 1>
<enveloped, 1>
<herself, 1>
<in, 1>
