<nd, 1>
<probably, 1>
<have, 1>
<declared, 1>
<she, 1>
<couldn, 1>
<t, 1>
<think, 1>
<of, 1>
<it, 1>
<but, 1>
<as, 1>
<she, 1>
<was, 1>
<preemptorily, 1>
<ordered, 1>
<not, 1>
<to, 1>
<like, 1>
<him, 1>
<she, 1>
<immediately, 1>
<made, 1>
<up, 1>
<her, 1>
<mind, 1>
<that, 1>
<she, 1>
<would, 1>
<Inclination, 1>
<as, 1>
<well, 1>
<as, 1>
<perversity, 1>
<made, 1>
<the, 1>
<decision, 1>
<easy, 1>
<and, 1>
<being, 1>
<already, 1>
<much, 1>
<excited, 1>
<Meg, 1>
<opposed, 1>
<the, 1>
<old, 1>
<lady, 1>
<with, 1>
<unusual, 1>
<spirit, 1>
<I, 1>
<shall, 1>
<marry, 1>
<whom, 1>
<I, 1>
<please, 1>
<Aunt, 1>
<March, 1>
<and, 1>
<you, 1>
<can, 1>
<leave, 1>
<your, 1>
<money, 1>
<to, 1>
<anyone, 1>
<you, 1>
<like, 1>
<she, 1>
<said, 1>
<nodding, 1>
<her, 1>
<head, 1>
<with, 1>
<a, 1>
<resolute, 1>
<air, 1>
<Highty, 1>
<tighty, 1>
<Is, 1>
<that, 1>
<the, 1>
<way, 1>
<you, 1>
<take, 1>
<my, 1>
<advice, 1>
<Miss, 1>
<You, 1>
<ll, 1>
<be, 1>
<sorry, 1>
<for, 1>
<it, 1>
<by, 1>
<and, 1>
<by, 1>
<when, 1>
<you, 1>
<ve, 1>
<tried, 1>
<love, 1>
<in, 1>
<a, 1>
<cottage, 1>
<and, 1>
<found, 1>
<it, 1>
<a, 1>
<failure, 1>
<It, 1>
<can, 1>
<t, 1>
<be, 1>
<a, 1>
<worse, 1>
<one, 1>
<than, 1>
<some, 1>
<people, 1>
<find, 1>
<in, 1>
<big, 1>
<houses, 1>
<retorted, 1>
<Meg, 1>
<Aunt, 1>
<March, 1>
<put, 1>
<on, 1>
<her, 1>
<glasses, 1>
<and, 1>
<took, 1>
<a, 1>
<look, 1>
<at, 1>
<the, 1>
<girl, 1>
<for, 1>
<she, 1>
<did, 1>
<not, 1>
<know, 1>
<her, 1>
<in, 1>
<this, 1>
<new, 1>
<mood, 1>
<Meg, 1>
<hardly, 1>
<knew, 1>
<herself, 1>
<she, 1>
<felt, 1>
<so, 1>
<brave, 1>
<and, 1>
<independent, 1>
<so, 1>
<glad, 1>
<to, 1>
<defend, 1>
<John, 1>
<and, 1>
<assert, 1>
<her, 1>
<right, 1>
<to, 1>
<love, 1>
<him, 1>
<if, 1>
<she, 1>
<liked, 1>
<Aunt, 1>
<March, 1>
<saw, 1>
<that, 1>
<she, 1>
<had, 1>
<begun, 1>
<wrong, 1>
<and, 1>
<after, 1>
<a, 1>
<little, 1>
<pause, 1>
<made, 1>
<a, 1>
<fresh, 1>
<start, 1>
<saying, 1>
<as, 1>
<mildly, 1>
<as, 1>
<she, 1>
<could, 1>
<Now, 1>
<Meg, 1>
<my, 1>
<dear, 1>
<be, 1>
<reasonable, 1>
<and, 1>
<take, 1>
<my, 1>
<advice, 1>
<I, 1>
<mean, 1>
<it, 1>
<kindly, 1>
<and, 1>
<don, 1>
<t, 1>
<want, 1>
<you, 1>
<to, 1>
<spoil, 1>
<your, 1>
<whole, 1>
<life, 1>
<by, 1>
<making, 1>
<a, 1>
<mistake, 1>
<at, 1>
<the, 1>
<beginning, 1>
<You, 1>
<ought, 1>
<to, 1>
<marry, 1>
<well, 1>
<and, 1>
<help, 1>
<your, 1>
<family, 1>
<It, 1>
<s, 1>
<your, 1>
<duty, 1>
<to, 1>
<make, 1>
<a, 1>
<rich, 1>
<match, 1>
<and, 1>
<it, 1>
<ought, 1>
<to, 1>
<be, 1>
<impressed, 1>
<upon, 1>
<you, 1>
<Father, 1>
<and, 1>
<Mother, 1>
<don, 1>
<t, 1>
<think, 1>
<so, 1>
<They, 1>
<like, 1>
<John, 1>
<though, 1>
<he, 1>
<is, 1>
<poor, 1>
<Your, 1>
<parents, 1>
<my, 1>
<dear, 1>
<have, 1>
<no, 1>
<more, 1>
<worldly, 1>
<wisdom, 1>
<than, 1>
<a, 1>
<pair, 1>
<of, 1>
<babies, 1>
<I, 1>
<m, 1>
<glad, 1>
<of, 1>
<it, 1>
<cried, 1>
<Meg, 1>
<stoutly, 1>
<Aunt, 1>
<March, 1>
<took, 1>
<no, 1>
<notice, 1>
<but, 1>
<went, 1>
<on, 1>
<with, 1>
<her, 1>
<lecture, 1>
<This, 1>
<Rook, 1>
<is, 1>
<poor, 1>
<and, 1>
<hasn, 1>
<t, 1>
<got, 1>
<any, 1>
<rich, 1>
<relations, 1>
<has, 1>
<he, 1>
<No, 1>
<but, 1>
<he, 1>
<has, 1>
<many, 1>
<warm, 1>
<friends, 1>
<You, 1>
<can, 1>
<t, 1>
<live, 1>
<on, 1>
<friends, 1>
<try, 1>
<it, 1>
<and, 1>
<see, 1>
<how, 1>
<cool, 1>
<they, 1>
<ll, 1>
<grow, 1>
<He, 1>
<hasn, 1>
<t, 1>
<any, 1>
<business, 1>
<has, 1>
<he, 1>
<Not, 1>
<yet, 1>
<Mr, 1>
<Laurence, 1>
<is, 1>
<going, 1>
<to, 1>
<help, 1>
<him, 1>
<That, 1>
<won, 1>
<t, 1>
<last, 1>
<long, 1>
<James, 1>
<Laurence, 1>
<is, 1>
<a, 1>
<crotchety, 1>
<old, 1>
<fellow, 1>
<and, 1>
<not, 1>
<to, 1>
<be, 1>
<depended, 1>
<on, 1>
<So, 1>
<you, 1>
<intend, 1>
<to, 1>
<marry, 1>
<a, 1>
<man, 1>
<without, 1>
<money, 1>
<position, 1>
<or, 1>
<business, 1>
<and, 1>
<go, 1>
<on, 1>
<working, 1>
<harder, 1>
<than, 1>
<you, 1>
<do, 1>
<now, 1>
<when, 1>
<you, 1>
<might, 1>
<be, 1>
<comfortable, 1>
<all, 1>
<your, 1>
<days, 1>
<by, 1>
<minding, 1>
<me, 1>
<and, 1>
<doing, 1>
<better, 1>
<I, 1>
<thought, 1>
<you, 1>
<had, 1>
<more, 1>
<sense, 1>
<Meg, 1>
<I, 1>
<couldn, 1>
<t, 1>
<do, 1>
<better, 1>
<if, 1>
<I, 1>
<waited, 1>
<half, 1>
<my, 1>
<life, 1>
<John, 1>
<is, 1>
<good, 1>
<and, 1>
<wise, 1>
<he, 1>
<s, 1>
<got, 1>
<heaps, 1>
<of, 1>
<talent, 1>
<he, 1>
<s, 1>
<willing, 1>
<to, 1>
<work, 1>
<and, 1>
<sure, 1>
<to, 1>
<get, 1>
<on, 1>
<he, 1>
<s, 1>
<so, 1>
<energetic, 1>
<and, 1>
<brave, 1>
<Everyone, 1>
<likes, 1>
<and, 1>
<respects, 1>
<him, 1>
<and, 1>
<I, 1>
<m, 1>
<proud, 1>
<to, 1>
<think, 1>
<he, 1>
<cares, 1>
<for, 1>
<me, 1>
<though, 1>
<I, 1>
<m, 1>
<so, 1>
<poor, 1>
<and, 1>
<young, 1>
<and, 1>
<silly, 1>
<said, 1>
<Meg, 1>
<looking, 1>
<prettier, 1>
<than, 1>
<ever, 1>
<in, 1>
<her, 1>
<earnestness, 1>
<He, 1>
<knows, 1>
<you, 1>
<have, 1>
<got, 1>
<rich, 1>
<relations, 1>
<child, 1>
<That, 1>
<s, 1>
<the, 1>
<secret, 1>
<of, 1>
<his, 1>
<liking, 1>
<I, 1>
<suspect, 1>
<Aunt, 1>
<March, 1>
<how, 1>
<dare, 1>
<you, 1>
<say, 1>
<such, 1>
<a, 1>
<thing, 1>
<John, 1>
<is, 1>
<above, 1>
<such, 1>
<meanness, 1>
<and, 1>
<I, 1>
<won, 1>
<t, 1>
<listen, 1>
<to, 1>
<you, 1>
<a, 1>
<minute, 1>
<if, 1>
<you, 1>
<talk, 1>
<so, 1>
<cried, 1>
<Meg, 1>
<indignantly, 1>
<forgetting, 1>
<everything, 1>
<but, 1>
<the, 1>
<injustice, 1>
<of, 1>
<the, 1>
<old, 1>
<lady, 1>
<s, 1>
<suspicions, 1>
<My, 1>
<John, 1>
<wouldn, 1>
<t, 1>
<marry, 1>
<for, 1>
<money, 1>
<any, 1>
<more, 1>
<than, 1>
<I, 1>
<would, 1>
<We, 1>
<are, 1>
<willing, 1>
<to, 1>
<work, 1>
<and, 1>
<we, 1>
<mean, 1>
<to, 1>
<wait, 1>
<I, 1>
<m, 1>
<not, 1>
<afraid, 1>
<of, 1>
<being, 1>
<poor, 1>
<for, 1>
<I, 1>
<ve, 1>
<been, 1>
<happy, 1>
<so, 1>
<far, 1>
<and, 1>
<I, 1>
<know, 1>
<I, 1>
<shall, 1>
<be, 1>
<with, 1>
<him, 1>
<because, 1>
<he, 1>
<loves, 1>
<me, 1>
<and, 1>
<I, 1>
<Meg, 1>
<stopped, 1>
<there, 1>
<remembering, 1>
<all, 1>
<of, 1>
<a, 1>
<sudden, 1>
<that, 1>
<she, 1>
<hadn, 1>
<t, 1>
<made, 1>
<up, 1>
<her, 1>
<mind, 1>
<that, 1>
<she, 1>
<had, 1>
<told, 1>
<her, 1>
<John, 1>
<to, 1>
<go, 1>
<away, 1>
<and, 1>
<that, 1>
<he, 1>
<might, 1>
<be, 1>
<overhearing, 1>
<her, 1>
<inconsistent, 1>
<remarks, 1>
<Aunt, 1>
<March, 1>
<was, 1>
<very, 1>
<angry, 1>
<for, 1>
<she, 1>
<had, 1>
<set, 1>
<her, 1>
<heart, 1>
<on, 1>
<having, 1>
<her, 1>
<pretty, 1>
<niece, 1>
<make, 1>
<a, 1>
<fine, 1>
<match, 1>
<and, 1>
<something, 1>
<in, 1>
<the, 1>
<girl, 1>
<s, 1>
<happy, 1>
<young, 1>
<face, 1>
<made, 1>
<the, 1>
<lonely, 1>
<old, 1>
<woman, 1>
<feel, 1>
<both, 1>
<sad, 1>
<and, 1>
<sour, 1>
<Well, 1>
<I, 1>
<wash, 1>
<my, 1>
<hands, 1>
<of, 1>
<the, 1>
<whole, 1>
<affair, 1>
<You, 1>
<are, 1>
<a, 1>
<willful, 1>
<child, 1>
<and, 1>
<you, 1>
<ve, 1>
<lost, 1>
<more, 1>
<than, 1>
<you, 1>
<know, 1>
<by, 1>
<this, 1>
<piece, 1>
<of, 1>
<folly, 1>
<No, 1>
<I, 1>
<won, 1>
<t, 1>
<stop, 1>
<I, 1>
<m, 1>
<disappointed, 1>
<in, 1>
<you, 1>
<and, 1>
<haven, 1>
<t, 1>
<spirits, 1>
<to, 1>
<see, 1>
<your, 1>
<father, 1>
<now, 1>
<Don, 1>
<t, 1>
<expect, 1>
<anything, 1>
<from, 1>
<me, 1>
<when, 1>
<you, 1>
<are, 1>
<married, 1>
<Your, 1>
<Mr, 1>
<Brooke, 1>
<s, 1>
<friends, 1>
<must, 1>
<take, 1>
<care, 1>
<of, 1>
<you, 1>
<I, 1>
<m, 1>
<done, 1>
<with, 1>
<you, 1>
<forever, 1>
<And, 1>
<slamming, 1>
<the, 1>
<door, 1>
<in, 1>
<Meg, 1>
<s, 1>
<face, 1>
<Aunt, 1>
<March, 1>
<drove, 1>
<off, 1>
<in, 1>
<high, 1>
<dudgeon, 1>
<She, 1>
<seemed, 1>
<to, 1>
<take, 1>
<all, 1>
<the, 1>
<girl, 1>
<s, 1>
<courage, 1>
<with, 1>
<her, 1>
<for, 1>
<when, 1>
<left, 1>
<alone, 1>
<Meg, 1>
<stood, 1>
<for, 1>
<a, 1>
<moment, 1>
<undecided, 1>
<whether, 1>
<to, 1>
<laugh, 1>
<or, 1>
<cry, 1>
<Before, 1>
<she, 1>
<could, 1>
<make, 1>
<up, 1>
<her, 1>
<mind, 1>
<she, 1>
<was, 1>
<taken, 1>
<possession, 1>
<of, 1>
<by, 1>
<Mr, 1>
<Brooke, 1>
<who, 1>
<said, 1>
<all, 1>
<in, 1>
<one, 1>
<breath, 1>
<I, 1>
<couldn, 1>
<t, 1>
<help, 1>
<hearing, 1>
<Meg, 1>
<Thank, 1>
<you, 1>
<for, 1>
<defending, 1>
<me, 1>
<and, 1>
<Aunt, 1>
<March, 1>
<for, 1>
<proving, 1>
<that, 1>
<you, 1>
<do, 1>
<care, 1>
<for, 1>
<me, 1>
<a, 1>
<little, 1>
<bit, 1>
<I, 1>
<didn, 1>
<t, 1>
<know, 1>
<how, 1>
<much, 1>
<till, 1>
<she, 1>
<abused, 1>
<you, 1>
<began, 1>
<Meg, 1>
<And, 1>
<I, 1>
<needn, 1>
<t, 1>
<go, 1>
<away, 1>
<but, 1>
<may, 1>
<stay, 1>
<and, 1>
<be, 1>
<happy, 1>
<may, 1>
<I, 1>
<dear, 1>
<Here, 1>
<was, 1>
<another, 1>
<fine, 1>
<chance, 1>
<to, 1>
<make, 1>
<the, 1>
<crushing, 1>
<speech, 1>
<and, 1>
<the, 1>
<stately, 1>
<exit, 1>
<but, 1>
<Meg, 1>
<never, 1>
<thought, 1>
<of, 1>
<doing, 1>
<either, 1>
<and, 1>
<disgraced, 1>
<herself, 1>
<forever, 1>
<in, 1>
<Jo, 1>
<s, 1>
<eyes, 1>
<by, 1>
<meekly, 1>
<whispering, 1>
<Yes, 1>
<John, 1>
<and, 1>
<hiding, 1>
<her, 1>
<face, 1>
<on, 1>
<Mr, 1>
<Brooke, 1>
<s, 1>
<waistcoat, 1>
<Fifteen, 1>
<minutes, 1>
<after, 1>
<Aunt, 1>
<March, 1>
<s, 1>
<departure, 1>
<Jo, 1>
<came, 1>
<softly, 1>
<downstairs, 1>
<paused, 1>
<an, 1>
<instant, 1>
<at, 1>
<the, 1>
<parlor, 1>
<door, 1>
<and, 1>
<hearing, 1>
<no, 1>
<sound, 1>
<within, 1>
<nodded, 1>
<and, 1>
<smiled, 1>
<with, 1>
<a, 1>
<satisfied, 1>
<expression, 1>
<saying, 1>
<to, 1>
<herself, 1>
<She, 1>
<has, 1>
<seen, 1>
<him, 1>
<away, 1>
<as, 1>
<we, 1>
<planned, 1>
<and, 1>
<that, 1>
<affair, 1>
<is, 1>
<settled, 1>
<I, 1>
<ll, 1>
<go, 1>
<and, 1>
<hear, 1>
<the, 1>
<fun, 1>
<and, 1>
<have, 1>
<a, 1>
<good, 1>
<laugh, 1>
<over, 1>
<it, 1>
<But, 1>
<poor, 1>
<Jo, 1>
<never, 1>
<got, 1>
<her, 1>
<laugh, 1>
<for, 1>
<she, 1>
<was, 1>
<transfixed, 1>
<upon, 1>
<the, 1>
<threshold, 1>
<by, 1>
<a, 1>
<spectacle, 1>
<which, 1>
<held, 1>
<her, 1>
<there, 1>
<staring, 1>
<with, 1>
<her, 1>
<mouth, 1>
<nearly, 1>
<as, 1>
<wide, 1>
<open, 1>
<as, 1>
<her, 1>
<eyes, 1>
<Going, 1>
<in, 1>
<to, 1>
<exult, 1>
<over, 1>
<a, 1>
<fallen, 1>
<enemy, 1>
<and, 1>
<to, 1>
<praise, 1>
<a, 1>
<strong, 1>
<minded, 1>
<sister, 1>
<for, 1>
<the, 1>
<banishment, 1>
<of, 1>
<an, 1>
<objectionable, 1>
<lover, 1>
<it, 1>
<certainly, 1>
<was, 1>
<a, 1>
<shock, 1>
<to, 1>
<behold, 1>
<the, 1>
<aforesaid, 1>
<enemy, 1>
<serenely, 1>
<sitting, 1>
<on, 1>
<the, 1>
<sofa, 1>
<with, 1>
<the, 1>
<strongminded, 1>
<sister, 1>
<enthroned, 1>
<upon, 1>
<his, 1>
<knee, 1>
<and, 1>
<wearing, 1>
<an, 1>
<expression, 1>
<of, 1>
<the, 1>
<most, 1>
<abject, 1>
<submission, 1>
<Jo, 1>
<gave, 1>
<a, 1>
<sort, 1>
<of, 1>
<gasp, 1>
<as, 1>
<if, 1>
<a, 1>
<cold, 1>
<shower, 1>
<bath, 1>
<had, 1>
<suddenly, 1>
<fallen, 1>
<upon, 1>
<her, 1>
<for, 1>
<such, 1>
<an, 1>
<unexpected, 1>
<turning, 1>
<of, 1>
<the, 1>
<tables, 1>
<actually, 1>
<took, 1>
<her, 1>
<breath, 1>
<away, 1>
<At, 1>
<the, 1>
<odd, 1>
<sound, 1>
<the, 1>
<lovers, 1>
<turned, 1>
<and, 1>
<saw, 1>
<her, 1>
<Meg, 1>
<jumped, 1>
<up, 1>
<looking, 1>
<both, 1>
<proud, 1>
<and, 1>
<shy, 1>
<but, 1>
<that, 1>
<man, 1>
<as, 1>
<Jo, 1>
<called, 1>
<him, 1>
<actually, 1>
<laughed, 1>
<and, 1>
<said, 1>
<coolly, 1>
<as, 1>
<he, 1>
<kissed, 1>
<the, 1>
<astonished, 1>
<newcomer, 1>
<Sister, 1>
<Jo, 1>
<congratulate, 1>
<us, 1>
<That, 1>
<was, 1>
<adding, 1>
<insult, 1>
<to, 1>
<injury, 1>
<it, 1>
<was, 1>
<altogether, 1>
<too, 1>
<much, 1>
<and, 1>
<making, 1>
<some, 1>
<wild, 1>
<demonstration, 1>
<with, 1>
<her, 1>
<hands, 1>
<Jo, 1>
<vanished, 1>
<without, 1>
<a, 1>
<word, 1>
<Rushing, 1>
<upstairs, 1>
<she, 1>
<startled, 1>
<the, 1>
<invalids, 1>
<by, 1>
<exclaiming, 1>
<tragically, 1>
<as, 1>
<she, 1>
<burst, 1>
<into, 1>
<the, 1>
<room, 1>
<Oh, 1>
<do, 1>
<somebody, 1>
<go, 1>
<down, 1>
<quick, 1>
<John, 1>
<Brooke, 1>
<is, 1>
<acting, 1>
<dreadfully, 1>
<and, 1>
<Meg, 1>
<likes, 1>
<it, 1>
<Mr, 1>
<and, 1>
<Mrs, 1>
<March, 1>
<left, 1>
<the, 1>
<room, 1>
<with, 1>
<speed, 1>
<and, 1>
<casting, 1>
<herself, 1>
<upon, 1>
<the, 1>
<bed, 1>
<Jo, 1>
<cried, 1>
<and, 1>
<scolded, 1>
<tempestuously, 1>
<as, 1>
<she, 1>
<told, 1>
<the, 1>
<awful, 1>
<news, 1>
<to, 1>
<Beth, 1>
<and, 1>
<Amy, 1>
<The, 1>
<little, 1>
<girls, 1>
<however, 1>
<considered, 1>
<it, 1>
<a, 1>
<most, 1>
<agreeable, 1>
<and, 1>
<interesting, 1>
<event, 1>
<and, 1>
<Jo, 1>
<got, 1>
<little, 1>
<comfort, 1>
<from, 1>
<them, 1>
<so, 1>
<she, 1>
<went, 1>
<up, 1>
<to, 1>
<her, 1>
<refuge, 1>
<in, 1>
<the, 1>
<garret, 1>
<and, 1>
<confided, 1>
<her, 1>
<troubles, 1>
<to, 1>
<the, 1>
<rats, 1>
<Nobody, 1>
<ever, 1>
<knew, 1>
<what, 1>
<went, 1>
<on, 1>
<in, 1>
<the, 1>
<parlor, 1>
<that, 1>
<afternoon, 1>
<but, 1>
<a, 1>
<great, 1>
<deal, 1>
<of, 1>
<talking, 1>
<was, 1>
<done, 1>
<and, 1>
<quiet, 1>
<Mr, 1>
<Brooke, 1>
<astonished, 1>
<his, 1>
<friends, 1>
<by, 1>
<the, 1>
<eloquence, 1>
<and, 1>
<spirit, 1>
<with, 1>
<which, 1>
<he, 1>
<pleaded, 1>
<his, 1>
<suit, 1>
<told, 1>
<his, 1>
<plans, 1>
<and, 1>
<persuaded, 1>
<them, 1>
<to, 1>
<arrange, 1>
<everything, 1>
<just, 1>
<as, 1>
<he, 1>
<wanted, 1>
<it, 1>
<The, 1>
<tea, 1>
<bell, 1>
<rang, 1>
<before, 1>
<he, 1>
<had, 1>
<finished, 1>
<describing, 1>
<the, 1>
<paradise, 1>
<which, 1>
<he, 1>
<meant, 1>
<to, 1>
<earn, 1>
<for, 1>
<Meg, 1>
<and, 1>
<he, 1>
<proudly, 1>
<took, 1>
<her, 1>
<in, 1>
<to, 1>
<supper, 1>
<both, 1>
<looking, 1>
<so, 1>
<happy, 1>
<that, 1>
<Jo, 1>
<hadn, 1>
<t, 1>
<the, 1>
<heart, 1>
<to, 1>
<be, 1>
<jealous, 1>
<or, 1>
<dismal, 1>
<Amy, 1>
<was, 1>
<very, 1>
<much, 1>
<impressed, 1>
<by, 1>
<John, 1>
<s, 1>
<devotion, 1>
<and, 1>
<Meg, 1>
<s, 1>
<dignity, 1>
<Beth, 1>
<beamed, 1>
<at, 1>
<them, 1>
<from, 1>
<a, 1>
<distance, 1>
<while, 1>
<Mr, 1>
<and, 1>
<Mrs, 1>
<March, 1>
<surveyed, 1>
<the, 1>
<young, 1>
<couple, 1>
<with, 1>
<such, 1>
<tender, 1>
<satisfaction, 1>
<that, 1>
<it, 1>
<was, 1>
<perfectly, 1>
<evident, 1>
<Aunt, 1>
<March, 1>
<was, 1>
<right, 1>
<in, 1>
<calling, 1>
<them, 1>
<as, 1>
<unworldly, 1>
<as, 1>
<a, 1>
<pair, 1>
<of, 1>
<babies, 1>
<No, 1>
<one, 1>
<ate, 1>
<much, 1>
<but, 1>
<everyone, 1>
<looked, 1>
<very, 1>
<happy, 1>
<and, 1>
<the, 1>
<old, 1>
<room, 1>
<seemed, 1>
<to, 1>
<brighten, 1>
<up, 1>
<amazingly, 1>
<when, 1>
<the, 1>
<first, 1>
<romance, 1>
<of, 1>
<the, 1>
<family, 1>
<began, 1>
<there, 1>
<You, 1>
<can, 1>
<t, 1>
<say, 1>
<nothing, 1>
<pleasant, 1>
<ever, 1>
<happens, 1>
<now, 1>
<can, 1>
<you, 1>
<Meg, 1>
<said, 1>
<Amy, 1>
<trying, 1>
<to, 1>
<decide, 1>
<how, 1>
<she, 1>
<would, 1>
<group, 1>
<the, 1>
<lovers, 1>
<in, 1>
<a, 1>
<sketch, 1>
<she, 1>
<was, 1>
<planning, 1>
<to, 1>
<make, 1>
<No, 1>
<I, 1>
<m, 1>
<sure, 1>
<I, 1>
<can, 1>
<t, 1>
<How, 1>
<much, 1>
<has, 1>
<happened, 1>
<since, 1>
<I, 1>
<said, 1>
<that, 1>
<It, 1>
<seems, 1>
<a, 1>
<year, 1>
<ago, 1>
<answered, 1>
<Meg, 1>
<who, 1>
<was, 1>
<in, 1>
<a, 1>
<blissful, 1>
<dream, 1>
<lifted, 1>
<far, 1>
<above, 1>
<such, 1>
<common, 1>
<things, 1>
<as, 1>
<bread, 1>
<and, 1>
<butter, 1>
<The, 1>
<joys, 1>
<come, 1>
<close, 1>
<upon, 1>
<the, 1>
<sorrows, 1>
<this, 1>
<time, 1>
<and, 1>
<I, 1>
<rather, 1>
<think, 1>
<the, 1>
<changes, 1>
<have, 1>
<begun, 1>
<said, 1>
<Mrs, 1>
<March, 1>
<In, 1>
<most, 1>
<families, 1>
<there, 1>
<comes, 1>
<now, 1>
<and, 1>
<then, 1>
<a, 1>
<year, 1>
<full, 1>
<of, 1>
<events, 1>
<This, 1>
<has, 1>
<been, 1>
<such, 1>
<a, 1>
<one, 1>
<but, 1>
<it, 1>
<ends, 1>
<well, 1>
<after, 1>
<all, 1>
<Hope, 1>
<the, 1>
<next, 1>
<will, 1>
<end, 1>
<better, 1>
<muttered, 1>
<Jo, 1>
<who, 1>
<found, 1>
<it, 1>
<very, 1>
<hard, 1>
<to, 1>
<see, 1>
<Meg, 1>
<absorbed, 1>
<in, 1>
<a, 1>
<stranger, 1>
<before, 1>
<her, 1>
<face, 1>
<for, 1>
<Jo, 1>
<loved, 1>
<a, 1>
<few, 1>
<persons, 1>
<very, 1>
<dearly, 1>
<and, 1>
<dreaded, 1>
<to, 1>
<have, 1>
<their, 1>
<affection, 1>
<lost, 1>
<or, 1>
<lessened, 1>
<in, 1>
<any, 1>
<way, 1>
<I, 1>
<hope, 1>
<the, 1>
<third, 1>
<year, 1>
<from, 1>
<this, 1>
<will, 1>
<end, 1>
<better, 1>
<I, 1>
<mean, 1>
<it, 1>
<shall, 1>
<if, 1>
<I, 1>
<live, 1>
<to, 1>
<work, 1>
<out, 1>
<my, 1>
<plans, 1>
<said, 1>
<Mr, 1>
<Brooke, 1>
<smiling, 1>
<at, 1>
<Meg, 1>
<as, 1>
<if, 1>
<everything, 1>
<had, 1>
<become, 1>
<possible, 1>
<to, 1>
<him, 1>
<now, 1>
<Doesn, 1>
<t, 1>
<it, 1>
<seem, 1>
<very, 1>
<long, 1>
<to, 1>
<wait, 1>
<asked, 1>
