<ely, 1>
<no, 1>
<one, 1>
<speaks, 1>
<since, 1>
<Minna, 1>
<died, 1>
<cried, 1>
<the, 1>
<Professor, 1>
<pausing, 1>
<in, 1>
<a, 1>
<puddle, 1>
<to, 1>
<regard, 1>
<her, 1>
<with, 1>
<grateful, 1>
<delight, 1>
<I, 1>
<always, 1>
<call, 1>
<you, 1>
<so, 1>
<to, 1>
<myself, 1>
<I, 1>
<forgot, 1>
<but, 1>
<I, 1>
<won, 1>
<t, 1>
<unless, 1>
<you, 1>
<like, 1>
<it, 1>
<Like, 1>
<it, 1>
<It, 1>
<is, 1>
<more, 1>
<sweet, 1>
<to, 1>
<me, 1>
<than, 1>
<I, 1>
<can, 1>
<tell, 1>
<Say, 1>
<thou, 1>
<also, 1>
<and, 1>
<I, 1>
<shall, 1>
<say, 1>
<your, 1>
<language, 1>
<is, 1>
<almost, 1>
<as, 1>
<beautiful, 1>
<as, 1>
<mine, 1>
<Isn, 1>
<t, 1>
<thou, 1>
<a, 1>
<little, 1>
<sentimental, 1>
<asked, 1>
<Jo, 1>
<privately, 1>
<thinking, 1>
<it, 1>
<a, 1>
<lovely, 1>
<monosyllable, 1>
<Sentimental, 1>
<Yes, 1>
<Thank, 1>
<Gott, 1>
<we, 1>
<Germans, 1>
<believe, 1>
<in, 1>
<sentiment, 1>
<and, 1>
<keep, 1>
<ourselves, 1>
<young, 1>
<mit, 1>
<it, 1>
<Your, 1>
<English, 1>
<you, 1>
<is, 1>
<so, 1>
<cold, 1>
<say, 1>
<thou, 1>
<heart, 1>
<s, 1>
<dearest, 1>
<it, 1>
<means, 1>
<so, 1>
<much, 1>
<to, 1>
<me, 1>
<pleaded, 1>
<Mr, 1>
<Bhaer, 1>
<more, 1>
<like, 1>
<a, 1>
<romantic, 1>
<student, 1>
<than, 1>
<a, 1>
<grave, 1>
<professor, 1>
<Well, 1>
<then, 1>
<why, 1>
<didn, 1>
<t, 1>
<thou, 1>
<tell, 1>
<me, 1>
<all, 1>
<this, 1>
<sooner, 1>
<asked, 1>
<Jo, 1>
<bashfully, 1>
<Now, 1>
<I, 1>
<shall, 1>
<haf, 1>
<to, 1>
<show, 1>
<thee, 1>
<all, 1>
<my, 1>
<heart, 1>
<and, 1>
<I, 1>
<so, 1>
<gladly, 1>
<will, 1>
<because, 1>
<thou, 1>
<must, 1>
<take, 1>
<care, 1>
<of, 1>
<it, 1>
<hereafter, 1>
<See, 1>
<then, 1>
<my, 1>
<Jo, 1>
<ah, 1>
<the, 1>
<dear, 1>
<funny, 1>
<little, 1>
<name, 1>
<I, 1>
<had, 1>
<a, 1>
<wish, 1>
<to, 1>
<tell, 1>
<something, 1>
<the, 1>
<day, 1>
<I, 1>
<said, 1>
<goodbye, 1>
<in, 1>
<New, 1>
<York, 1>
<but, 1>
<I, 1>
<thought, 1>
<the, 1>
<handsome, 1>
<friend, 1>
<was, 1>
<betrothed, 1>
<to, 1>
<thee, 1>
<and, 1>
<so, 1>
<I, 1>
<spoke, 1>
<not, 1>
<Wouldst, 1>
<thou, 1>
<have, 1>
<said, 1>
<Yes, 1>
<then, 1>
<if, 1>
<I, 1>
<had, 1>
<spoken, 1>
<I, 1>
<don, 1>
<t, 1>
<know, 1>
<I, 1>
<m, 1>
<afraid, 1>
<not, 1>
<for, 1>
<I, 1>
<didn, 1>
<t, 1>
<have, 1>
<any, 1>
<heart, 1>
<just, 1>
<then, 1>
<Prut, 1>
<That, 1>
<I, 1>
<do, 1>
<not, 1>
<believe, 1>
<It, 1>
<was, 1>
<asleep, 1>
<till, 1>
<the, 1>
<fairy, 1>
<prince, 1>
<came, 1>
<through, 1>
<the, 1>
<wood, 1>
<and, 1>
<waked, 1>
<it, 1>
<up, 1>
<Ah, 1>
<well, 1>
<Die, 1>
<erste, 1>
<Liebe, 1>
<ist, 1>
<die, 1>
<beste, 1>
<but, 1>
<that, 1>
<I, 1>
<should, 1>
<not, 1>
<expect, 1>
<Yes, 1>
<the, 1>
<first, 1>
<love, 1>
<is, 1>
<the, 1>
<best, 1>
<but, 1>
<be, 1>
<so, 1>
<contented, 1>
<for, 1>
<I, 1>
<never, 1>
<had, 1>
<another, 1>
<Teddy, 1>
<was, 1>
<only, 1>
<a, 1>
<boy, 1>
<and, 1>
<soon, 1>
<got, 1>
<over, 1>
<his, 1>
<little, 1>
<fancy, 1>
<said, 1>
<Jo, 1>
<anxious, 1>
<to, 1>
<correct, 1>
<the, 1>
<Professor, 1>
<s, 1>
<mistake, 1>
<Good, 1>
<Then, 1>
<I, 1>
<shall, 1>
<rest, 1>
<happy, 1>
<and, 1>
<be, 1>
<sure, 1>
<that, 1>
<thou, 1>
<givest, 1>
<me, 1>
<all, 1>
<I, 1>
<haf, 1>
<waited, 1>
<so, 1>
<long, 1>
<I, 1>
<am, 1>
<grown, 1>
<selfish, 1>
<as, 1>
<thou, 1>
<wilt, 1>
<find, 1>
<Professorin, 1>
<I, 1>
<like, 1>
<that, 1>
<cried, 1>
<Jo, 1>
<delighted, 1>
<with, 1>
<her, 1>
<new, 1>
<name, 1>
<Now, 1>
<tell, 1>
<me, 1>
<what, 1>
<brought, 1>
<you, 1>
<at, 1>
<last, 1>
<just, 1>
<when, 1>
<I, 1>
<wanted, 1>
<you, 1>
<This, 1>
<and, 1>
<Mr, 1>
<Bhaer, 1>
<took, 1>
<a, 1>
<little, 1>
<worn, 1>
<paper, 1>
<out, 1>
<of, 1>
<his, 1>
<waistcoat, 1>
<pocket, 1>
<Jo, 1>
<unfolded, 1>
<it, 1>
<and, 1>
<looked, 1>
<much, 1>
<abashed, 1>
<for, 1>
<it, 1>
<was, 1>
<one, 1>
<of, 1>
<her, 1>
<own, 1>
<contributions, 1>
<to, 1>
<a, 1>
<paper, 1>
<that, 1>
<paid, 1>
<for, 1>
<poetry, 1>
<which, 1>
<accounted, 1>
<for, 1>
<her, 1>
<sending, 1>
<it, 1>
<an, 1>
<occasional, 1>
<attempt, 1>
<How, 1>
<could, 1>
<that, 1>
<bring, 1>
<you, 1>
<she, 1>
<asked, 1>
<wondering, 1>
<what, 1>
<he, 1>
<meant, 1>
<I, 1>
<found, 1>
<it, 1>
<by, 1>
<chance, 1>
<I, 1>
<knew, 1>
<it, 1>
<by, 1>
<the, 1>
<names, 1>
<and, 1>
<the, 1>
<initials, 1>
<and, 1>
<in, 1>
<it, 1>
<there, 1>
<was, 1>
<one, 1>
<little, 1>
<verse, 1>
<that, 1>
<seemed, 1>
<to, 1>
<call, 1>
<me, 1>
<Read, 1>
<and, 1>
<find, 1>
<him, 1>
<I, 1>
<will, 1>
<see, 1>
<that, 1>
<you, 1>
<go, 1>
<not, 1>
<in, 1>
<the, 1>
<wet, 1>
<IN, 1>
<THE, 1>
<GARRET, 1>
<Four, 1>
<little, 1>
<chests, 1>
<all, 1>
<in, 1>
<a, 1>
<row, 1>
<Dim, 1>
<with, 1>
<dust, 1>
<and, 1>
<worn, 1>
<by, 1>
<time, 1>
<All, 1>
<fashioned, 1>
<and, 1>
<filled, 1>
<long, 1>
<ago, 1>
<By, 1>
<children, 1>
<now, 1>
<in, 1>
<their, 1>
<prime, 1>
<Four, 1>
<little, 1>
<keys, 1>
<hung, 1>
<side, 1>
<by, 1>
<side, 1>
<With, 1>
<faded, 1>
<ribbons, 1>
<brave, 1>
<and, 1>
<gay, 1>
<When, 1>
<fastened, 1>
<there, 1>
<with, 1>
<childish, 1>
<pride, 1>
<Long, 1>
<ago, 1>
<on, 1>
<a, 1>
<rainy, 1>
<day, 1>
<Four, 1>
<little, 1>
<names, 1>
<one, 1>
<on, 1>
<each, 1>
<lid, 1>
<Carved, 1>
<out, 1>
<by, 1>
<a, 1>
<boyish, 1>
<hand, 1>
<And, 1>
<underneath, 1>
<there, 1>
<lieth, 1>
<hid, 1>
<Histories, 1>
<of, 1>
<the, 1>
<happy, 1>
<band, 1>
<Once, 1>
<playing, 1>
<here, 1>
<and, 1>
<pausing, 1>
<oft, 1>
<To, 1>
<hear, 1>
<the, 1>
<sweet, 1>
<refrain, 1>
<That, 1>
<came, 1>
<and, 1>
<went, 1>
<on, 1>
<the, 1>
<roof, 1>
<aloft, 1>
<In, 1>
<the, 1>
<falling, 1>
<summer, 1>
<rain, 1>
<Meg, 1>
<on, 1>
<the, 1>
<first, 1>
<lid, 1>
<smooth, 1>
<and, 1>
<fair, 1>
<I, 1>
<look, 1>
<in, 1>
<with, 1>
<loving, 1>
<eyes, 1>
<For, 1>
<folded, 1>
<here, 1>
<with, 1>
<well, 1>
<known, 1>
<care, 1>
<A, 1>
<goodly, 1>
<gathering, 1>
<lies, 1>
<The, 1>
<record, 1>
<of, 1>
<a, 1>
<peaceful, 1>
<life, 1>
<Gifts, 1>
<to, 1>
<gentle, 1>
<child, 1>
<and, 1>
<girl, 1>
<A, 1>
<bridal, 1>
<gown, 1>
<lines, 1>
<to, 1>
<a, 1>
<wife, 1>
<A, 1>
<tiny, 1>
<shoe, 1>
<a, 1>
<baby, 1>
<curl, 1>
<No, 1>
<toys, 1>
<in, 1>
<this, 1>
<first, 1>
<chest, 1>
<remain, 1>
<For, 1>
<all, 1>
<are, 1>
<carried, 1>
<away, 1>
<In, 1>
<their, 1>
<old, 1>
<age, 1>
<to, 1>
<join, 1>
<again, 1>
<In, 1>
<another, 1>
<small, 1>
<Meg, 1>
<s, 1>
<play, 1>
<Ah, 1>
<happy, 1>
<mother, 1>
<Well, 1>
<I, 1>
<know, 1>
<You, 1>
<hear, 1>
<like, 1>
<a, 1>
<sweet, 1>
<refrain, 1>
<Lullabies, 1>
<ever, 1>
<soft, 1>
<and, 1>
<low, 1>
<In, 1>
<the, 1>
<falling, 1>
<summer, 1>
<rain, 1>
<Jo, 1>
<on, 1>
<the, 1>
<next, 1>
<lid, 1>
<scratched, 1>
<and, 1>
<worn, 1>
<And, 1>
<within, 1>
<a, 1>
<motley, 1>
<store, 1>
<Of, 1>
<headless, 1>
<dolls, 1>
<of, 1>
<schoolbooks, 1>
<torn, 1>
<Birds, 1>
<and, 1>
<beasts, 1>
<that, 1>
<speak, 1>
<no, 1>
<more, 1>
<Spoils, 1>
<brought, 1>
<home, 1>
<from, 1>
<the, 1>
<fairy, 1>
<ground, 1>
<Only, 1>
<trod, 1>
<by, 1>
<youthful, 1>
<feet, 1>
<Dreams, 1>
<of, 1>
<a, 1>
<future, 1>
<never, 1>
<found, 1>
<Memories, 1>
<of, 1>
<a, 1>
<past, 1>
<still, 1>
<sweet, 1>
<Half, 1>
<writ, 1>
<poems, 1>
<stories, 1>
<wild, 1>
<April, 1>
<letters, 1>
<warm, 1>
<and, 1>
<cold, 1>
<Diaries, 1>
<of, 1>
<a, 1>
<wilful, 1>
<child, 1>
<Hints, 1>
<of, 1>
<a, 1>
<woman, 1>
<early, 1>
<old, 1>
<A, 1>
<woman, 1>
<in, 1>
<a, 1>
<lonely, 1>
<home, 1>
<Hearing, 1>
<like, 1>
<a, 1>
<sad, 1>
<refrain, 1>
<Be, 1>
<worthy, 1>
<love, 1>
<and, 1>
<love, 1>
<will, 1>
<come, 1>
<In, 1>
<the, 1>
<falling, 1>
<summer, 1>
<rain, 1>
<My, 1>
<Beth, 1>
<the, 1>
<dust, 1>
<is, 1>
<always, 1>
<swept, 1>
<From, 1>
<the, 1>
<lid, 1>
<that, 1>
<bears, 1>
<your, 1>
<name, 1>
<As, 1>
<if, 1>
<by, 1>
<loving, 1>
<eyes, 1>
<that, 1>
<wept, 1>
<By, 1>
<careful, 1>
<hands, 1>
<that, 1>
<often, 1>
<came, 1>
<Death, 1>
<canonized, 1>
<for, 1>
<us, 1>
<one, 1>
<saint, 1>
<Ever, 1>
<less, 1>
<human, 1>
<than, 1>
<divine, 1>
<And, 1>
<still, 1>
<we, 1>
<lay, 1>
<with, 1>
<tender, 1>
<plaint, 1>
<Relics, 1>
<in, 1>
<this, 1>
<household, 1>
<shrine, 1>
<The, 1>
<silver, 1>
<bell, 1>
<so, 1>
<seldom, 1>
<rung, 1>
<The, 1>
<little, 1>
<cap, 1>
<which, 1>
<last, 1>
<she, 1>
<wore, 1>
<The, 1>
<fair, 1>
<dead, 1>
<Catherine, 1>
<that, 1>
<hung, 1>
<By, 1>
<angels, 1>
<borne, 1>
<above, 1>
<her, 1>
<door, 1>
<The, 1>
<songs, 1>
<she, 1>
<sang, 1>
<without, 1>
<lament, 1>
<In, 1>
<her, 1>
<prison, 1>
<house, 1>
<of, 1>
<pain, 1>
<Forever, 1>
<are, 1>
<they, 1>
<sweetly, 1>
<blent, 1>
<With, 1>
<the, 1>
<falling, 1>
<summer, 1>
<rain, 1>
<Upon, 1>
<the, 1>
<last, 1>
<lid, 1>
<s, 1>
<polished, 1>
<field, 1>
<Legend, 1>
<now, 1>
<both, 1>
<fair, 1>
<and, 1>
<true, 1>
<A, 1>
<gallant, 1>
<knight, 1>
<bears, 1>
<on, 1>
<his, 1>
<shield, 1>
<Amy, 1>
<in, 1>
<letters, 1>
<gold, 1>
<and, 1>
<blue, 1>
<Within, 1>
<lie, 1>
<snoods, 1>
<that, 1>
<bound, 1>
<her, 1>
<hair, 1>
<Slippers, 1>
<that, 1>
<have, 1>
<danced, 1>
<their, 1>
<last, 1>
<Faded, 1>
<flowers, 1>
<laid, 1>
<by, 1>
<with, 1>
<care, 1>
<Fans, 1>
<whose, 1>
<airy, 1>
<toils, 1>
<are, 1>
<past, 1>
<Gay, 1>
<valentines, 1>
<all, 1>
<ardent, 1>
<flames, 1>
<Trifles, 1>
<that, 1>
<have, 1>
<borne, 1>
<their, 1>
<part, 1>
<In, 1>
<girlish, 1>
<hopes, 1>
<and, 1>
<fears, 1>
<and, 1>
<shames, 1>
<The, 1>
<record, 1>
<of, 1>
<a, 1>
<maiden, 1>
<heart, 1>
<Now, 1>
<learning, 1>
<fairer, 1>
<truer, 1>
<spells, 1>
<Hearing, 1>
<like, 1>
<a, 1>
<blithe, 1>
<refrain, 1>
<The, 1>
<silver, 1>
<sound, 1>
<of, 1>
<bridal, 1>
<bells, 1>
<In, 1>
<the, 1>
<falling, 1>
<summer, 1>
<rain, 1>
<Four, 1>
<little, 1>
<chests, 1>
<all, 1>
<in, 1>
<a, 1>
<row, 1>
<Dim, 1>
<with, 1>
<dust, 1>
<and, 1>
<worn, 1>
<by, 1>
<time, 1>
<Four, 1>
<women, 1>
<taught, 1>
<by, 1>
<weal, 1>
<and, 1>
<woe, 1>
<To, 1>
<love, 1>
<and, 1>
<labor, 1>
<in, 1>
<their, 1>
<prime, 1>
<Four, 1>
<sisters, 1>
<parted, 1>
<for, 1>
<an, 1>
<hour, 1>
<None, 1>
<lost, 1>
<one, 1>
<only, 1>
<gone, 1>
<before, 1>
<Made, 1>
<by, 1>
<love, 1>
<s, 1>
<immortal, 1>
<power, 1>
<Nearest, 1>
<and, 1>
<dearest, 1>
<evermore, 1>
<Oh, 1>
<when, 1>
<these, 1>
<hidden, 1>
<stores, 1>
<of, 1>
<ours, 1>
<Lie, 1>
<open, 1>
<to, 1>
<the, 1>
<Father, 1>
<s, 1>
<sight, 1>
<May, 1>
<they, 1>
<be, 1>
<rich, 1>
<in, 1>
<golden, 1>
<hours, 1>
<Deeds, 1>
<that, 1>
<show, 1>
<fairer, 1>
<for, 1>
<the, 1>
<light, 1>
<Lives, 1>
<whose, 1>
<brave, 1>
<music, 1>
<long, 1>
<shall, 1>
<ring, 1>
<Like, 1>
<a, 1>
<spirit, 1>
<stirring, 1>
<strain, 1>
<Souls, 1>
<that, 1>
<shall, 1>
<gladly, 1>
<soar, 1>
<and, 1>
<sing, 1>
<In, 1>
<the, 1>
<long, 1>
<sunshine, 1>
<after, 1>
<rain, 1>
<It, 1>
<s, 1>
<very, 1>
<bad, 1>
<poetry, 1>
<but, 1>
<I, 1>
<felt, 1>
<it, 1>
<when, 1>
<I, 1>
<wrote, 1>
<it, 1>
<one, 1>
<day, 1>
<when, 1>
<I, 1>
<was, 1>
<very, 1>
<lonely, 1>
<and, 1>
<had, 1>
<a, 1>
<good, 1>
<cry, 1>
<on, 1>
<a, 1>
<rag, 1>
<bag, 1>
<I, 1>
<never, 1>
<thought, 1>
<it, 1>
<would, 1>
<go, 1>
<where, 1>
<it, 1>
<could, 1>
<tell, 1>
<tales, 1>
<said, 1>
<Jo, 1>
<tearing, 1>
<up, 1>
<the, 1>
<verses, 1>
<the, 1>
<Professor, 1>
<had, 1>
<treasured, 1>
<so, 1>
<long, 1>
<Let, 1>
<it, 1>
<go, 1>
<it, 1>
<has, 1>
<done, 1>
<its, 1>
<duty, 1>
<and, 1>
<I, 1>
<will, 1>
<haf, 1>
<a, 1>
<fresh, 1>
<one, 1>
<when, 1>
<I, 1>
<read, 1>
<all, 1>
<the, 1>
<brown, 1>
<book, 1>
<in, 1>
<which, 1>
<she, 1>
<keeps, 1>
<her, 1>
<little, 1>
<secrets, 1>
<said, 1>
<Mr, 1>
<Bhaer, 1>
<with, 1>
<a, 1>
<smile, 1>
<as, 1>
<he, 1>
<watched, 1>
<the, 1>
<fragments, 1>
<fly, 1>
<away, 1>
<on, 1>
<the, 1>
<wind, 1>
<Yes, 1>
<he, 1>
<added, 1>
<earnestly, 1>
<I, 1>
<read, 1>
<that, 1>
<and, 1>
<I, 1>
<think, 1>
<to, 1>
<myself, 1>
<She, 1>
<has, 1>
<a, 1>
<sorrow, 1>
<she, 1>
<is, 1>
<lonely, 1>
<she, 1>
<would, 1>
<find, 1>
<comfort, 1>
<in, 1>
<true, 1>
<love, 1>
<I, 1>
<haf, 1>
<a, 1>
<heart, 1>
<full, 1>
<full, 1>
<for, 1>
<her, 1>
<Shall, 1>
<I, 1>
<not, 1>
<go, 1>
<and, 1>
<say, 1>
<If, 1>
<this, 1>
<is, 1>
<not, 1>
<too, 1>
<poor, 1>
<a, 1>
<thing, 1>
<to, 1>
<gif, 1>
<for, 1>
<what, 1>
<I, 1>
<shall, 1>
<hope, 1>
<to, 1>
<receive, 1>
<take, 1>
<it, 1>
<in, 1>
<Gott, 1>
<s, 1>
<name, 1>
<And, 1>
<so, 1>
<you, 1>
<came, 1>
<to, 1>
<find, 1>
<that, 1>
<it, 1>
<was, 1>
<not, 1>
<too, 1>
<poor, 1>
<but, 1>
<the, 1>
<one, 1>
<precious, 1>
<thing, 1>
<I, 1>
<needed, 1>
<whispered, 1>
<Jo, 1>
<I, 1>
<had, 1>
<no, 1>
<courage, 1>
<to, 1>
<think, 1>
<that, 1>
<at, 1>
<first, 1>
<heavenly, 1>
<kind, 1>
<as, 1>
<was, 1>
<your, 1>
<welcome, 1>
<to, 1>
<me, 1>
<But, 1>
<soon, 1>
<I, 1>
<began, 1>
<to, 1>
<hope, 1>
<and, 1>
<then, 1>
<I, 1>
<said, 1>
<I, 1>
<will, 1>
<haf, 1>
<her, 1>
<if, 1>
<I, 1>
<die, 1>
<for, 1>
<it, 1>
<and, 1>
<so, 1>
<I, 1>
<will, 1>
<cried, 1>
<Mr, 1>
<Bhaer, 1>
<with, 1>
<a, 1>
<defiant, 1>
<nod, 1>
<as, 1>
<if, 1>
<the, 1>
<walls, 1>
<of, 1>
<mist, 1>
<closing, 1>
<round, 1>
<them, 1>
<were, 1>
<barriers, 1>
<which, 1>
<he, 1>
<was, 1>
<to, 1>
<surmount, 1>
<or, 1>
<valiantly, 1>
<knock, 1>
<down, 1>
<Jo, 1>
<thought, 1>
<that, 1>
<was, 1>
<splendid, 1>
<and, 1>
<resolved, 1>
<to, 1>
<be, 1>
<worthy, 1>
<of, 1>
<her, 1>
<knight, 1>
<though, 1>
<he, 1>
<did, 1>
<not, 1>
<come, 1>
<prancing, 1>
<on, 1>
<a, 1>
<charger, 1>
<in, 1>
<gorgeous, 1>
<array, 1>
<What, 1>
<made, 1>
<you, 1>
<stay, 1>
<away, 1>
<so, 1>
<long, 1>
<she, 1>
<asked, 1>
<presently, 1>
<finding, 1>
<it, 1>
<so, 1>
<pleasant, 1>
<to, 1>
<ask, 1>
<confidential, 1>
<questions, 1>
<and, 1>
<get, 1>
<delightful, 1>
<answers, 1>
<that, 1>
<she, 1>
<could, 1>
<not, 1>
<keep, 1>
<silent, 1>
<It, 1>
<was, 1>
<not, 1>
<easy, 1>
<but, 1>
<I, 1>
<could, 1>
<not, 1>
<find, 1>
<the, 1>
<heart, 1>
<to, 1>
<take, 1>
<you, 1>
<from, 1>
<that, 1>
<so, 1>
<happy, 1>
<home, 1>
<until, 1>
<I, 1>
<could, 1>
<haf, 1>
<a, 1>
<prospect, 1>
<of, 1>
<one, 1>
<to, 1>
<gif, 1>
<you, 1>
<after, 1>
<much, 1>
<time, 1>
<perhaps, 1>
<and, 1>
<hard, 1>
<work, 1>
<How, 1>
<could, 1>
<I, 1>
<ask, 1>
<you, 1>
<to, 1>
<gif, 1>
<up, 1>
<so, 1>
<much, 1>
<for, 1>
<a, 1>
<poor, 1>
<old, 1>
<fellow, 1>
<who, 1>
<has, 1>
<no, 1>
<fortune, 1>
<but, 1>
<a, 1>
<little, 1>
<learning, 1>
<I, 1>
<m, 1>
<glad, 1>
<you, 1>
<are, 1>
<poor, 1>
<I, 1>
<couldn, 1>
<t, 1>
<bear, 1>
<a, 1>
<rich, 1>
<husband, 1>
<said, 1>
<Jo, 1>
<decidedly, 1>
<adding, 1>
<in, 1>
<a, 1>
<softer, 1>
<tone, 1>
<Don, 1>
<t, 1>
<fear, 1>
<poverty, 1>
<I, 1>
<ve, 1>
<known, 1>
<it, 1>
<long, 1>
<enough, 1>
<to, 1>
<lose, 1>
<my, 1>
<dread, 1>
<and, 1>
<be, 1>
<happy, 1>
<working, 1>
<for, 1>
<those, 1>
<I, 1>
<love, 1>
<and, 1>
<don, 1>
<t, 1>
<call, 1>
<yourself, 1>
<old, 1>
<forty, 1>
<is, 1>
<the, 1>
<prime, 1>
<of, 1>
<life, 1>
<I, 1>
<couldn, 1>
<t, 1>
<help, 1>
<loving, 1>
<you, 1>
<if, 1>
<you, 1>
<were, 1>
<seventy, 1>
<The, 1>
<Professor, 1>
<found, 1>
<that, 1>
<so, 1>
<touching, 1>
<that, 1>
<he, 1>
<would, 1>
<have, 1>
<been, 1>
<glad, 1>
<of, 1>
<his, 1>
<handkerchief, 1>
<if, 1>
<he, 1>
<could, 1>
<have, 1>
<got, 1>
<at, 1>
<it, 1>
<As, 1>
<he, 1>
<couldn, 1>
<t, 1>
<Jo, 1>
<wiped, 1>
<his, 1>
<eyes, 1>
<for, 1>
<him, 1>
<and, 1>
<said, 1>
<laughing, 1>
<as, 1>
<she, 1>
<took, 1>
<away, 1>
<a, 1>
<bundle, 1>
<or, 1>
<two, 1>
<I, 1>
<may, 1>
<be, 1>
<strong, 1>
<minded, 1>
<but, 1>
<no, 1>
<one, 1>
<can, 1>
<say, 1>
<I, 1>
<m, 1>
<out, 1>
<of, 1>
<my, 1>
<sphere, 1>
<now, 1>
<for, 1>
<woman, 1>
<s, 1>
<special, 1>
<mission, 1>
<is, 1>
<supposed, 1>
<to, 1>
<be, 1>
<drying, 1>
<tears, 1>
<and, 1>
<bearing, 1>
<burdens, 1>
<I, 1>
<m, 1>
<to, 1>
<carry, 1>
<my, 1>
<share, 1>
<Friedrich, 1>
<and, 1>
<help, 1>
<to, 1>
<earn, 1>
<the, 1>
<home, 1>
<Make, 1>
<up, 1>
<your, 1>
<mind, 1>
<to, 1>
<that, 1>
<or, 1>
<I, 1>
<ll, 1>
<never, 1>
<go, 1>
<she, 1>
<added, 1>
<resolutely, 1>
<as, 1>
<he, 1>
<tried, 1>
<to, 1>
<reclaim, 1>
<his, 1>
<load, 1>
<We, 1>
<shall, 1>
<see, 1>
<Haf, 1>
<you, 1>
<patience, 1>
<to, 1>
<wait, 1>
<a, 1>
<long, 1>
<time, 1>
<Jo, 1>
<I, 1>
<must, 1>
<go, 1>
<away, 1>
<and, 1>
<do, 1>
<my, 1>
<work, 1>
<alone, 1>
<I, 1>
<must, 1>
<help, 1>
<my, 1>
<boys, 1>
<first, 1>
<because, 1>
<even, 1>
<for, 1>
<you, 1>
<I, 1>
<may, 1>
<not, 1>
<break, 1>
<my, 1>
<word, 1>
<to, 1>
<Minna, 1>
<Can, 1>
<you, 1>
<forgif, 1>
<that, 1>
<and, 1>
<be, 1>
<happy, 1>
<while, 1>
<we, 1>
<hope, 1>
<and, 1>
<wait, 1>
<Yes, 1>
<I, 1>
<know, 1>
<I, 1>
<can, 1>
<for, 1>
<we, 1>
<love, 1>
<one, 1>
<another, 1>
<and, 1>
<that, 1>
<makes, 1>
<all, 1>
<the, 1>
<rest, 1>
<easy, 1>
<to, 1>
<bear, 1>
<I, 1>
<have, 1>
<my, 1>
<duty, 1>
<also, 1>
<and, 1>
<my, 1>
<work, 1>
<I, 1>
<couldn, 1>
<t, 1>
<enjoy, 1>
<myself, 1>
<if, 1>
<I, 1>
<neglected, 1>
<them, 1>
<even, 1>
<for, 1>
<you, 1>
<so, 1>
<there, 1>
<s, 1>
<no, 1>
<need, 1>
<of, 1>
<hurry, 1>
<or, 1>
<impatience, 1>
<You, 1>
<can, 1>
<do, 1>
<your, 1>
<part, 1>
<out, 1>
<West, 1>
<I, 1>
<can, 1>
<do, 1>
<mine, 1>
<here, 1>
<and, 1>
<both, 1>
<be, 1>
<happy, 1>
<hoping, 1>
<for, 1>
<the, 1>
<best, 1>
<and, 1>
<leaving, 1>
<the, 1>
<future, 1>
<to, 1>
<be, 1>
<as, 1>
<God, 1>
